venue,group,omega2,iv_intercept,nsr
ARCX,all,-1.1179499817268349e-10,8.04483343041508e-05,-1.3896496321480125e-06
ARCX,2018,-1.8338548355547617e-10,5.302134427974792e-05,-3.4587105635781147e-06
ARCX,2019,-9.868737884535222e-11,2.529550654055319e-05,-3.901379823611708e-06
ARCX,2020,-2.4446297606278323e-10,0.00019538498492613175,-1.2511860937277557e-06
ARCX,2021,-8.950957550464795e-11,3.51364675371239e-05,-2.547483619691576e-06
ARCX,2022,-5.8019669702871865e-11,0.00012230731781213877,-4.7437611044654535e-07
ARCX,2023,-1.95272054133137e-11,4.1518365887200025e-05,-4.7032692631416576e-07
XNAS,all,-1.2280698428927822e-10,8.135323326434418e-05,-1.5095525938131652e-06
XNAS,2018,-6.100394237935522e-11,5.3583696860811235e-05,-1.1384795367482535e-06
XNAS,2019,-7.447593047159946e-11,2.831843355647951e-05,-2.6299452730343097e-06
XNAS,2020,-2.943510391678582e-10,0.0001966985379235748,-1.496457687358232e-06
XNAS,2021,-8.204307080603747e-11,3.4513928760467134e-05,-2.3771003114548656e-06
XNAS,2022,-1.4751206831425335e-10,0.00012309517113498632,-1.1983578799568948e-06
XNAS,2023,-5.5434608729500534e-11,4.1776288359466995e-05,-1.3269395369093005e-06
