venue,M,stratum,key,var_log_rv,n
ARCX,5,year,2018,2.231006150027888,166
ARCX,5,year,2019,1.7594145687866385,249
ARCX,5,year,2020,2.4087225660457823,251
ARCX,5,year,2021,1.5391272066211288,251
ARCX,5,year,2022,1.0447501014457248,250
ARCX,5,year,2023,1.027580341122716,248
ARCX,5,vol_tercile,1,0.6037035331202069,472
ARCX,5,vol_tercile,2,0.13508352125191855,471
ARCX,5,vol_tercile,3,0.5778871318691392,472
ARCX,6,year,2018,2.3611755107342995,166
ARCX,6,year,2019,1.623109337507372,249
ARCX,6,year,2020,2.1351825595869096,251
ARCX,6,year,2021,1.4947661503579104,251
ARCX,6,year,2022,0.931198409180749,250
ARCX,6,year,2023,1.0064621318318694,248
ARCX,6,vol_tercile,1,0.7238995012600061,472
ARCX,6,vol_tercile,2,0.35494404555840525,471
ARCX,6,vol_tercile,3,0.6532061109892527,472
ARCX,10,year,2018,1.9697532706753815,166
ARCX,10,year,2019,1.376738136731211,249
ARCX,10,year,2020,2.157120281452306,251
ARCX,10,year,2021,1.3019902392430678,251
ARCX,10,year,2022,0.7417666635068134,250
ARCX,10,year,2023,0.8285906539028066,248
ARCX,10,vol_tercile,1,0.7000582179422077,472
ARCX,10,vol_tercile,2,0.34764051113933414,471
ARCX,10,vol_tercile,3,0.6681138919386547,472
ARCX,13,year,2018,2.023608730761464,166
ARCX,13,year,2019,1.3063512880985952,249
ARCX,13,year,2020,2.034569746628826,251
ARCX,13,year,2021,1.2403625395173454,251
ARCX,13,year,2022,0.6572619742924994,250
ARCX,13,year,2023,0.757448926285661,248
ARCX,13,vol_tercile,1,0.701307222844293,472
ARCX,13,vol_tercile,2,0.412739525750657,471
ARCX,13,vol_tercile,3,0.7043256479597402,472
ARCX,26,year,2018,1.9679245394658342,166
ARCX,26,year,2019,1.1800895616461988,249
ARCX,26,year,2020,2.0403098514067985,251
ARCX,26,year,2021,1.2137050172038029,251
ARCX,26,year,2022,0.5586884855592166,250
ARCX,26,year,2023,0.6657364960226776,248
ARCX,26,vol_tercile,1,0.6698919101892267,472
ARCX,26,vol_tercile,2,0.4819823927406825,471
ARCX,26,vol_tercile,3,0.7701073697282637,472
ARCX,39,year,2018,1.865354228411766,166
ARCX,39,year,2019,1.210748082326878,249
ARCX,39,year,2020,2.095596850524,251
ARCX,39,year,2021,1.1583808262350506,251
ARCX,39,year,2022,0.5542536446692162,250
ARCX,39,year,2023,0.6508049386068796,248
ARCX,39,vol_tercile,1,0.6876341096643986,472
ARCX,39,vol_tercile,2,0.5038141584198216,471
ARCX,39,vol_tercile,3,0.8118423511906042,472
ARCX,78,year,2018,1.8360014346377402,166
ARCX,78,year,2019,1.1474290738712134,249
ARCX,78,year,2020,2.075933301913379,251
ARCX,78,year,2021,1.1350315694365534,251
ARCX,78,year,2022,0.539437506458747,250
ARCX,78,year,2023,0.590812963352525,248
ARCX,78,vol_tercile,1,0.6933108179337678,472
ARCX,78,vol_tercile,2,0.5286109539898993,471
ARCX,78,vol_tercile,3,0.8495367755398011,472
ARCX,130,year,2018,1.7891306321712637,166
ARCX,130,year,2019,1.113564441042277,249
ARCX,130,year,2020,2.0581420455882156,251
ARCX,130,year,2021,1.075861843639805,251
ARCX,130,year,2022,0.5189908117158324,250
ARCX,130,year,2023,0.5931709840920674,248
ARCX,130,vol_tercile,1,0.6698737654324765,472
ARCX,130,vol_tercile,2,0.5633993645991625,471
ARCX,130,vol_tercile,3,0.8380078481019423,472
ARCX,195,year,2018,1.751353494223617,166
ARCX,195,year,2019,1.1013534289344609,249
ARCX,195,year,2020,2.076949579002152,251
ARCX,195,year,2021,1.07032616050088,251
ARCX,195,year,2022,0.5220206959583044,250
ARCX,195,year,2023,0.5662122000779276,248
ARCX,195,vol_tercile,1,0.6718873920849513,472
ARCX,195,vol_tercile,2,0.5602004857638807,471
ARCX,195,vol_tercile,3,0.8558059232354449,472
ARCX,390,year,2018,1.7446272658862514,166
ARCX,390,year,2019,1.0745865193733373,249
ARCX,390,year,2020,2.0647845798174,251
ARCX,390,year,2021,1.0536428051229485,251
ARCX,390,year,2022,0.5133495402440733,250
ARCX,390,year,2023,0.5522252943066418,248
ARCX,390,vol_tercile,1,0.6579030412785419,472
ARCX,390,vol_tercile,2,0.5598001260443554,471
ARCX,390,vol_tercile,3,0.8694356755933574,472
ARCX,780,year,2018,1.6925685646288866,166
ARCX,780,year,2019,1.045875469596815,249
ARCX,780,year,2020,2.0514863761440654,251
ARCX,780,year,2021,1.013696958459164,251
ARCX,780,year,2022,0.4857980232365463,250
ARCX,780,year,2023,0.5461753188679479,248
ARCX,780,vol_tercile,1,0.6465041268993598,472
ARCX,780,vol_tercile,2,0.5560632227215759,471
ARCX,780,vol_tercile,3,0.861190120205481,472
ARCX,1560,year,2018,1.6485247749146,166
ARCX,1560,year,2019,1.0339636963750078,249
ARCX,1560,year,2020,2.0235185426240694,251
ARCX,1560,year,2021,0.999181002086578,251
ARCX,1560,year,2022,0.47529058477128366,250
ARCX,1560,year,2023,0.5501364277991542,248
ARCX,1560,vol_tercile,1,0.6388650597058262,472
ARCX,1560,vol_tercile,2,0.5575466307342423,471
ARCX,1560,vol_tercile,3,0.8592265121290732,472
ARCX,2340,year,2018,1.6429021378277653,166
ARCX,2340,year,2019,1.0139068149465498,249
ARCX,2340,year,2020,2.011753841687243,251
ARCX,2340,year,2021,0.9837193375732983,251
ARCX,2340,year,2022,0.47656451498167657,250
ARCX,2340,year,2023,0.5460202694005908,248
ARCX,2340,vol_tercile,1,0.6315852502144226,472
ARCX,2340,vol_tercile,2,0.5549405245009182,471
ARCX,2340,vol_tercile,3,0.8591668741371806,472
ARCX,4680,year,2018,1.630710407870643,166
ARCX,4680,year,2019,1.0006305099297625,249
ARCX,4680,year,2020,1.9946267505105302,251
ARCX,4680,year,2021,0.976467695669986,251
ARCX,4680,year,2022,0.47523322999127815,250
ARCX,4680,year,2023,0.5462806874463694,248
ARCX,4680,vol_tercile,1,0.62571550550051,472
ARCX,4680,vol_tercile,2,0.5531932142116894,471
ARCX,4680,vol_tercile,3,0.8547433631065697,472
ARCX,11700,year,2018,1.648934996613741,166
ARCX,11700,year,2019,0.9746245702664658,249
ARCX,11700,year,2020,2.002319865255986,251
ARCX,11700,year,2021,0.9866710447884576,251
