instrument,cell,convention,b,trigamma_ref,gap
ES futures,ES/GLOBEX/B0/1day,1-minute calendar,-0.4392937136251936,-1.138577,0.6992832863748064
ES futures,ES/GLOBEX/B1/1day,1-minute calendar,-0.4073520687806927,-1.138577,0.7312249312193073
NQ futures,NQ/GLOBEX/B0/1day,1-minute calendar,-0.6867573942150653,-1.138577,0.45181960578493463
NQ futures,NQ/GLOBEX/B1/1day,1-minute calendar,-0.6435211537014299,-1.138577,0.49505584629857
ES futures,ES/RTH/B0/1day,1-minute calendar,-0.6334452980204796,-1.144373,0.5109277019795205
ES futures,ES/RTH/B0/1h,1-minute calendar,-0.4645799901882513,-1.209713,0.7451330098117488
ES futures,ES/RTH/B0/30min,1-minute calendar,-0.4108913230994372,-1.197101,0.7862096769005628
ES futures,ES/RTH/B1/1day,1-minute calendar,-0.6556720774902316,-1.144373,0.4887009225097685
ES futures,ES/RTH/B1/1h,1-minute calendar,-0.4671163321164924,-1.209713,0.7425966678835076
ES futures,ES/RTH/B1/30min,1-minute calendar,-0.4153660034648604,-1.197101,0.7817349965351396
NQ futures,NQ/RTH/B0/1day,1-minute calendar,-0.9765025643138976,-1.144373,0.1678704356861025
NQ futures,NQ/RTH/B0/1h,1-minute calendar,-0.8022340843215465,-1.209713,0.4074789156784535
NQ futures,NQ/RTH/B0/30min,1-minute calendar,-0.7004290569807979,-1.197101,0.49667194301920203
NQ futures,NQ/RTH/B1/1day,1-minute calendar,-1.003130316464643,-1.144373,0.14124268353535707
NQ futures,NQ/RTH/B1/1h,1-minute calendar,-0.8051918108746663,-1.209713,0.40452118912533375
NQ futures,NQ/RTH/B1/30min,1-minute calendar,-0.6956700003331537,-1.197101,0.5014309996668462
SPY ARCX,SPY/ARCX/RTH/1day,"calendar-time forward fill, full grid",-0.8410030054294009,-1.124766100301548,0.28376309487214724
SPY ARCX,SPY/ARCX/RTH/1day,"calendar-time forward fill, bias<1% range",-0.8410030054294009,-1.124766100301548,0.28376309487214724
SPY ARCX,SPY/ARCX/RTH/1day,"traded-tick, full grid",-0.5332573287789749,-1.124766100301548,0.5915087715225732
SPY ARCX,SPY/ARCX/RTH/1day,"traded-tick, bias<1% range",-0.5332573287789749,-1.124766100301548,0.5915087715225732
SPY ARCX,SPY/ARCX/RTH/1day,"calendar-time TRV3, full grid",-6.25973421887827,-1.124766100301548,-5.134968118576722
SPY XNAS,SPY/XNAS/RTH/1day,"calendar-time forward fill, full grid",-0.839369443632266,-1.124766100301548,0.28539665666928216
SPY XNAS,SPY/XNAS/RTH/1day,"calendar-time forward fill, bias<1% range",-0.839369443632266,-1.124766100301548,0.28539665666928216
SPY XNAS,SPY/XNAS/RTH/1day,"traded-tick, full grid",-0.5985384739875643,-1.124766100301548,0.5262276263139838
SPY XNAS,SPY/XNAS/RTH/1day,"traded-tick, bias<1% range",-0.5985384739875643,-1.124766100301548,0.5262276263139838
SPY XNAS,SPY/XNAS/RTH/1day,"calendar-time TRV3, full grid",-32.58600432810846,-1.124766100301548,-31.46123822780691
