cell,model,n_eval,n_replaced,share_replaced,replacement_value,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter,ic
ES/GLOBEX/B0/1day,M1_EWMA,1453,0,0.0,6.5418541908002226e-06,0.2934477716219317,0.0,0.07592322976891568,False,0.7045304150663971
ES/GLOBEX/B0/1day,M2_HAR,1453,0,0.0,6.5418541908002226e-06,0.16203603169093175,0.0,0.10370745618515037,False,0.8385490478795845
ES/GLOBEX/B0/1day,M3_HARJ,1453,3,0.0020646937370956643,6.5418541908002226e-06,0.2137159286814528,0.21092600943315554,0.24885950092526152,False,0.8112814622302527
ES/GLOBEX/B0/1day,M4_HARQ,1453,10,0.006882312456985547,6.5418541908002226e-06,0.890886288201179,0.3063841488413909,0.7641351136847313,True,0.7838842495314428
ES/GLOBEX/B0/1day,M5_RGARCH,1453,0,0.0,6.5418541908002226e-06,0.1642178442038731,0.0,0.08573660775950936,False,0.8327314570230117
ES/GLOBEX/B0/1day,M6_PARK,1453,0,0.0,6.5418541908002226e-06,0.5459487006020989,0.0,0.10810343576572806,False,0.762120401203652
ES/GLOBEX/B0/1day,M6_GK,1453,0,0.0,6.5418541908002226e-06,0.468315943654783,0.0,0.11128522782521359,False,0.7723841906226847
ES/GLOBEX/B1/1day,M1_EWMA,1453,0,0.0,6.488320195785491e-06,0.29280227384611673,0.0,0.07524230351904698,False,0.7055659049166827
ES/GLOBEX/B1/1day,M2_HAR,1453,0,0.0,6.488320195785491e-06,0.16278953121491713,0.0,0.10103228614993592,False,0.8388568247650383
ES/GLOBEX/B1/1day,M3_HARJ,1453,1,0.0006882312456985547,6.488320195785491e-06,0.19845964074027883,0.07796923331699696,0.190355294223448,False,0.8148971892642398
ES/GLOBEX/B1/1day,M4_HARQ,1453,11,0.007570543702684102,6.488320195785491e-06,0.48638191642799455,0.5519453516163397,0.5491203638550819,True,0.7916523691923945
ES/GLOBEX/B1/1day,M5_RGARCH,1453,0,0.0,6.488320195785491e-06,0.15625506211656387,0.0,0.06578055882457803,False,0.8390886218537355
ES/GLOBEX/B1/1day,M6_PARK,1453,0,0.0,6.488320195785491e-06,0.5268628355333752,0.0,0.10682202126372282,False,0.7629449247702378
ES/GLOBEX/B1/1day,M6_GK,1453,0,0.0,6.488320195785491e-06,0.4513081465609067,0.0,0.10902048005132949,False,0.7732014217556686
NQ/GLOBEX/B0/1day,M1_EWMA,1448,0,0.0,6.461583325290121e-06,0.2649812686706012,0.0,0.06943127390321395,False,0.6846324260932485
NQ/GLOBEX/B0/1day,M2_HAR,1448,0,0.0,6.461583325290121e-06,0.15448680047183694,0.0,0.07523135919948527,False,0.822690882606971
NQ/GLOBEX/B0/1day,M3_HARJ,1448,0,0.0,6.461583325290121e-06,0.1577554506475699,0.0,0.07879563191890461,False,0.8174998409543022
