cell,n_eval,lower_bound,seconds
ES/GLOBEX/B0/1day,1453,6.5418541908002226e-06,32.2
ES/GLOBEX/B1/1day,1453,6.488320195785491e-06,24.0
NQ/GLOBEX/B0/1day,1448,6.461583325290121e-06,10.6
NQ/GLOBEX/B0/1h,22134,8.539800546714105e-07,38.3
NQ/GLOBEX/B1/1day,1448,6.33928084425861e-06,6.7
ES/GLOBEX/B1/1h,1384,7.943096989038168e-07,77.3
ES/GLOBEX/B1/30min,79367,2.474673692631768e-07,85.5
ES/RTH/B0/1day,1401,4.0984739371197065e-06,4.2
NQ/GLOBEX/B1/1h,17982,8.539800546714105e-07,76.3
ES/RTH/B0/1h,10906,1.3670380667463178e-06,54.7
ES/GLOBEX/B0/1h,40833,7.943096989038168e-07,152.4
ES/RTH/B1/1day,1401,4.0120150970324175e-06,4.8
ES/RTH/B1/1h,10906,1.3670380667463178e-06,20.2
NQ/RTH/B0/1day,1401,5.4536676543648355e-06,6.7
ES/RTH/B0/30min,22312,1.130086502598715e-06,37.2
ES/RTH/B1/30min,22312,1.130086502598715e-06,40.4
ES/GLOBEX/B0/30min,13019,2.474673692631768e-07,198.6
NQ/RTH/B1/1day,1401,5.398064786277246e-06,4.9
NQ/RTH/B0/1h,10906,1.608227648830507e-06,21.1
NQ/RTH/B0/30min,22312,1.1104184522992e-06,24.1
NQ/RTH/B1/1h,10906,1.608227648830507e-06,12.1
NQ/RTH/B1/30min,22312,1.1104184522992e-06,18.4
NQ/GLOBEX/B1/30min,83081,1.8072569218929857e-07,141.8
NQ/GLOBEX/B0/30min,80551,1.8072569218929857e-07,195.9
