cell,scheme,message
ES/GLOBEX/B0/1h,S-A,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-A: 102 non-finite of 244998 entries (shape (40833, 6)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17, M6_PARK=17, M6_GK=17"
ES/GLOBEX/B0/1h,S-C_q0.80,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-C_q0.80: 102 non-finite of 49002 entries (shape (8167, 6)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17, M6_PARK=17, M6_GK=17"
ES/GLOBEX/B0/1h,S-C_q0.90,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-C_q0.90: 102 non-finite of 24504 entries (shape (4084, 6)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17, M6_PARK=17, M6_GK=17"
ES/GLOBEX/B1/30min,S-A,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-A: 252 non-finite of 476202 entries (shape (79367, 6)); by model: M1_EWMA=42, M2_HAR=42, M3_HARJ=42, M4_HARQ=42, M6_PARK=42, M6_GK=42"
ES/GLOBEX/B1/30min,S-C_q0.80,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-C_q0.80: 240 non-finite of 95244 entries (shape (15874, 6)); by model: M1_EWMA=40, M2_HAR=40, M3_HARJ=40, M4_HARQ=40, M6_PARK=40, M6_GK=40"
ES/GLOBEX/B1/30min,S-C_q0.90,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-C_q0.90: 240 non-finite of 47622 entries (shape (7937, 6)); by model: M1_EWMA=40, M2_HAR=40, M3_HARJ=40, M4_HARQ=40, M6_PARK=40, M6_GK=40"
NQ/GLOBEX/B0/1h,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-A: 90 non-finite of 132804 entries (shape (22134, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B0/1h,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-C_q0.80: 90 non-finite of 26562 entries (shape (4427, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B0/1h,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-C_q0.90: 90 non-finite of 13284 entries (shape (2214, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B0/30min,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-A: 180 non-finite of 402755 entries (shape (80551, 5)); by model: M1_EWMA=36, M2_HAR=36, M3_HARJ=36, M4_HARQ=36, M6_GK=36"
NQ/GLOBEX/B0/30min,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-C_q0.80: 175 non-finite of 80550 entries (shape (16110, 5)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35, M6_GK=35"
NQ/GLOBEX/B0/30min,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-C_q0.90: 175 non-finite of 40275 entries (shape (8055, 5)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35, M6_GK=35"
NQ/GLOBEX/B1/1h,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-A: 90 non-finite of 107892 entries (shape (17982, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B1/1h,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-C_q0.80: 90 non-finite of 21582 entries (shape (3597, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B1/1h,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-C_q0.90: 90 non-finite of 10794 entries (shape (1799, 6)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M6_PARK=15, M6_GK=15"
NQ/GLOBEX/B1/30min,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-A: 216 non-finite of 498486 entries (shape (83081, 6)); by model: M1_EWMA=36, M2_HAR=36, M3_HARJ=36, M4_HARQ=36, M6_PARK=36, M6_GK=36"
NQ/GLOBEX/B1/30min,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-C_q0.80: 210 non-finite of 99696 entries (shape (16616, 6)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35, M6_PARK=35, M6_GK=35"
NQ/GLOBEX/B1/30min,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-C_q0.90: 210 non-finite of 49848 entries (shape (8308, 6)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35, M6_PARK=35, M6_GK=35"
