root,geom,btag,horizon,scheme,model,n,ic_pearson_log,r2_oos,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean,lam_E2,ic_corrected_E2,r2_corrected_E2,lam_E4,ic_corrected_E4,r2_corrected_E4,lam_INT,ic_corrected_INT,r2_corrected_INT
ES,GLOBEX,B0,1day,S-A,M1_EWMA,1453,0.7045304150663971,0.45679847755265734,1.2404342421529033,23,63,0.5179063360881543,0.2934477716219317,0.8460494955211045,0.7659525409489004,0.539919330926736,0.9980149611159255,0.7052307179698653,0.45770704383217903,0.9932567898516397,0.7069178946542122,0.4598996777267319
ES,GLOBEX,B0,1day,S-A,M2_HAR,1453,0.8385490478795845,0.6822516929753322,4.104616793786671,23,63,0.400137741046832,0.16203603169093175,0.8460494955211045,0.9116551396480415,0.8063969030028381,0.9980149611159255,0.8393825652414646,0.6836086827921656,0.9932567898516397,0.8413906835171397,0.6868834927141434
ES,GLOBEX,B0,1day,S-A,M3_HARJ,1453,0.8112814622302527,0.6359362393638683,3.4196317589270437,23,63,0.4297520661157025,0.2137159286814528,0.8460494955211045,0.8820103208197739,0.7516537067044502,0.9980149611159255,0.812087875624735,0.6372011083409004,0.9932567898516397,0.8140306947539684,0.6402536039636403
ES,GLOBEX,B0,1day,S-A,M4_HARQ,1453,0.7838842495314428,0.5649069647818717,3.686545501974707,23,63,0.4035812672176309,0.890886288201179,0.8460494955211045,0.852224573841635,0.6676996650579295,0.9980149611159255,0.7846634301093005,0.5660305574479804,0.9932567898516397,0.7865406396672606,0.5687421123657765
ES,GLOBEX,B0,1day,S-A,M5_RGARCH,1453,0.8327314570230117,0.6591622208732474,3.7676823304458735,23,63,0.4049586776859504,0.1642178442038731,0.8460494955211045,0.9053303616065241,0.7791059794524807,0.9980149611159255,0.833559191702298,0.6604732860279052,0.9932567898516397,0.8355533782818497,0.6636372664230212
ES,GLOBEX,B0,1day,S-A,M6_PARK,1453,0.762120401203652,0.3188170369663601,3.2561403505745727,23,63,0.5082644628099173,0.5459487006020989,0.8460494955211045,0.828563317249999,0.37683024297531453,0.9980149611159255,0.7628779485264384,0.3194511599404045,0.9932567898516397,0.7647030390322256,0.320981482556974
ES,GLOBEX,B0,1day,S-A,M6_GK,1453,0.7723841906226847,0.3921773945054089,3.5070575815471203,23,63,0.49173553719008267,0.468315943654783,0.8460494955211045,0.8397219207923764,0.4635395406315517,0.9980149611159255,0.7731519401473591,0.39295743028430924,0.9932567898516397,0.7750016098988829,0.3948398828101517
ES,GLOBEX,B0,1day,S-B_q0.80,M1_EWMA,291,0.4492290076567435,-0.7664062911349814,2.1529927621527745,4,63,0.5344827586206896,0.5699179787917978,0.8460494955211045,0.4883935349337726,-0.9058646038940443,0.9980149611159255,0.44967554108050556,-0.7679306633620282,0.9932567898516397,0.450751333823363,-0.7716094155766684
ES,GLOBEX,B0,1day,S-B_q0.80,M2_HAR,291,0.6951132666936553,-0.022658092831709276,2.1108418935186437,4,63,0.43103448275862066,0.3130017666546417,0.8460494955211045,0.7557143900183765,-0.026781048805842676,0.9980149611159255,0.6958042089560399,-0.022703159486080492,0.9932567898516397,0.6974688338912675,-0.022811918391309118
ES,GLOBEX,B0,1day,S-B_q0.80,M3_HARJ,291,0.6927395411904734,-0.11947085417987635,1.9354133189177807,4,63,0.44482758620689655,0.42024509049216413,0.8460494955211045,0.7531337192030421,-0.14121024220490913,0.9980149611159255,0.6934281239708168,-0.11970848016776282,0.9932567898516397,0.6950870644185639,-0.12028194058227522
ES,GLOBEX,B0,1day,S-B_q0.80,M4_HARQ,291,0.5432180971278512,-0.44427641964888154,1.5568924288652748,4,63,0.4482758620689655,1.5425686370423026,0.8460494955211045,0.5905767485500134,-0.5251187099582629,0.9980149611159255,0.5437580556626423,-0.44516007971675703,0.9932567898516397,0.5450589291074077,-0.4472926077004135
ES,GLOBEX,B0,1day,S-B_q0.80,M5_RGARCH,291,0.6765590173178727,0.18413643626450205,2.2583049989075317,4,63,0.4689655172413793,0.23891623094958062,0.8460494955211045,0.7355425505195228,0.21764262875789256,0.9980149611159255,0.6772315166650451,0.18450268126102118,0.9932567898516397,0.6788517087464555,0.18538653663974053
ES,GLOBEX,B0,1day,S-B_q0.80,M6_PARK,291,0.6231613128174105,-0.6267647402183834,2.6632605590256837,4,63,0.5413793103448276,0.5788402542793156,0.8460494955211045,0.6774895458964179,-0.740813325386291,0.9980149611159255,0.6237807348712531,-0.62801136720192,0.9932567898516397,0.6252730526123877,-0.6310198396046219
ES,GLOBEX,B0,1day,S-B_q0.80,M6_GK,291,0.604868159966363,-0.5734147683514554,2.633747270352582,4,63,0.503448275862069,0.5560194509542857,0.8460494955211045,0.6576015657488099,-0.67775558213444,0.9980149611159255,0.605469398634817,-0.5745552829291202,0.9932567898516397,0.6069179087839536,-0.577307675326443
