root,geom,btag,horizon,c,A,b,rmse,valid,n_boot,c_lo,c_hi,invalid_reason
ES,GLOBEX,B0,1day,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,True,500,0.9400815740041637,1.1208537089161248,
ES,GLOBEX,B1,1day,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,True,500,0.938525792454701,1.1173616151140005,
NQ,GLOBEX,B0,1day,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,True,500,1.0102585623706868,1.1618834089199475,
NQ,GLOBEX,B1,1day,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,True,500,1.0099412261144982,1.1533680392987544,
ES,RTH,B0,1day,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,True,500,0.9974226362741573,1.1567944491574083,
ES,RTH,B0,1h,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,True,500,0.9376608272677326,1.1337805974696251,
ES,RTH,B0,30min,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,True,500,0.6383937198188699,0.9355589369156715,
ES,RTH,B1,1day,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,True,500,0.9982188381560635,1.175240716838768,
ES,RTH,B1,1h,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,True,500,0.9576558402115618,1.132803935899702,
ES,RTH,B1,30min,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,True,500,0.6639217980221788,0.9483469244507541,
NQ,RTH,B0,1day,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,True,500,0.9895769973204372,1.1268842009849929,
NQ,RTH,B0,1h,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,True,500,1.3758026334456641,1.4647069953703298,
NQ,RTH,B0,30min,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,True,500,1.3126072993681819,1.4173127132586774,
NQ,RTH,B1,1day,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,True,500,0.9874196964808197,1.1181076110705859,
NQ,RTH,B1,1h,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,True,500,1.3840439408622884,1.4695601944944892,
NQ,RTH,B1,30min,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,True,500,1.3101490038553643,1.4165137684935727,
