root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv,gap_measured_minus_theory,shrinkage_weight_measured,shrinkage_weight_theory,pct_diff_position_variability
ES,GLOBEX,B0,1day,276,0.8611896398864498,0.9919538681565023,0.8272250642225776,1.2498528736731134,1953,272.57654889912953,0.007272695217222512,0.9930149647327526,True,-0.16578990051017506,0.8272250642225776,0.9930149647327526,-16.695609471987527
ES,GLOBEX,B1,1day,276,0.8611896398864498,0.9919538681565023,0.8272250642225776,1.2498528736731134,1953,272.57654889912953,0.007272695217222512,0.9930149647327526,True,-0.16578990051017506,0.8272250642225776,0.9930149647327526,-16.695609471987527
NQ,GLOBEX,B0,1day,276,0.8684974727691429,0.9909194917213084,0.9399469453085768,1.1546778485307938,1948,272.36036960985626,0.007272695217222512,0.9933437324775314,True,-0.053396787168954574,0.9399469453085768,0.9933437324775314,-5.375459211463074
NQ,GLOBEX,B1,1day,276,0.8684974727691429,0.9909194917213084,0.9399469453085768,1.1546778485307938,1948,272.36036960985626,0.007272695217222512,0.9933437324775314,True,-0.053396787168954574,0.9399469453085768,0.9933437324775314,-5.375459211463074
ES,RTH,B0,1day,78,0.9005401772673063,0.9794131170438535,0.8397800078923314,1.2871686279157712,1901,77.99684376643872,0.025972566037214765,0.9765359952651714,True,-0.13675598737284,0.8397800078923314,0.9765359952651714,-14.004193192664127
ES,RTH,B0,1h,12,0.8645049114599402,0.9227607023017259,0.588054052124918,1.7888437170876814,11406,11.99947396107312,0.18132295573711532,0.8529726155294435,True,-0.26491856340452546,0.588054052124918,0.8529726155294435,-31.05827298336998
ES,RTH,B0,30min,6,1.5425957485729558,0.999852446186099,0.3958240376050629,2.059807974863609,22812,5.99973698053656,0.39493406684822646,0.6736771351183367,True,-0.2778530975132738,0.3958240376050629,0.6736771351183367,-41.24425233230852
ES,RTH,B1,1day,78,0.9005401772673063,0.9794131170438535,0.8397800078923314,1.2871686279157712,1901,77.99684376643872,0.025972566037214765,0.9765359952651714,True,-0.13675598737284,0.8397800078923314,0.9765359952651714,-14.004193192664127
ES,RTH,B1,1h,12,0.8645049114599402,0.9227607023017259,0.588054052124918,1.7888437170876814,11406,11.99947396107312,0.18132295573711532,0.8529726155294435,True,-0.26491856340452546,0.588054052124918,0.8529726155294435,-31.05827298336998
ES,RTH,B1,30min,6,1.5425957485729558,0.999852446186099,0.3958240376050629,2.059807974863609,22812,5.99973698053656,0.39493406684822646,0.6736771351183367,True,-0.2778530975132738,0.3958240376050629,0.6736771351183367,-41.24425233230852
NQ,RTH,B0,1day,78,0.9094029909091661,0.9762839500445042,0.9312843759268288,1.1347471175685595,1901,77.99684376643872,0.025972566037214765,0.9760122926626974,True,-0.04472791673586862,0.9312843759268288,0.9760122926626974,-4.582720634987558
NQ,RTH,B0,1h,12,0.8621540592523426,0.9213693169514057,0.8101747602302579,1.758752058556736,11406,11.99947396107312,0.18132295573711532,0.887111968415982,True,-0.07693720818572414,0.8101747602302579,0.887111968415982,-8.672773102486985
NQ,RTH,B0,30min,6,0.7583767797990534,0.9969397199405703,0.6765338975574761,2.022715624096093,22812,5.99973698053656,0.39493406684822646,0.7760344553519921,True,-0.09950055779451605,0.6765338975574761,0.7760344553519921,-12.821667531422277
NQ,RTH,B1,1day,78,0.9094029909091661,0.9762839500445042,0.9312843759268288,1.1347471175685595,1901,77.99684376643872,0.025972566037214765,0.9760122926626974,True,-0.04472791673586862,0.9312843759268288,0.9760122926626974,-4.582720634987558
NQ,RTH,B1,1h,12,0.8621540592523426,0.9213693169514057,0.8101747602302579,1.758752058556736,11406,11.99947396107312,0.18132295573711532,0.887111968415982,True,-0.07693720818572414,0.8101747602302579,0.887111968415982,-8.672773102486985
NQ,RTH,B1,30min,6,0.7583767797990534,0.9969397199405703,0.6765338975574761,2.022715624096093,22812,5.99973698053656,0.39493406684822646,0.7760344553519921,True,-0.09950055779451605,0.6765338975574761,0.7760344553519921,-12.821667531422277
