cell,root,geom,btag,horizon,quantile,level,status,bc_differs,dc_differs,s_b,s_c,s_d
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.8,mcs75,ok,True,True,M5_RGARCH,M2_HAR|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.8,mcs90,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.9,mcs75,ok,True,True,M5_RGARCH,M2_HAR|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.9,mcs90,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.8,mcs75,HALTED,,,,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.8,mcs90,HALTED,,,,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.9,mcs75,HALTED,,,,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.9,mcs90,HALTED,,,,,
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.8,mcs75,ok,True,False,M2_HAR,M4_HARQ,M4_HARQ
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.8,mcs90,ok,True,False,M2_HAR,M4_HARQ,M4_HARQ
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.9,mcs75,ok,True,False,M2_HAR,M4_HARQ,M4_HARQ
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.9,mcs90,ok,True,False,M2_HAR,M4_HARQ,M4_HARQ
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.8,mcs75,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.8,mcs90,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.9,mcs75,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.9,mcs90,ok,True,True,M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.8,mcs75,ok,True,False,M2_HAR|M3_HARJ,M4_HARQ,M4_HARQ
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.8,mcs90,ok,False,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M4_HARQ
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.9,mcs75,ok,False,False,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
