root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,GLOBEX,B0,1day,S-D_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,258324736,"{""M6_PARK"": 0.004, ""M1_EWMA"": 0.004, ""M6_GK"": 0.004, ""M4_HARQ"": 0.3924, ""M3_HARJ"": 0.3924, ""M2_HAR"": 0.3924, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-D_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,1777590468,"{""M1_EWMA"": 0.0076, ""M6_PARK"": 0.0428, ""M6_GK"": 0.0428, ""M4_HARQ"": 0.4084, ""M3_HARJ"": 0.4084, ""M2_HAR"": 0.52, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1h,S-D_q0.80,8167,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
ES,GLOBEX,B0,1h,S-D_q0.90,4084,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
ES,GLOBEX,B0,30min,S-D_q0.80,2604,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,M4_HARQ,M4_HARQ,3158710137,"{""M1_EWMA"": 0.0003, ""M6_GK"": 0.0169, ""M2_HAR"": 0.0555, ""M3_HARJ"": 0.0555, ""M4_HARQ"": 1.0}"
ES,GLOBEX,B0,30min,S-D_q0.90,1302,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,M4_HARQ,M4_HARQ,1574363919,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 1.0}"
ES,GLOBEX,B1,1day,S-D_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,2598008422,"{""M6_PARK"": 0.0062, ""M1_EWMA"": 0.0062, ""M6_GK"": 0.0062, ""M4_HARQ"": 0.357, ""M3_HARJ"": 0.357, ""M2_HAR"": 0.357, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-D_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,1815588993,"{""M1_EWMA"": 0.0063, ""M6_PARK"": 0.046, ""M6_GK"": 0.046, ""M4_HARQ"": 0.4579, ""M3_HARJ"": 0.4579, ""M2_HAR"": 0.4579, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1h,S-D_q0.80,277,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M4_HARQ,M4_HARQ,929158830,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0001, ""M1_EWMA"": 0.0001, ""M3_HARJ"": 0.0372, ""M2_HAR"": 0.0372, ""M4_HARQ"": 1.0}"
ES,GLOBEX,B1,1h,S-D_q0.90,139,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1975443072,"{""M6_PARK"": 0.0016, ""M1_EWMA"": 0.0075, ""M6_GK"": 0.0075, ""M3_HARJ"": 0.264, ""M2_HAR"": 0.264, ""M4_HARQ"": 1.0}"
