cell,scheme,level,n_seeds,n_distinct,modal,modal_freq,s08_in_set,indeterminate
ES/GLOBEX/B0/1day,S-A,mcs75,20,1,M2_HAR|M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-A,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-B_q0.80,mcs75,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-B_q0.80,mcs90,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-B_q0.90,mcs75,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-B_q0.90,mcs90,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-C_q0.80,mcs75,20,1,M2_HAR|M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-C_q0.90,mcs75,20,1,M2_HAR|M5_RGARCH,20,True,False
ES/GLOBEX/B0/1day,S-C_q0.90,mcs90,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,20,True,False
ES/GLOBEX/B1/1day,S-A,mcs75,20,1,M2_HAR|M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-A,mcs90,20,1,M2_HAR|M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-B_q0.80,mcs75,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-B_q0.80,mcs90,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-B_q0.90,mcs75,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-B_q0.90,mcs90,20,1,M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-C_q0.80,mcs75,20,1,M2_HAR|M3_HARJ|M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-C_q0.80,mcs90,20,1,M2_HAR|M3_HARJ|M5_RGARCH,20,True,False
ES/GLOBEX/B1/1day,S-C_q0.90,mcs75,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,20,True,False
