root,geom,btag,horizon,c_s09,c_s08,dc,b_s09,b_s08,db
ES,GLOBEX,B0,1day,1.0339096236930143,1.0339096236930143,0.0,-0.44267230886995196,-0.4426723088699519,5.551115123125783e-17
ES,GLOBEX,B1,1day,1.0339096236930143,1.0339096236930143,0.0,-0.44267230886995196,-0.4426723088699519,5.551115123125783e-17
NQ,GLOBEX,B0,1day,1.0853359165419991,1.0853359165419991,0.0,-0.6885818703023351,-0.6885818703023351,0.0
NQ,GLOBEX,B1,1day,1.0853359165419991,1.0853359165419991,0.0,-0.6885818703023351,-0.6885818703023351,0.0
ES,RTH,B0,1day,1.0809384805098678,1.0809384805098678,0.0,-0.6274444402914557,-0.6274444402914557,0.0
ES,RTH,B0,1h,1.0519367964516115,1.0519367964516115,0.0,-0.4658063390118118,-0.4658063390118118,0.0
ES,RTH,B0,30min,0.8153215093016217,0.8153215093016217,0.0,-0.4111082142208998,-0.4111082142208998,0.0
ES,RTH,B1,1day,1.0809384805098678,1.0809384805098678,0.0,-0.6274444402914557,-0.6274444402914557,0.0
ES,RTH,B1,1h,1.0519367964516115,1.0519367964516115,0.0,-0.4658063390118118,-0.4658063390118118,0.0
ES,RTH,B1,30min,0.8153215093016217,0.8153215093016217,0.0,-0.4111082142208998,-0.4111082142208998,0.0
NQ,RTH,B0,1day,1.0567722612196038,1.0567722612196038,0.0,-0.9743997456786048,-0.9743997456786048,0.0
NQ,RTH,B0,1h,1.4248965273456762,1.4248965273456762,0.0,-0.8032152189778061,-0.8032152189778061,0.0
NQ,RTH,B0,30min,1.3684356848201322,1.3684356848201322,0.0,-0.7009504764461806,-0.7009504764461806,0.0
NQ,RTH,B1,1day,1.0567722612196038,1.0567722612196038,0.0,-0.9743997456786048,-0.9743997456786048,0.0
NQ,RTH,B1,1h,1.4248965273456762,1.4248965273456762,0.0,-0.8032152189778061,-0.8032152189778061,0.0
NQ,RTH,B1,30min,1.3684356848201322,1.3684356848201322,0.0,-0.7009504764461806,-0.7009504764461806,0.0
