arm,root,geom,range,cost_0.5t_R2,cost_0.5t_R3,cost_1.0t_R2,cost_1.0t_R3,cost_2.0t_R2,cost_2.0t_R3,cost_4.0t_R2,cost_4.0t_R3,te_mean_R2,te_mean_R3,rel_te_diff_pct,rel_netcost_diff_pct_0.5t,rel_netcost_diff_pct_1.0t,rel_netcost_diff_pct_2.0t,rel_netcost_diff_pct_4.0t
A2,ES,GLOBEX,extended,6.703325145243858e-05,5.836116326753324e-05,0.00013406650290487715,0.00011672232653506648,0.0002681330058097543,0.00023344465307013296,0.0005362660116195086,0.0004668893061402659,0.5798849495085132,0.5601908057101929,3.3962157174474528,12.936994695920955,12.936994695920955,12.936994695920955,12.936994695920955
A2,ES,GLOBEX,restricted_S05,6.737989361099062e-05,10647396.962252546,0.00013475978722198123,21294793.924505092,0.00026951957444396247,42589587.849010184,0.0005390391488879249,85179175.69802037,0.5807790597455382,27.734187867439754,4675.34225830924,15802038845084.234,15802038845084.234,15802038845084.234,15802038845084.234
A2,ES,RTH,extended,5.078860601151793e-05,4.5412902133812e-05,0.00010157721202303585,9.0825804267624e-05,0.0002031544240460717,0.000181651608535248,0.0004063088480921434,0.000363303217070496,0.5943945590933446,0.5765661045659393,2.999430976387105,10.584468249604674,10.584468249604674,10.584468249604674,10.584468249604674
A2,ES,RTH,restricted_S05,4.959181232404003e-05,2.1586859679609455e-05,9.918362464808006e-05,4.317371935921891e-05,0.00019836724929616012,8.634743871843782e-05,0.00039673449859232025,0.00017269487743687564,0.5900864559789156,0.5329667329335843,9.679890542577079,56.47091996042047,56.47091996042047,56.47091996042047,56.47091996042047
A2,NQ,GLOBEX,extended,2.2013593478696597e-05,2.114317383822307e-05,4.4027186957393194e-05,4.228634767644614e-05,8.805437391478639e-05,8.457269535289228e-05,0.00017610874782957278,0.00016914539070578456,0.5976131428314974,0.5904601619630554,1.1969249596069895,3.9540097863434513,3.9540097863434513,3.9540097863434513,3.9540097863434513
A2,NQ,GLOBEX,restricted_S05,2.2002341781572747e-05,1.9600380515147988e-05,4.4004683563145494e-05,3.9200761030295976e-05,8.800936712629099e-05,7.840152206059195e-05,0.00017601873425258197,0.0001568030441211839,0.5975170436818263,0.5790920093162005,3.0835998002823524,10.916843717228469,10.916843717228469,10.916843717228469,10.916843717228469
A2,NQ,RTH,extended,1.7180686327823436e-05,1.6599179025066413e-05,3.436137265564687e-05,3.3198358050132826e-05,6.872274531129374e-05,6.639671610026565e-05,0.0001374454906225875,0.0001327934322005313,0.5862452898503662,0.580354085720429,1.0049043006282972,3.384657001829403,3.384657001829403,3.384657001829403,3.384657001829403
A2,NQ,RTH,restricted_S05,1.7169436529456054e-05,1.6149880408743617e-05,3.433887305891211e-05,3.2299760817487234e-05,6.867774611782421e-05,6.459952163497447e-05,0.00013735549223564843,0.00012919904326994894,0.5861275101877872,0.5760675993628481,1.7163348674277394,5.938203731749006,5.938203731749006,5.938203731749006,5.938203731749006
A4p,ES,GLOBEX,extended,101.51709100585822,10.27763407072047,203.03418201171644,20.55526814144094,406.0683640234329,41.11053628288188,812.1367280468658,82.22107256576376,1.5475827058072962,1.3097571422113323,15.367551130128595,89.87595687692885,89.87595687692885,89.87595687692885,89.87595687692885
A4p,ES,GLOBEX,restricted_S05,111.81113292055929,585466469.6280963,223.62226584111858,1170932939.2561927,447.24453168223715,2341865878.5123854,894.4890633644743,4683731757.024771,1.5577293434097423,109.46507822748381,6927.220658748952,523620808.1649003,523620808.1649003,523620808.1649003,523620808.1649003
A4p,ES,RTH,extended,95.87150380806615,14.503327981071456,191.7430076161323,29.00665596214291,383.4860152322646,58.01331192428582,766.9720304645292,116.02662384857165,1.6416737397820556,1.426545426714623,13.104206265490518,84.87211798606292,84.87211798606292,84.87211798606292,84.87211798606292
A4p,ES,RTH,restricted_S05,62.01472343041134,0.016068272420362312,124.02944686082267,0.032136544840724625,248.05889372164535,0.06427308968144925,496.1177874432907,0.1285461793628985,1.5917260587742164,0.7214770808488684,54.67328835437451,99.97408958464776,99.97408958464776,99.97408958464776,99.97408958464776
A4p,NQ,GLOBEX,extended,32.24113105748133,15.419586139775735,64.48226211496267,30.83917227955147,128.96452422992533,61.67834455910294,257.92904845985066,123.35668911820588,1.4677754501981677,1.395255014709567,4.9408399274432275,52.174177412433785,52.174177412433785,52.174177412433785,52.174177412433785
A4p,NQ,GLOBEX,restricted_S05,31.929849616719395,4.428694663383327,63.85969923343879,8.857389326766654,127.71939846687758,17.71477865353331,255.43879693375516,35.42955730706662,1.466818081558331,1.274013534329404,13.144407588982927,86.12992320181698,86.12992320181698,86.12992320181698,86.12992320181698
A4p,NQ,RTH,extended,32.002092916657745,17.254872653748208,64.00418583331549,34.509745307496416,128.00837166663098,69.01949061499283,256.01674333326196,138.03898122998567,1.631099921211162,1.5606837316568907,4.317098458442961,46.08204938756773,46.08204938756773,46.08204938756773,46.08204938756773
A4p,NQ,RTH,restricted_S05,31.616454367948744,10.836009665681985,63.23290873589749,21.67201933136397,126.46581747179498,43.34403866272794,252.93163494358996,86.68807732545588,1.6297145945868199,1.5078937971807973,7.474977386264845,65.72667656033241,65.72667656033241,65.72667656033241,65.72667656033241
