root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
ES,GLOBEX,B0,1day,A2,restricted_S05,R0,0,3280325159,,True,2.8422618968763854e-17,0.004102967232239614,0.0031468040291156123,0.0062936080582312245,0.012587216116462449,0.025174432232924898
ES,GLOBEX,B0,1day,A2,restricted_S05,R1,0,3280325159,,True,0.5974662533405926,0.00010334159692268213,7.925867674893148e-05,0.00015851735349786295,0.0003170347069957259,0.0006340694139914518
ES,GLOBEX,B0,1day,A2,restricted_S05,R2,0,3280325159,1.0000065365203092,False,0.5974671689495925,0.00010334207625082327,7.92590443735408e-05,0.0001585180887470816,0.0003170361774941632,0.0006340723549883265
ES,GLOBEX,B0,1day,A2,restricted_S05,R3,0,3280325159,-890.2105121888576,False,27.632152135142526,0.0,0.0,0.0,0.0,0.0
ES,GLOBEX,B0,1day,A2,extended,R0,0,3280325159,,True,2.8422618968763854e-17,0.004102967232239614,0.0031468040291156123,0.0062936080582312245,0.012587216116462449,0.025174432232924898
ES,GLOBEX,B0,1day,A2,extended,R1,0,3280325159,,True,0.5974662533405926,0.00010334159692268213,7.925867674893148e-05,0.00015851735349786295,0.0003170347069957259,0.0006340694139914518
ES,GLOBEX,B0,1day,A2,extended,R2,0,3280325159,0.9930149647327526,True,0.5964903160533611,0.00010282813006588479,7.886486917447879e-05,0.00015772973834895758,0.00031545947669791517,0.0006309189533958303
ES,GLOBEX,B0,1day,A2,extended,R3,0,3280325159,0.8272250642225776,True,0.5748511763053267,8.988829924070592e-05,6.894056086979836e-05,0.00013788112173959672,0.00027576224347919344,0.0005515244869583869
ES,GLOBEX,B0,1day,A4p,restricted_S05,R0,0,3280325159,,True,4.0195653223788637e-17,0.0048297679233492005,0.0037042297197661415,0.007408459439532283,0.014816918879064566,0.029633837758129132
ES,GLOBEX,B0,1day,A4p,restricted_S05,R1,0,3280325159,,True,1.6131297889503244,164.86141313621178,126.441799248673,252.883598497346,505.767196994692,1011.534393989384
ES,GLOBEX,B0,1day,A4p,restricted_S05,R2,0,3280325159,1.0000065365203092,False,1.6131397867002413,164.87629854255508,126.45321573191666,252.90643146383331,505.81286292766663,1011.6257258553333
ES,GLOBEX,B0,1day,A4p,restricted_S05,R3,0,3280325159,-890.2105121888576,False,124.16047246625033,904627483.9425647,693811393.1183681,1387622786.2367363,2775245572.4734726,5550491144.946945
ES,GLOBEX,B0,1day,A4p,extended,R0,0,3280325159,,True,4.0195653223788637e-17,0.0048297679233492005,0.0037042297197661415,0.007408459439532283,0.014816918879064566,0.029633837758129132
