root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
ES,GLOBEX,B0,1day,restricted_S05,RS_up,1952,0.8159040052640353,0.665699345805895,1.0000065365203092,-890.2105121888576,0.6656949944770438,-0.0007477999155155643,0.8159013386905575,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,RS_down,1952,0.8344949506987096,0.6963818227416417,1.0000065365203092,-890.2105121888576,0.6963772708574679,-0.0007822664563119704,0.8344922233654835,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,JumpVar,1952,-0.11477211985322472,0.01317263949560298,1.0000065365203092,-890.2105121888576,0.013172553392940203,-1.4797218540156279e-05,-0.11477174474991744,,False,False,False,-17.804210243777153,0.02,True,False
ES,GLOBEX,B0,1day,restricted_S05,Parkinson,1952,0.7796684780908717,0.6078829357285361,1.0000065365203092,-890.2105121888576,0.6078789623153534,-0.000682853018926802,0.7796659299439429,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,GarmanKlass,1952,0.789388123758867,0.6231336099315443,1.0000065365203092,-890.2105121888576,0.6231295368326715,-0.0006999845557871226,0.7893855438457633,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,VolumeSurprise,1952,0.18397142532025257,0.033845485334365266,1.0000065365203092,-890.2105121888576,0.033845264104109075,-3.801964240025169e-05,0.18397082405672122,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,CrossLeadLag,1952,0.6925778060239255,0.47966401739691417,1.0000065365203092,-890.2105121888576,0.47966088208381685,-0.000538820886553577,0.6925755425105747,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,RealizedQuarticity,1952,0.7929267112039016,0.6287327693406355,1.0000065365203092,-890.2105121888576,0.6287286596429827,-0.0007062742584275956,0.7929241197258302,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B0,1day,restricted_S05,SignatureSlope,1952,0.06210075546382388,0.0038565038291776517,1.0000065365203092,-890.2105121888576,0.0038564786212268217,-4.332125689793581e-06,0.06210055250339422,,False,False,False,-17.804210243777153,0.02,True,False
ES,GLOBEX,B0,1day,extended,RS_up,1952,0.8159040052640353,0.665699345805895,0.9930149647327526,0.8272250642225776,0.670381987632032,0.8047378816205433,0.8187685800224823,0.8970718374915931,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B0,1day,extended,RS_down,1952,0.8344949506987096,0.6963818227416417,0.9930149647327526,0.8272250642225776,0.7012802903016241,0.8418287269814513,0.8374247968036438,0.9175122489544493,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B0,1day,extended,JumpVar,1952,-0.11477211985322472,0.01317263949560298,0.9930149647327526,0.8272250642225776,0.013265298070455662,0.01592388826852408,-0.11517507573453407,-0.12618988972387638,False,False,False,0.016544501284451552,0.02,False,True
ES,GLOBEX,B0,1day,extended,Parkinson,1952,0.7796684780908717,0.6078829357285361,0.9930149647327526,0.8272250642225776,0.6121588871443987,0.7348458865905155,0.7824058327648118,0.8572315244964545,True,True,True,0.016544501284451552,0.02,False,True
