root,geom,range,rule,lam_used,te,turnover,n,cost_0.5t_bps,cost_1.0t_bps,cost_2.0t_bps,cost_4.0t_bps,te_quarterly_mean,te_quarterly_sd,n_quarters,te_quarterly_max
ES,GLOBEX,restricted_S05,R1,,0.37797859491167446,0.07464471371923875,641,0.030281032053137466,0.06056206410627493,0.12112412821254986,0.24224825642509973,0.37419102743878,0.030428891736119748,11,0.4242103931659775
ES,GLOBEX,restricted_S05,R2,1.0000065365203092,0.37797884407945126,0.07464515641977279,641,0.0302812116429355,0.060562423285871,0.121124846571742,0.242249693143484,0.37419127264547175,0.03042890909183983,11,0.4242106031832028
ES,GLOBEX,restricted_S05,R3,-890.2105121888576,106.09028506958812,1007985760.3673401,641,408908382.09381026,817816764.1876205,1635633528.375241,3271267056.750482,95.90350797380496,41.78203023709196,11,184.88626234340123
ES,GLOBEX,extended,R1,,0.37797859491167446,0.07464471371923875,641,0.030281032053137466,0.06056206410627493,0.12112412821254986,0.24224825642509973,0.37419102743878,0.030428891736119748,11,0.4242103931659775
ES,GLOBEX,extended,R2,0.9930149647327526,0.37771897128020376,0.0741714566124172,641,0.030089046406639564,0.06017809281327913,0.12035618562655825,0.2407123712531165,0.3739351811337049,0.030413916446246584,11,0.4239892184613618
ES,GLOBEX,extended,R3,0.8272250642225776,0.37549854988497644,0.06282051660631187,641,0.0254843241023791,0.0509686482047582,0.1019372964095164,0.2038745928190328,0.37161417650039597,0.031177963806898957,11,0.42066826021256726
NQ,GLOBEX,restricted_S05,R1,,0.3445709093896194,0.056946688194735195,641,0.006347989956829101,0.012695979913658203,0.025391959827316405,0.05078391965463281,0.3374021716758303,0.04613425557885439,11,0.4066251868352764
NQ,GLOBEX,restricted_S05,R2,0.9926414064188588,0.3442591726858988,0.05657361923333597,641,0.006306403025345597,0.012612806050691193,0.025225612101382387,0.05045122420276477,0.33707226963234327,0.04615437133896921,11,0.40640032044113955
NQ,GLOBEX,restricted_S05,R3,0.8496344690820835,0.34137042510396354,0.04923561033869685,641,0.005488416795716209,0.010976833591432419,0.021953667182864837,0.043907334365729675,0.3338369742082545,0.04702025835373575,11,0.40351497426310473
NQ,GLOBEX,extended,R1,,0.3445709093896194,0.056946688194735195,641,0.006347989956829101,0.012695979913658203,0.025391959827316405,0.05078391965463281,0.3374021716758303,0.04613425557885439,11,0.4066251868352764
NQ,GLOBEX,extended,R2,0.9933437324775314,0.3442882457100369,0.056609243772136685,641,0.006310374181907859,0.012620748363815718,0.025241496727631436,0.05048299345526287,0.3371030875361989,0.04615226201410697,11,0.4064214624776647
NQ,GLOBEX,extended,R3,0.9399469453085768,0.3424899098568932,0.05388975943673541,641,0.006007226452054846,0.012014452904109692,0.024028905808219383,0.04805781161643877,0.3351688697176308,0.04640238761084651,11,0.4050074100836648
ES,RTH,restricted_S05,R1,,0.378079489164797,0.09070945723293095,621,0.03679021755669199,0.07358043511338398,0.14716087022676796,0.29432174045353593,0.3760745036182582,0.03935157056176058,11,0.44198535197703126
ES,RTH,restricted_S05,R2,0.9449916624649066,0.3755666471627612,0.08628923117386317,621,0.034997448827569604,0.06999489765513921,0.13998979531027841,0.27997959062055683,0.37360370616400457,0.03884270547056107,11,0.44260282462643363
ES,RTH,restricted_S05,R3,0.3466401547514712,0.4021548151643393,0.034564383472750024,621,0.014018727776200963,0.028037455552401926,0.05607491110480385,0.1121498222096077,0.3968837507530218,0.054732461290708016,11,0.5225806503293504
ES,RTH,extended,R1,,0.378079489164797,0.09070945723293095,621,0.03679021755669199,0.07358043511338398,0.14716087022676796,0.29432174045353593,0.3760745036182582,0.03935157056176058,11,0.44198535197703126
ES,RTH,extended,R2,0.9765359952651714,0.3769060162374523,0.08882928848638809,621,0.03602765299794945,0.0720553059958989,0.1441106119917978,0.2882212239835956,0.3749264050332179,0.039088990849007216,11,0.4422368863037146
ES,RTH,extended,R3,0.8397800078923314,0.3731059051904795,0.07770744076732064,621,0.031516820173030466,0.06303364034606093,0.12606728069212186,0.2521345613842437,0.37108440296155915,0.03861256455282152,11,0.4440527170198779
NQ,RTH,restricted_S05,R1,,0.33571451867827146,0.06873656908511656,621,0.007661830488710872,0.015323660977421744,0.030647321954843487,0.061294643909686974,0.3304729787703244,0.0471157599213333,11,0.4204281143940203
NQ,RTH,restricted_S05,R2,0.9751344278478182,0.3346264994500665,0.06722026641719483,621,0.007492813411399228,0.014985626822798456,0.029971253645596913,0.059942507291193825,0.3293305657210113,0.04698865306911349,11,0.41971281281626216
NQ,RTH,restricted_S05,R3,0.8975978507290965,0.3323287575337351,0.062449025780003824,621,0.006960979520508653,0.013921959041017305,0.02784391808203461,0.05568783616406922,0.32678852387277657,0.04717442930281875,11,0.4179696895687373
NQ,RTH,extended,R1,,0.33571451867827146,0.06873656908511656,621,0.007661830488710872,0.015323660977421744,0.030647321954843487,0.061294643909686974,0.3304729787703244,0.0471157599213333,11,0.4204281143940203
NQ,RTH,extended,R2,0.9760122926626974,0.33466203236137454,0.067273909265865,621,0.007498792796447286,0.014997585592894573,0.029995171185789146,0.05999034237157829,0.32936824068747295,0.04699143727897544,11,0.4197367797860323
NQ,RTH,extended,R3,0.9312843759268288,0.33312191215257275,0.06453016958992859,621,0.007192957509903618,0.014385915019807237,0.028771830039614473,0.057543660079228946,0.327700295235658,0.046995059982373265,11,0.41863597740560277
