root,geom,range,rule,quarter,te
ES,GLOBEX,restricted_S05,R1,2024Q1,0.3529457081811329
ES,GLOBEX,restricted_S05,R1,2024Q2,0.39746376370778935
ES,GLOBEX,restricted_S05,R1,2024Q3,0.3622414658509761
ES,GLOBEX,restricted_S05,R1,2024Q4,0.38014789473684346
ES,GLOBEX,restricted_S05,R1,2025Q1,0.41377759503514316
ES,GLOBEX,restricted_S05,R1,2025Q2,0.38031650138968737
ES,GLOBEX,restricted_S05,R1,2025Q3,0.3806954280163823
ES,GLOBEX,restricted_S05,R1,2025Q4,0.4242103931659775
ES,GLOBEX,restricted_S05,R1,2026Q1,0.342266880922877
ES,GLOBEX,restricted_S05,R1,2026Q2,0.36969620209864124
ES,GLOBEX,restricted_S05,R1,2026Q3,0.3123394687211303
ES,GLOBEX,restricted_S05,R2,2024Q1,0.35294553243472926
ES,GLOBEX,restricted_S05,R2,2024Q2,0.3974638104887176
ES,GLOBEX,restricted_S05,R2,2024Q3,0.3622416756997676
ES,GLOBEX,restricted_S05,R2,2024Q4,0.3801477427374162
ES,GLOBEX,restricted_S05,R2,2025Q1,0.4137780802921414
ES,GLOBEX,restricted_S05,R2,2025Q2,0.38031763763895693
ES,GLOBEX,restricted_S05,R2,2025Q3,0.38069510221495717
ES,GLOBEX,restricted_S05,R2,2025Q4,0.4242106031832028
ES,GLOBEX,restricted_S05,R2,2026Q1,0.34226746161682864
ES,GLOBEX,restricted_S05,R2,2026Q2,0.36969673495166905
ES,GLOBEX,restricted_S05,R2,2026Q3,0.3123396178418027
ES,GLOBEX,restricted_S05,R3,2024Q1,111.89529234819231
ES,GLOBEX,restricted_S05,R3,2024Q2,124.56766177277494
ES,GLOBEX,restricted_S05,R3,2024Q3,126.33655335377658
ES,GLOBEX,restricted_S05,R3,2024Q4,184.88626234340123
ES,GLOBEX,restricted_S05,R3,2025Q1,73.82250864874341
ES,GLOBEX,restricted_S05,R3,2025Q2,27.309277531168277
ES,GLOBEX,restricted_S05,R3,2025Q3,123.51087660875821
ES,GLOBEX,restricted_S05,R3,2025Q4,93.98791378689094
ES,GLOBEX,restricted_S05,R3,2026Q1,68.11616356423302
ES,GLOBEX,restricted_S05,R3,2026Q2,58.12899049638866
ES,GLOBEX,restricted_S05,R3,2026Q3,62.377087257527194
ES,GLOBEX,extended,R1,2024Q1,0.3529457081811329
ES,GLOBEX,extended,R1,2024Q2,0.39746376370778935
ES,GLOBEX,extended,R1,2024Q3,0.3622414658509761
ES,GLOBEX,extended,R1,2024Q4,0.38014789473684346
ES,GLOBEX,extended,R1,2025Q1,0.41377759503514316
ES,GLOBEX,extended,R1,2025Q2,0.38031650138968737
ES,GLOBEX,extended,R1,2025Q3,0.3806954280163823
ES,GLOBEX,extended,R1,2025Q4,0.4242103931659775
ES,GLOBEX,extended,R1,2026Q1,0.342266880922877
ES,GLOBEX,extended,R1,2026Q2,0.36969620209864124
ES,GLOBEX,extended,R1,2026Q3,0.3123394687211303
ES,GLOBEX,extended,R2,2024Q1,0.3531346053963776
ES,GLOBEX,extended,R2,2024Q2,0.3974166391868267
ES,GLOBEX,extended,R2,2024Q3,0.3620242032893853
ES,GLOBEX,extended,R2,2024Q4,0.38031331844207383
ES,GLOBEX,extended,R2,2025Q1,0.41326631597195956
ES,GLOBEX,extended,R2,2025Q2,0.37913068973222513
ES,GLOBEX,extended,R2,2025Q3,0.38104473862662264
ES,GLOBEX,extended,R2,2025Q4,0.4239892184613618
ES,GLOBEX,extended,R2,2026Q1,0.3416551300116365
ES,GLOBEX,extended,R2,2026Q2,0.36913052927990847
ES,GLOBEX,extended,R2,2026Q3,0.312181604072376
ES,GLOBEX,extended,R3,2024Q1,0.35824945858895
ES,GLOBEX,extended,R3,2024Q2,0.39798073962628144
ES,GLOBEX,extended,R3,2024Q3,0.3610024017000757
ES,GLOBEX,extended,R3,2024Q4,0.3859734599551938
ES,GLOBEX,extended,R3,2025Q1,0.40550862682770944
ES,GLOBEX,extended,R3,2025Q2,0.36859554654823623
ES,GLOBEX,extended,R3,2025Q3,0.3899967626629511
ES,GLOBEX,extended,R3,2025Q4,0.42066826021256726
ES,GLOBEX,extended,R3,2026Q1,0.33248463189501754
ES,GLOBEX,extended,R3,2026Q2,0.35797869431108226
ES,GLOBEX,extended,R3,2026Q3,0.30931735917629116
NQ,GLOBEX,restricted_S05,R1,2024Q1,0.296998166061964
NQ,GLOBEX,restricted_S05,R1,2024Q2,0.37511841975385674
NQ,GLOBEX,restricted_S05,R1,2024Q3,0.35986913232477324
NQ,GLOBEX,restricted_S05,R1,2024Q4,0.2980682219184833
NQ,GLOBEX,restricted_S05,R1,2025Q1,0.38391945357785556
NQ,GLOBEX,restricted_S05,R1,2025Q2,0.3586415593938077
NQ,GLOBEX,restricted_S05,R1,2025Q3,0.34233889608919943
NQ,GLOBEX,restricted_S05,R1,2025Q4,0.4066251868352764
NQ,GLOBEX,restricted_S05,R1,2026Q1,0.30980899029146
NQ,GLOBEX,restricted_S05,R1,2026Q2,0.34303707669718553
NQ,GLOBEX,restricted_S05,R1,2026Q3,0.23699878549027156
NQ,GLOBEX,restricted_S05,R2,2024Q1,0.2970039171543691
NQ,GLOBEX,restricted_S05,R2,2024Q2,0.3750389764815438
NQ,GLOBEX,restricted_S05,R2,2024Q3,0.3594952075100938
NQ,GLOBEX,restricted_S05,R2,2024Q4,0.29808219077128856
NQ,GLOBEX,restricted_S05,R2,2025Q1,0.38336389364158674
NQ,GLOBEX,restricted_S05,R2,2025Q2,0.3574945037698641
NQ,GLOBEX,restricted_S05,R2,2025Q3,0.34294517855441964
NQ,GLOBEX,restricted_S05,R2,2025Q4,0.40640032044113955
NQ,GLOBEX,restricted_S05,R2,2026Q1,0.30923384694498623
NQ,GLOBEX,restricted_S05,R2,2026Q2,0.3424504414978493
NQ,GLOBEX,restricted_S05,R2,2026Q3,0.23628648918863557
NQ,GLOBEX,restricted_S05,R3,2024Q1,0.2976014083819665
