root,geom,range,rule,lam_used_is,te_is,te_oos,te_degradation,te_degradation_pct,turnover_is,turnover_oos
ES,GLOBEX,restricted_S05,R1,,0.31996530956918434,0.3779785949116744,0.05801328534249006,18.131117220364224,0.06345587842593015,0.0746447137192387
ES,GLOBEX,restricted_S05,R2,1.0000065365203092,0.31996605166940817,0.3779788440794512,0.058012792410043035,18.13092111096286,0.0634560720519804,0.0746451564197727
ES,GLOBEX,restricted_S05,R3,-890.2105121888576,23.53366608755867,106.09028506958812,82.55661898202945,350.802202575968,178372023.5056723,1007985760.36734
ES,GLOBEX,extended,R1,,0.31996530956918434,0.3779785949116744,0.05801328534249006,18.131117220364224,0.06345587842593015,0.0746447137192387
ES,GLOBEX,extended,R2,0.9930149647327526,0.31920881339849366,0.3777189712802037,0.058510157881710045,18.32974386226209,0.06324795267242869,0.0741714566124172
ES,GLOBEX,extended,R3,0.8272250642225776,0.3232071564404324,0.3754985498849764,0.05229139344454398,16.17890953295811,0.05767152115372494,0.0628205166063118
NQ,GLOBEX,restricted_S05,R1,,0.3064240821483861,0.3445709093896194,0.03814682724123325,12.449030433176134,0.05747951502934673,0.0569466881947351
NQ,GLOBEX,restricted_S05,R2,0.9926414064188588,0.305696249711085,0.3442591726858988,0.038562922974813785,12.614784450662974,0.05727998527155766,0.0565736192333359
NQ,GLOBEX,restricted_S05,R3,0.8496344690820835,0.3089919921299712,0.3413704251039635,0.03237843297399229,10.478728833973449,0.05297152997761549,0.0492356103386968
NQ,GLOBEX,extended,R1,,0.3064240821483861,0.3445709093896194,0.03814682724123325,12.449030433176134,0.05747951502934673,0.0569466881947351
NQ,GLOBEX,extended,R2,0.9933437324775314,0.30576199271560656,0.3442882457100369,0.038526252994430354,12.600079117833385,0.0572991169006168,0.0566092437721366
NQ,GLOBEX,extended,R3,0.9399469453085768,0.3030381798450903,0.3424899098568932,0.03945173001180291,13.018732501617514,0.0557902537571219,0.0538897594367354
ES,RTH,restricted_S05,R1,,0.33442672443957017,0.378079489164797,0.043652764725226834,13.053013271705428,0.10548667161557289,0.0907094572329309
ES,RTH,restricted_S05,R2,0.9449916624649066,0.32903888162446976,0.3755666471627612,0.046527765538291466,14.140506832682886,0.10250685011328545,0.0862892311738631
ES,RTH,restricted_S05,R3,0.3466401547514712,0.5228108677167266,0.4021548151643393,-0.12065605255238726,-23.07833673759093,0.05250517097161328,0.03456438347275
ES,RTH,extended,R1,,0.33442672443957017,0.378079489164797,0.043652764725226834,13.053013271705428,0.10548667161557289,0.0907094572329309
ES,RTH,extended,R2,0.9765359952651714,0.33155742313694164,0.3769060162374523,0.04534859310051065,13.677447686574794,0.10424030768742981,0.088829288486388
ES,RTH,extended,R3,0.8397800078923314,0.3319994302269181,0.3731059051904795,0.0411064749635614,12.381489611432638,0.0962099114957064,0.0777074407673206
NQ,RTH,restricted_S05,R1,,0.30664326045194323,0.3357145186782714,0.029071258226328167,9.480481711380762,0.07835721886349739,0.0687365690851165
NQ,RTH,restricted_S05,R2,0.9751344278478182,0.30417412775840463,0.3346264994500665,0.030452371691661873,10.011493060267496,0.07742076140086335,0.0672202664171948
NQ,RTH,restricted_S05,R3,0.8975978507290965,0.30290124798310036,0.3323287575337351,0.029427509550634723,9.715215683851053,0.07428769365776713,0.0624490257800038
NQ,RTH,extended,R1,,0.30664326045194323,0.3357145186782714,0.029071258226328167,9.480481711380762,0.07835721886349739,0.0687365690851165
NQ,RTH,extended,R2,0.9760122926626974,0.30424451080150383,0.3346620323613745,0.030417521559870653,9.997722384452734,0.07745436828462236,0.067273909265865
NQ,RTH,extended,R3,0.9312843759268288,0.3022477726569307,0.3331219121525727,0.030874139495641995,10.21484433921238,0.07568969783006119,0.0645301695899285
