root,geom,range,rule,lam_used,te,turnover,n,cost_0.5t_bps,cost_1.0t_bps,cost_2.0t_bps,cost_4.0t_bps,te_quarterly_mean,te_quarterly_sd,n_quarters,te_quarterly_max
ES,GLOBEX,restricted_S05,R1,,0.31996530956918434,0.06345587842593015,1453,0.04866800113165659,0.09733600226331318,0.19467200452662636,0.3893440090532527,0.31703458550423463,0.04984136305448696,24,0.41596081540218105
ES,GLOBEX,restricted_S05,R2,1.0000065365203092,0.31996605166940817,0.0634560720519804,1453,0.0486681496347278,0.0973362992694556,0.1946725985389112,0.3893451970778224,0.31703531011289776,0.049841502353659466,24,0.4159611937302415
ES,GLOBEX,restricted_S05,R3,-890.2105121888576,23.53366608755867,178372023.5056723,1453,136803871.558771,273607743.117542,547215486.235084,1094430972.470168,23.524224368593096,1.8701814359770337,24,29.57282826026631
ES,GLOBEX,extended,R1,,0.31996530956918434,0.06345587842593015,1453,0.04866800113165659,0.09733600226331318,0.19467200452662636,0.3893440090532527,0.31703458550423463,0.04984136305448696,24,0.41596081540218105
ES,GLOBEX,extended,R2,0.9930149647327526,0.31920881339849366,0.06324795267242869,1453,0.048508530786942644,0.09701706157388529,0.19403412314777058,0.38806824629554115,0.3162980405667225,0.04968746168238034,24,0.4155902661699213
ES,GLOBEX,extended,R3,0.8272250642225776,0.3232071564404324,0.05767152115372494,1453,0.044231641360856326,0.08846328272171265,0.1769265654434253,0.3538531308868506,0.3202575480362833,0.05101537085278831,24,0.4411679084119367
NQ,GLOBEX,restricted_S05,R1,,0.3064240821483861,0.05747951502934673,1448,0.014957811007231474,0.029915622014462948,0.059831244028925895,0.11966248805785179,0.30437375907116265,0.04582732959470214,24,0.401424915148013
NQ,GLOBEX,restricted_S05,R2,0.9926414064188588,0.305696249711085,0.05727998527155766,1448,0.014905887667137116,0.029811775334274232,0.059623550668548464,0.11924710133709693,0.3036554326868536,0.04575876170244666,24,0.401096008789875
NQ,GLOBEX,restricted_S05,R3,0.8496344690820835,0.3089919921299712,0.05297152997761549,1448,0.013784704581528445,0.02756940916305689,0.05513881832611378,0.11027763665222756,0.3068428092107429,0.04746126729960932,24,0.4095351833550577
NQ,GLOBEX,extended,R1,,0.3064240821483861,0.05747951502934673,1448,0.014957811007231474,0.029915622014462948,0.059831244028925895,0.11966248805785179,0.30437375907116265,0.04582732959470214,24,0.401424915148013
NQ,GLOBEX,extended,R2,0.9933437324775314,0.30576199271560656,0.0572991169006168,1448,0.014910866263278384,0.029821732526556767,0.059643465053113534,0.11928693010622707,0.3037202028320615,0.04576549390008499,24,0.40112416827788105
NQ,GLOBEX,extended,R3,0.9399469453085768,0.3030381798450903,0.0557902537571219,1448,0.014518216991191607,0.029036433982383213,0.05807286796476643,0.11614573592953285,0.30108456203894884,0.04530737758793236,24,0.4009357581106319
ES,RTH,restricted_S05,R1,,0.33442672443957017,0.10548667161557289,1401,0.08093078976241605,0.1618615795248321,0.3237231590496642,0.6474463180993284,0.32904105021113955,0.06102676922311346,24,0.4636512735241475
ES,RTH,restricted_S05,R2,0.9449916624649066,0.32903888162446976,0.10250685011328545,1401,0.07864463072604022,0.15728926145208044,0.3145785229041609,0.6291570458083218,0.32376592427121254,0.05989356274004466,24,0.4533080555365223
ES,RTH,restricted_S05,R3,0.3466401547514712,0.5228108677167266,0.05250517097161328,1401,0.04028267162347387,0.08056534324694774,0.16113068649389548,0.32226137298779095,0.49724873100655964,0.17138382916693318,24,0.8842950700947331
ES,RTH,extended,R1,,0.33442672443957017,0.10548667161557289,1401,0.08093078976241605,0.1618615795248321,0.3237231590496642,0.6474463180993284,0.32904105021113955,0.06102676922311346,24,0.4636512735241475
ES,RTH,extended,R2,0.9765359952651714,0.33155742313694164,0.10424030768742981,1401,0.07997456263446565,0.1599491252689313,0.3198982505378626,0.6397965010757252,0.3261945736758726,0.06057896166629404,24,0.45914121957717624
ES,RTH,extended,R3,0.8397800078923314,0.3319994302269181,0.0962099114957064,1401,0.07381353493354681,0.14762706986709362,0.29525413973418724,0.5905082794683745,0.3270096715915838,0.05967049689293635,24,0.4358855810049444
NQ,RTH,restricted_S05,R1,,0.30664326045194323,0.07835721886349739,1401,0.020425502445786937,0.040851004891573874,0.08170200978314775,0.1634040195662955,0.3037562297512544,0.051703435862482425,24,0.39478672209977644
NQ,RTH,restricted_S05,R2,0.9751344278478182,0.30417412775840463,0.07742076140086335,1401,0.020181394570713825,0.04036278914142765,0.0807255782828553,0.1614511565657106,0.3012460904342098,0.0516805389938906,24,0.3907065558144907
NQ,RTH,restricted_S05,R3,0.8975978507290965,0.30290124798310036,0.07428769365776713,1401,0.019364692755901972,0.038729385511803945,0.07745877102360789,0.15491754204721578,0.2998294572983547,0.05245431709509536,24,0.38418956587701686
NQ,RTH,extended,R1,,0.30664326045194323,0.07835721886349739,1401,0.020425502445786937,0.040851004891573874,0.08170200978314775,0.1634040195662955,0.3037562297512544,0.051703435862482425,24,0.39478672209977644
NQ,RTH,extended,R2,0.9760122926626974,0.30424451080150383,0.07745436828462236,1401,0.02019015493123161,0.04038030986246322,0.08076061972492644,0.1615212394498529,0.30131766194738036,0.051680903641567896,24,0.39083572039689735
NQ,RTH,extended,R3,0.9312843759268288,0.3022477726569307,0.07568969783006119,1401,0.01973015544160656,0.03946031088321312,0.07892062176642624,0.15784124353285248,0.29926182588691624,0.051841206839490186,24,0.3856755126109846
