cell,par_i,par_j,boot_corr,asym_corr
ES/GLOBEX/B0/1day,c,c,1.0,1.0
ES/GLOBEX/B0/1day,c,A,0.5068918184961191,0.6559610967176025
ES/GLOBEX/B0/1day,c,b,-0.5659160815470126,-0.9258418571780448
ES/GLOBEX/B0/1day,A,c,0.5068918184961191,0.6559610967176025
ES/GLOBEX/B0/1day,A,A,1.0,1.0
ES/GLOBEX/B0/1day,A,b,-0.8701994734739271,-0.8743560862529434
ES/GLOBEX/B0/1day,b,c,-0.5659160815470126,-0.9258418571780448
ES/GLOBEX/B0/1day,b,A,-0.8701994734739271,-0.8743560862529434
ES/GLOBEX/B0/1day,b,b,0.9999999999999999,1.0
ES/GLOBEX/B1/1day,c,c,1.0,1.0
ES/GLOBEX/B1/1day,c,A,0.528525689195566,0.6559610967176025
ES/GLOBEX/B1/1day,c,b,-0.5756668593961229,-0.9258418571780448
ES/GLOBEX/B1/1day,A,c,0.528525689195566,0.6559610967176025
ES/GLOBEX/B1/1day,A,A,1.0,1.0
ES/GLOBEX/B1/1day,A,b,-0.8690681126857601,-0.8743560862529434
ES/GLOBEX/B1/1day,b,c,-0.575666859396123,-0.9258418571780448
ES/GLOBEX/B1/1day,b,A,-0.86906811268576,-0.8743560862529434
ES/GLOBEX/B1/1day,b,b,1.0,1.0
NQ/GLOBEX/B0/1day,c,c,1.0,1.0
NQ/GLOBEX/B0/1day,c,A,0.10466450222082056,0.6399133790710259
NQ/GLOBEX/B0/1day,c,b,-0.14535444801916195,-0.8138386597743955
NQ/GLOBEX/B0/1day,A,c,0.10466450222082056,0.6399133790710259
NQ/GLOBEX/B0/1day,A,A,1.0,1.0
NQ/GLOBEX/B0/1day,A,b,-0.8939503551787221,-0.9512605572702273
NQ/GLOBEX/B0/1day,b,c,-0.14535444801916192,-0.8138386597743955
NQ/GLOBEX/B0/1day,b,A,-0.8939503551787221,-0.9512605572702273
NQ/GLOBEX/B0/1day,b,b,1.0,1.0
NQ/GLOBEX/B1/1day,c,c,1.0,1.0
NQ/GLOBEX/B1/1day,c,A,0.1554817546616448,0.6399133790710259
NQ/GLOBEX/B1/1day,c,b,-0.1863849666993356,-0.8138386597743955
NQ/GLOBEX/B1/1day,A,c,0.1554817546616448,0.6399133790710259
NQ/GLOBEX/B1/1day,A,A,0.9999999999999998,1.0
NQ/GLOBEX/B1/1day,A,b,-0.891722944593587,-0.9512605572702273
NQ/GLOBEX/B1/1day,b,c,-0.1863849666993356,-0.8138386597743955
NQ/GLOBEX/B1/1day,b,A,-0.8917229445935871,-0.9512605572702273
NQ/GLOBEX/B1/1day,b,b,1.0,1.0
ES/RTH/B0/1day,c,c,1.0,1.0
ES/RTH/B0/1day,c,A,0.35699703511503483,0.7068104999669321
