cell,n_ext,b_ext,cond_ext,rmse_ext,n_res,b_res,cond_res,rmse_res,deviation,worst_drop_M,worst_drop_deviation,b_ref_ext,b_ref_res
ES/GLOBEX/B0/1day,10,-0.4426723058533993,24.95950357749797,0.04989400116717758,5,-0.00012347766886095874,498683679731.91614,0.008946728989386855,0.44254882818453833,1379,0.16936074767629278,-1.13767466962387,-1.0314518259548349
ES/GLOBEX/B1/1day,10,-0.4426723058533993,24.95950357749797,0.04989400116717758,5,-0.00012347766886095874,498683679731.91614,0.008946728989386855,0.44254882818453833,1379,0.16936074767629278,-1.13767466962387,-1.0314518259548349
NQ/GLOBEX/B0/1day,10,-0.6885818583672129,38.9856757921873,0.03647513162288594,5,-0.3455757594558245,59.673382442906984,0.0008278855117470478,0.34300609891138834,5,0.10665027487488554,-1.13767466962387,-1.0314518259548349
NQ/GLOBEX/B1/1day,10,-0.6885818583672129,38.9856757921873,0.03647513162288594,5,-0.3455757594558245,59.673382442906984,0.0008278855117470478,0.34300609891138834,5,0.10665027487488554,-1.13767466962387,-1.0314518259548349
ES/RTH/B0/1day,8,-0.6274444407456055,36.519380549866604,0.029115212345218973,5,-0.14453985485380264,391.2187011644015,0.018131300668478824,0.48290458589180285,389,0.14492971602433258,-1.144373249661363,-1.0596649349905163
ES/RTH/B0/1h,9,-0.46580633009280553,37.39987622887221,0.015092670186828512,1,,,,,60,0.17895538173362285,-1.2097127786327901,
ES/RTH/B0/30min,5,-0.4111082270680417,97.82048294779273,0.004457446926737112,1,,,,,30,0.06692642036771046,-1.1971005917687416,
ES/RTH/B1/1day,8,-0.6274444407456055,36.519380549866604,0.029115212345218973,5,-0.14453985485380264,391.2187011644015,0.018131300668478824,0.48290458589180285,389,0.14492971602433258,-1.144373249661363,-1.0596649349905163
ES/RTH/B1/1h,9,-0.46580633009280553,37.39987622887221,0.015092670186828512,1,,,,,60,0.17895538173362285,-1.2097127786327901,
ES/RTH/B1/30min,5,-0.4111082270680417,97.82048294779273,0.004457446926737112,1,,,,,30,0.06692642036771046,-1.1971005917687416,
NQ/RTH/B0/1day,8,-0.9743997227891924,70.47027152605779,0.016249669737984123,5,-0.6258743767524717,98.25247787020677,0.010981517084816594,0.3485253460367207,5,0.0655565135789048,-1.144373249661363,-1.0596649349905163
NQ/RTH/B0/1h,9,-0.8032152282589848,48.37411655705927,0.011876103992107716,1,,,,,60,0.15251838656904582,-1.2097127786327901,
NQ/RTH/B0/30min,5,-0.7009504660809367,73.86245739384485,0.005302468130276586,1,,,,,30,0.17149754531699946,-1.1971005917687416,
NQ/RTH/B1/1day,8,-0.9743997227891924,70.47027152605779,0.016249669737984123,5,-0.6258743767524717,98.25247787020677,0.010981517084816594,0.3485253460367207,5,0.0655565135789048,-1.144373249661363,-1.0596649349905163
NQ/RTH/B1/1h,9,-0.8032152282589848,48.37411655705927,0.011876103992107716,1,,,,,60,0.15251838656904582,-1.2097127786327901,
NQ/RTH/B1/30min,5,-0.7009504660809367,73.86245739384485,0.005302468130276586,1,,,,,30,0.17149754531699946,-1.1971005917687416,
SPY/ARCX/TICK,15,-0.5332573378046044,23.174298086131596,0.05576491103751741,0,,,,,11700,0.22267182884398384,-1.1261902267497008,
SPY/XNAS/TICK,15,-0.5985384739875643,27.324601781257975,0.05900168505030116,0,,,,,11700,0.23161188475940808,-1.1261902267497008,
