cell,dropped_M,b,b_full,deviation,rmse,n_grid
ES/GLOBEX/B0/1day,5,-0.49001931411998695,-0.4426723058533993,0.047347008266587665,0.05155380637717337,9
ES/GLOBEX/B0/1day,6,-0.3777328782623862,-0.4426723058533993,0.06493942759101307,0.03853759237126277,9
ES/GLOBEX/B0/1day,10,-0.41177361383599537,-0.4426723058533993,0.030898692017403917,0.04609582283376781,9
ES/GLOBEX/B0/1day,12,-0.42718648668871306,-0.4426723058533993,0.015485819164686221,0.051991729272669665,9
ES/GLOBEX/B0/1day,23,-0.4014372863600437,-0.4426723058533993,0.04123501949335556,0.05098156007375772,9
ES/GLOBEX/B0/1day,46,-0.4547346362229385,-0.4426723058533993,0.012062330369539243,0.05243206980096411,9
ES/GLOBEX/B0/1day,138,-0.4568458202726348,-0.4426723058533993,0.014173514419235533,0.04994548432710388,9
ES/GLOBEX/B0/1day,276,-0.4338950930803242,-0.4426723058533993,0.008777212773075083,0.049832340535802024,9
ES/GLOBEX/B0/1day,345,-0.430837277659639,-0.4426723058533993,0.01183502819376031,0.0512816336403749,9
ES/GLOBEX/B0/1day,1379,-0.6120330535296921,-0.4426723058533993,0.16936074767629278,0.03624994826728858,9
ES/GLOBEX/B1/1day,5,-0.49001931411998695,-0.4426723058533993,0.047347008266587665,0.05155380637717337,9
ES/GLOBEX/B1/1day,6,-0.3777328782623862,-0.4426723058533993,0.06493942759101307,0.03853759237126277,9
ES/GLOBEX/B1/1day,10,-0.41177361383599537,-0.4426723058533993,0.030898692017403917,0.04609582283376781,9
ES/GLOBEX/B1/1day,12,-0.42718648668871306,-0.4426723058533993,0.015485819164686221,0.051991729272669665,9
ES/GLOBEX/B1/1day,23,-0.4014372863600437,-0.4426723058533993,0.04123501949335556,0.05098156007375772,9
ES/GLOBEX/B1/1day,46,-0.4547346362229385,-0.4426723058533993,0.012062330369539243,0.05243206980096411,9
ES/GLOBEX/B1/1day,138,-0.4568458202726348,-0.4426723058533993,0.014173514419235533,0.04994548432710388,9
ES/GLOBEX/B1/1day,276,-0.4338950930803242,-0.4426723058533993,0.008777212773075083,0.049832340535802024,9
ES/GLOBEX/B1/1day,345,-0.430837277659639,-0.4426723058533993,0.01183502819376031,0.0512816336403749,9
ES/GLOBEX/B1/1day,1379,-0.6120330535296921,-0.4426723058533993,0.16936074767629278,0.03624994826728858,9
NQ/GLOBEX/B0/1day,5,-0.7952321332420984,-0.6885818583672129,0.10665027487488554,0.033336249540702544,9
NQ/GLOBEX/B0/1day,6,-0.6450936891989603,-0.6885818583672129,0.0434881691682526,0.024885528223313948,9
NQ/GLOBEX/B0/1day,10,-0.6310726657730634,-0.6885818583672129,0.05750919259414944,0.02832398598512141,9
NQ/GLOBEX/B0/1day,12,-0.720141733985454,-0.6885818583672129,0.03155987561824114,0.03725244321466748,9
NQ/GLOBEX/B0/1day,23,-0.666795570688952,-0.6885818583672129,0.02178628767826085,0.038005275098327206,9
NQ/GLOBEX/B0/1day,46,-0.7016646052116949,-0.6885818583672129,0.013082746844482074,0.038077872988872385,9
NQ/GLOBEX/B0/1day,138,-0.688748076442957,-0.6885818583672129,0.00016621807574412895,0.03787158485251815,9
NQ/GLOBEX/B0/1day,276,-0.6807702055833567,-0.6885818583672129,0.007811652783856204,0.038006311816040604,9
NQ/GLOBEX/B0/1day,345,-0.6872030251837188,-0.6885818583672129,0.001378833183494077,0.03844038908532623,9
NQ/GLOBEX/B0/1day,1379,-0.7374423573062592,-0.6885818583672129,0.048860498939046315,0.036433641680082035,9
NQ/GLOBEX/B1/1day,5,-0.7952321332420984,-0.6885818583672129,0.10665027487488554,0.033336249540702544,9
NQ/GLOBEX/B1/1day,6,-0.6450936891989603,-0.6885818583672129,0.0434881691682526,0.024885528223313948,9
NQ/GLOBEX/B1/1day,10,-0.6310726657730634,-0.6885818583672129,0.05750919259414944,0.02832398598512141,9
NQ/GLOBEX/B1/1day,12,-0.720141733985454,-0.6885818583672129,0.03155987561824114,0.03725244321466748,9
NQ/GLOBEX/B1/1day,23,-0.666795570688952,-0.6885818583672129,0.02178628767826085,0.038005275098327206,9
NQ/GLOBEX/B1/1day,46,-0.7016646052116949,-0.6885818583672129,0.013082746844482074,0.038077872988872385,9
NQ/GLOBEX/B1/1day,138,-0.688748076442957,-0.6885818583672129,0.00016621807574412895,0.03787158485251815,9
NQ/GLOBEX/B1/1day,276,-0.6807702055833567,-0.6885818583672129,0.007811652783856204,0.038006311816040604,9
NQ/GLOBEX/B1/1day,345,-0.6872030251837188,-0.6885818583672129,0.001378833183494077,0.03844038908532623,9
NQ/GLOBEX/B1/1day,1379,-0.7374423573062592,-0.6885818583672129,0.048860498939046315,0.036433641680082035,9
ES/RTH/B0/1day,5,-0.5391459407671639,-0.6274444407456055,0.08829849997844152,0.02761155198689448,7
ES/RTH/B0/1day,6,-0.6331017222112618,-0.6274444407456055,0.005657281465656361,0.030898437184833937,7
ES/RTH/B0/1day,10,-0.5938934857516698,-0.6274444407456055,0.03355095499393568,0.02925384085295894,7
ES/RTH/B0/1day,13,-0.5950787227953258,-0.6274444407456055,0.03236571795027965,0.030257075114092463,7
ES/RTH/B0/1day,26,-0.6302809592415309,-0.6274444407456055,0.0028365184959254774,0.031119406383046826,7
ES/RTH/B0/1day,78,-0.6459175031535686,-0.6274444407456055,0.018473062407963092,0.020192397547282283,7
ES/RTH/B0/1day,195,-0.6095633033228549,-0.6274444407456055,0.017881137422750548,0.030292923181931757,7
ES/RTH/B0/1day,389,-0.772374156769938,-0.6274444407456055,0.14492971602433258,0.017248654527556886,7
ES/RTH/B0/1h,4,-0.3826038824766993,-0.46580633009280553,0.08320244761610623,0.010772177661411567,8
ES/RTH/B0/1h,5,-0.47242583453953924,-0.46580633009280553,0.006619504446733704,0.015032918073778078,8
ES/RTH/B0/1h,6,-0.4602477684780785,-0.46580633009280553,0.005558561614727009,0.015053494655015974,8
ES/RTH/B0/1h,10,-0.44186565248687476,-0.46580633009280553,0.02394067760593077,0.014703686889462435,8
ES/RTH/B0/1h,12,-0.47489384594157624,-0.46580633009280553,0.00908751584877071,0.015835325923846136,8
ES/RTH/B0/1h,15,-0.46353308581098435,-0.46580633009280553,0.002273244281821185,0.015993592324524294,8
ES/RTH/B0/1h,20,-0.47864667203569333,-0.46580633009280553,0.0128403419428878,0.014578132908450225,8
ES/RTH/B0/1h,30,-0.4597404480948231,-0.46580633009280553,0.006065881997982414,0.013959234637201784,8
ES/RTH/B0/1h,60,-0.6447617118264284,-0.46580633009280553,0.17895538173362285,0.008238663836038175,8
ES/RTH/B0/30min,5,-0.4399033347958565,-0.4111082270680417,0.02879510772781485,0.004302835660002141,4
ES/RTH/B0/30min,6,-0.41209797365006845,-0.4111082270680417,0.0009897465820267737,0.0036333025310995174,4
ES/RTH/B0/30min,10,-0.3598074631065455,-0.4111082270680417,0.05130076396149619,0.0018787203055346442,4
ES/RTH/B0/30min,15,-0.4353109138768535,-0.4111082270680417,0.024202686808811824,0.003941187994663697,4
ES/RTH/B0/30min,30,-0.47803464743575214,-0.4111082270680417,0.06692642036771046,0.004620988011594915,4
ES/RTH/B1/1day,5,-0.5391459407671639,-0.6274444407456055,0.08829849997844152,0.02761155198689448,7
ES/RTH/B1/1day,6,-0.6331017222112618,-0.6274444407456055,0.005657281465656361,0.030898437184833937,7
ES/RTH/B1/1day,10,-0.5938934857516698,-0.6274444407456055,0.03355095499393568,0.02925384085295894,7
ES/RTH/B1/1day,13,-0.5950787227953258,-0.6274444407456055,0.03236571795027965,0.030257075114092463,7
ES/RTH/B1/1day,26,-0.6302809592415309,-0.6274444407456055,0.0028365184959254774,0.031119406383046826,7
ES/RTH/B1/1day,78,-0.6459175031535686,-0.6274444407456055,0.018473062407963092,0.020192397547282283,7
ES/RTH/B1/1day,195,-0.6095633033228549,-0.6274444407456055,0.017881137422750548,0.030292923181931757,7
ES/RTH/B1/1day,389,-0.772374156769938,-0.6274444407456055,0.14492971602433258,0.017248654527556886,7
ES/RTH/B1/1h,4,-0.3826038824766993,-0.46580633009280553,0.08320244761610623,0.010772177661411567,8
ES/RTH/B1/1h,5,-0.47242583453953924,-0.46580633009280553,0.006619504446733704,0.015032918073778078,8
ES/RTH/B1/1h,6,-0.4602477684780785,-0.46580633009280553,0.005558561614727009,0.015053494655015974,8
ES/RTH/B1/1h,10,-0.44186565248687476,-0.46580633009280553,0.02394067760593077,0.014703686889462435,8
ES/RTH/B1/1h,12,-0.47489384594157624,-0.46580633009280553,0.00908751584877071,0.015835325923846136,8
ES/RTH/B1/1h,15,-0.46353308581098435,-0.46580633009280553,0.002273244281821185,0.015993592324524294,8
ES/RTH/B1/1h,20,-0.47864667203569333,-0.46580633009280553,0.0128403419428878,0.014578132908450225,8
ES/RTH/B1/1h,30,-0.4597404480948231,-0.46580633009280553,0.006065881997982414,0.013959234637201784,8
ES/RTH/B1/1h,60,-0.6447617118264284,-0.46580633009280553,0.17895538173362285,0.008238663836038175,8
ES/RTH/B1/30min,5,-0.4399033347958565,-0.4111082270680417,0.02879510772781485,0.004302835660002141,4
ES/RTH/B1/30min,6,-0.41209797365006845,-0.4111082270680417,0.0009897465820267737,0.0036333025310995174,4
ES/RTH/B1/30min,10,-0.3598074631065455,-0.4111082270680417,0.05130076396149619,0.0018787203055346442,4
ES/RTH/B1/30min,15,-0.4353109138768535,-0.4111082270680417,0.024202686808811824,0.003941187994663697,4
ES/RTH/B1/30min,30,-0.47803464743575214,-0.4111082270680417,0.06692642036771046,0.004620988011594915,4
NQ/RTH/B0/1day,5,-0.9088432092102876,-0.9743997227891924,0.0655565135789048,0.015098626121680137,7
NQ/RTH/B0/1day,6,-0.9788157668583002,-0.9743997227891924,0.004416044069107783,0.01516744919273991,7
NQ/RTH/B0/1day,10,-1.0150745474997869,-0.9743997227891924,0.04067482471059447,0.015851023132387784,7
NQ/RTH/B0/1day,13,-0.9296711809921753,-0.9743997227891924,0.04472854179701713,0.015716030025874902,7
NQ/RTH/B0/1day,26,-0.9707416151634976,-0.9743997227891924,0.003658107625694851,0.017346800172411473,7
NQ/RTH/B0/1day,78,-0.9659157276675672,-0.9743997227891924,0.008483995121625232,0.013100178552667787,7
NQ/RTH/B0/1day,195,-0.969789293614947,-0.9743997227891924,0.004610429174245367,0.017328901856186484,7
NQ/RTH/B0/1day,389,-1.0327736945700623,-0.9743997227891924,0.05837397178086989,0.013805789549908645,7
NQ/RTH/B0/1h,4,-0.6917562407188765,-0.8032152282589848,0.1114589875401083,0.007087954797349173,8
NQ/RTH/B0/1h,5,-0.8055065816899784,-0.8032152282589848,0.0022913534309935146,0.0104896710947518,8
NQ/RTH/B0/1h,6,-0.791620214409681,-0.8032152282589848,0.011595013849303837,0.012009045715453446,8
NQ/RTH/B0/1h,10,-0.8021716253728454,-0.8032152282589848,0.001043602886139472,0.012595334317375514,8
NQ/RTH/B0/1h,12,-0.8079955756409485,-0.8032152282589848,0.0047803473819636455,0.012565293148442477,8
NQ/RTH/B0/1h,15,-0.7984216469895244,-0.8032152282589848,0.00479358126946039,0.012536824248673592,8
NQ/RTH/B0/1h,20,-0.8117389406714983,-0.8032152282589848,0.008523712412513484,0.011071803165331354,8
NQ/RTH/B0/1h,30,-0.7910875998076723,-0.8032152282589848,0.012127628451312544,0.011705397557929934,8
NQ/RTH/B0/1h,60,-0.9557336148280307,-0.8032152282589848,0.15251838656904582,0.0075935549483352165,8
NQ/RTH/B0/30min,5,-0.6051506686705063,-0.7009504660809367,0.09579979741043043,8.16210959400863e-05,4
NQ/RTH/B0/30min,6,-0.689176974443457,-0.7009504660809367,0.01177349163747965,0.0011041025403304239,4
NQ/RTH/B0/30min,10,-0.7255993572212335,-0.7009504660809367,0.02464889114029678,0.005748477185470467,4
NQ/RTH/B0/30min,15,-0.7200754981104623,-0.7009504660809367,0.019125032029525646,0.005540786551011261,4
NQ/RTH/B0/30min,30,-0.8724480113979362,-0.7009504660809367,0.17149754531699946,0.0046034653425136105,4
NQ/RTH/B1/1day,5,-0.9088432092102876,-0.9743997227891924,0.0655565135789048,0.015098626121680137,7
NQ/RTH/B1/1day,6,-0.9788157668583002,-0.9743997227891924,0.004416044069107783,0.01516744919273991,7
NQ/RTH/B1/1day,10,-1.0150745474997869,-0.9743997227891924,0.04067482471059447,0.015851023132387784,7
NQ/RTH/B1/1day,13,-0.9296711809921753,-0.9743997227891924,0.04472854179701713,0.015716030025874902,7
NQ/RTH/B1/1day,26,-0.9707416151634976,-0.9743997227891924,0.003658107625694851,0.017346800172411473,7
NQ/RTH/B1/1day,78,-0.9659157276675672,-0.9743997227891924,0.008483995121625232,0.013100178552667787,7
NQ/RTH/B1/1day,195,-0.969789293614947,-0.9743997227891924,0.004610429174245367,0.017328901856186484,7
NQ/RTH/B1/1day,389,-1.0327736945700623,-0.9743997227891924,0.05837397178086989,0.013805789549908645,7
NQ/RTH/B1/1h,4,-0.6917562407188765,-0.8032152282589848,0.1114589875401083,0.007087954797349173,8
NQ/RTH/B1/1h,5,-0.8055065816899784,-0.8032152282589848,0.0022913534309935146,0.0104896710947518,8
NQ/RTH/B1/1h,6,-0.791620214409681,-0.8032152282589848,0.011595013849303837,0.012009045715453446,8
NQ/RTH/B1/1h,10,-0.8021716253728454,-0.8032152282589848,0.001043602886139472,0.012595334317375514,8
NQ/RTH/B1/1h,12,-0.8079955756409485,-0.8032152282589848,0.0047803473819636455,0.012565293148442477,8
NQ/RTH/B1/1h,15,-0.7984216469895244,-0.8032152282589848,0.00479358126946039,0.012536824248673592,8
NQ/RTH/B1/1h,20,-0.8117389406714983,-0.8032152282589848,0.008523712412513484,0.011071803165331354,8
NQ/RTH/B1/1h,30,-0.7910875998076723,-0.8032152282589848,0.012127628451312544,0.011705397557929934,8
NQ/RTH/B1/1h,60,-0.9557336148280307,-0.8032152282589848,0.15251838656904582,0.0075935549483352165,8
NQ/RTH/B1/30min,5,-0.6051506686705063,-0.7009504660809367,0.09579979741043043,8.16210959400863e-05,4
NQ/RTH/B1/30min,6,-0.689176974443457,-0.7009504660809367,0.01177349163747965,0.0011041025403304239,4
NQ/RTH/B1/30min,10,-0.7255993572212335,-0.7009504660809367,0.02464889114029678,0.005748477185470467,4
NQ/RTH/B1/30min,15,-0.7200754981104623,-0.7009504660809367,0.019125032029525646,0.005540786551011261,4
NQ/RTH/B1/30min,30,-0.8724480113979362,-0.7009504660809367,0.17149754531699946,0.0046034653425136105,4
SPY/ARCX/TICK,5,-0.4425466618699771,-0.5332573378046044,0.09071067593462728,0.05607431619592434,14
SPY/ARCX/TICK,6,-0.5291654867749321,-0.5332573378046044,0.004091851029672244,0.05770598133284059,14
SPY/ARCX/TICK,10,-0.5253934003201529,-0.5332573378046044,0.007863937484451466,0.05752761915962594,14
SPY/ARCX/TICK,13,-0.5018720075920123,-0.5332573378046044,0.031385330212592044,0.05660292194105751,14
SPY/ARCX/TICK,26,-0.4912485411821848,-0.5332573378046044,0.042008796622419575,0.05691928311454932,14
SPY/ARCX/TICK,39,-0.5125367042296906,-0.5332573378046044,0.020720633574913827,0.057538416276713605,14
