cell,stratum,key,n_windows,n_grid,b,c,A,rmse,cond,degenerate,reason
ES/GLOBEX/B0/1day,pooled,all,1953,10,-0.4426723058533993,1.033909620188399,2.0584522490557693,0.04989400116717758,24.95950357749797,False,
ES/GLOBEX/B0/1day,year,2016,245,10,-0.6328344548429586,0.7748078341229409,2.328960604018627,0.059449503878423675,34.48151304456674,False,
ES/GLOBEX/B0/1day,year,2017,243,10,-0.7040246392610003,0.245868110104921,2.9143095389335594,0.03605279960362012,41.888257769775116,False,
ES/GLOBEX/B0/1day,year,2018,243,10,-0.48638439667655237,0.974518867528632,1.8731554858417487,0.06729930638991466,25.41660571529128,False,
ES/GLOBEX/B0/1day,year,2019,243,10,-0.544303370300692,0.5655085891455915,1.9103916291473828,0.022192177771122833,27.985239528291647,False,
ES/GLOBEX/B0/1day,year,2020,244,10,-0.5399308701617366,1.4318018436065931,1.6231773744993403,0.02996058969400064,26.430207868361336,False,
ES/GLOBEX/B0/1day,year,2021,246,10,-0.6831757521349725,0.7176890731609783,2.583406764329272,0.05200819395497041,38.66325415364118,False,
ES/GLOBEX/B0/1day,year,2022,245,10,-1.131404135502728,0.4908239584001852,4.705259671953378,0.013030668517167122,97.74800753203078,False,
ES/GLOBEX/B0/1day,year,2023,244,10,-0.7362944699274766,0.44785617594287,3.0101252814177917,0.011253609907005567,44.4078423543713,False,
ES/GLOBEX/B0/1day,vol_tercile,1,651,10,-5.1215188387967617e-05,-908.5299392675965,909.2875449616553,0.0655283829617091,1519924971115.4912,True,|b|=5.12e-05 <= 0.01; cond=1.52e+12 > 1e8
ES/GLOBEX/B0/1day,vol_tercile,2,651,10,-16.80124579273103,0.4522042427818333,-172388932211.70468,0.03282922297846003,349987329235204.06,True,A=-1.72e+11 <= 0; cond=3.5e+14 > 1e8
ES/GLOBEX/B0/1day,vol_tercile,3,651,10,-63.103220205609915,0.7584532153898887,-2.287581043767082e+43,0.02898335393559784,3.1635950580151726e+300,True,A=-2.29e+43 <= 0; cond=3.16e+300 > 1e8
ES/GLOBEX/B1/1day,pooled,all,1953,10,-0.4426723058533993,1.033909620188399,2.0584522490557693,0.04989400116717758,24.95950357749797,False,
ES/GLOBEX/B1/1day,year,2016,245,10,-0.6328344548429586,0.7748078341229409,2.328960604018627,0.059449503878423675,34.48151304456674,False,
ES/GLOBEX/B1/1day,year,2017,243,10,-0.7040246392610003,0.245868110104921,2.9143095389335594,0.03605279960362012,41.888257769775116,False,
ES/GLOBEX/B1/1day,year,2018,243,10,-0.48638439667655237,0.974518867528632,1.8731554858417487,0.06729930638991466,25.41660571529128,False,
ES/GLOBEX/B1/1day,year,2019,243,10,-0.544303370300692,0.5655085891455915,1.9103916291473828,0.022192177771122833,27.985239528291647,False,
ES/GLOBEX/B1/1day,year,2020,244,10,-0.5399308701617366,1.4318018436065931,1.6231773744993403,0.02996058969400064,26.430207868361336,False,
ES/GLOBEX/B1/1day,year,2021,246,10,-0.6831757521349725,0.7176890731609783,2.583406764329272,0.05200819395497041,38.66325415364118,False,
ES/GLOBEX/B1/1day,year,2022,245,10,-1.131404135502728,0.4908239584001852,4.705259671953378,0.013030668517167122,97.74800753203078,False,
ES/GLOBEX/B1/1day,year,2023,244,10,-0.7362944699274766,0.44785617594287,3.0101252814177917,0.011253609907005567,44.4078423543713,False,
ES/GLOBEX/B1/1day,vol_tercile,1,651,10,-5.1215188387967617e-05,-908.5299392675965,909.2875449616553,0.0655283829617091,1519924971115.4912,True,|b|=5.12e-05 <= 0.01; cond=1.52e+12 > 1e8
ES/GLOBEX/B1/1day,vol_tercile,2,651,10,-16.80124579273103,0.4522042427818333,-172388932211.70468,0.03282922297846003,349987329235204.06,True,A=-1.72e+11 <= 0; cond=3.5e+14 > 1e8
ES/GLOBEX/B1/1day,vol_tercile,3,651,10,-63.103220205609915,0.7584532153898887,-2.287581043767082e+43,0.02898335393559784,3.1635950580151726e+300,True,A=-2.29e+43 <= 0; cond=3.16e+300 > 1e8
NQ/GLOBEX/B0/1day,pooled,all,1948,10,-0.6885818583672129,1.0853359132503864,2.5860441879745837,0.03647513162288594,38.9856757921873,False,
NQ/GLOBEX/B0/1day,year,2016,241,10,-0.7436293563259394,0.7553709683365891,2.9707139421134148,0.028290822354129986,44.623885141675444,False,
NQ/GLOBEX/B0/1day,year,2017,242,10,-0.7253513105064264,0.3511002644236474,2.9615370976158326,0.0565025720532679,43.43382207706241,False,
NQ/GLOBEX/B0/1day,year,2018,243,10,-0.913313371503419,0.950686286670614,3.745645853551864,0.05486025062019186,62.88150333720815,False,
NQ/GLOBEX/B0/1day,year,2019,243,10,-0.7921756239476009,0.5997312407253295,2.6324402480112616,0.025643273737125036,46.23853300793422,False,
NQ/GLOBEX/B0/1day,year,2020,244,10,-0.6464897837694021,1.1816933633776991,1.8089233839051353,0.022008948759215087,32.716623541625246,False,
NQ/GLOBEX/B0/1day,year,2021,246,10,-0.782878487457888,0.7113057632565253,3.0996145548481215,0.016798897748647967,48.0505487375618,False,
NQ/GLOBEX/B0/1day,year,2022,245,10,-1.1001375165136398,0.4110059987037662,4.210180727526182,0.03743333675488995,90.0679877968614,False,
NQ/GLOBEX/B0/1day,year,2023,244,10,-0.8234715505429612,0.44379607184798614,3.4468078643966877,0.02062295996250482,53.170335978527596,False,
NQ/GLOBEX/B0/1day,vol_tercile,1,650,10,-8.248329063281717e-05,-465.59842114745874,466.3640166824754,0.05069694569264992,300499173203.19476,True,|b|=8.25e-05 <= 0.01; cond=3e+11 > 1e8
NQ/GLOBEX/B0/1day,vol_tercile,2,649,10,-14.207422602092816,0.48690427738663666,-3053687533.925549,0.030546508721517714,3352917205229.338,True,A=-3.05e+09 <= 0; cond=3.35e+12 > 1e8
NQ/GLOBEX/B0/1day,vol_tercile,3,649,10,-0.8345523227787882,0.6640024376527953,-0.5563600704470355,0.04039197321830806,62.46566126815595,True,A=-0.556 <= 0
NQ/GLOBEX/B1/1day,pooled,all,1948,10,-0.6885818583672129,1.0853359132503864,2.5860441879745837,0.03647513162288594,38.9856757921873,False,
NQ/GLOBEX/B1/1day,year,2016,241,10,-0.7436293563259394,0.7553709683365891,2.9707139421134148,0.028290822354129986,44.623885141675444,False,
NQ/GLOBEX/B1/1day,year,2017,242,10,-0.7253513105064264,0.3511002644236474,2.9615370976158326,0.0565025720532679,43.43382207706241,False,
NQ/GLOBEX/B1/1day,year,2018,243,10,-0.913313371503419,0.950686286670614,3.745645853551864,0.05486025062019186,62.88150333720815,False,
NQ/GLOBEX/B1/1day,year,2019,243,10,-0.7921756239476009,0.5997312407253295,2.6324402480112616,0.025643273737125036,46.23853300793422,False,
NQ/GLOBEX/B1/1day,year,2020,244,10,-0.6464897837694021,1.1816933633776991,1.8089233839051353,0.022008948759215087,32.716623541625246,False,
NQ/GLOBEX/B1/1day,year,2021,246,10,-0.782878487457888,0.7113057632565253,3.0996145548481215,0.016798897748647967,48.0505487375618,False,
NQ/GLOBEX/B1/1day,year,2022,245,10,-1.1001375165136398,0.4110059987037662,4.210180727526182,0.03743333675488995,90.0679877968614,False,
NQ/GLOBEX/B1/1day,year,2023,244,10,-0.8234715505429612,0.44379607184798614,3.4468078643966877,0.02062295996250482,53.170335978527596,False,
NQ/GLOBEX/B1/1day,vol_tercile,1,650,10,-8.248329063281717e-05,-465.59842114745874,466.3640166824754,0.05069694569264992,300499173203.19476,True,|b|=8.25e-05 <= 0.01; cond=3e+11 > 1e8
NQ/GLOBEX/B1/1day,vol_tercile,2,649,10,-14.207422602092816,0.48690427738663666,-3053687533.925549,0.030546508721517714,3352917205229.338,True,A=-3.05e+09 <= 0; cond=3.35e+12 > 1e8
NQ/GLOBEX/B1/1day,vol_tercile,3,649,10,-0.8345523227787882,0.6640024376527953,-0.5563600704470355,0.04039197321830806,62.46566126815595,True,A=-0.556 <= 0
ES/RTH/B0/1day,pooled,all,1901,8,-0.6274444407456055,1.0809384800522852,2.3278820059171434,0.029115212345218973,36.519380549866604,False,
ES/RTH/B0/1day,year,2016,239,8,-0.46058005971273075,0.6027233439321017,1.5404432015365093,0.032574816336169564,24.910883803188295,False,
ES/RTH/B0/1day,year,2017,237,8,-0.6311589297185278,0.25440141640528696,2.220706774330523,0.03986079709312543,36.00413223236425,False,
ES/RTH/B0/1day,year,2018,236,8,-0.5094605341026045,1.0349596728306165,1.9029625391423082,0.02454653623062746,28.65671790228722,False,
ES/RTH/B0/1day,year,2019,237,8,-0.9556020696734361,0.6901288955002457,3.3441866039351438,0.025486047976333345,66.97204414785224,False,
ES/RTH/B0/1day,year,2020,239,8,-1.1730525781141343,1.5050587207599582,4.096176407720446,0.036507053271384905,103.23099100187393,False,
ES/RTH/B0/1day,year,2021,239,8,-0.6517373114243409,0.7494709842165336,2.1042645433235005,0.028984296954597276,36.3618728938237,False,
ES/RTH/B0/1day,year,2022,238,8,-1.4793008201988131,0.4376991877843362,6.327843785752146,0.02275442823101824,201.13312319708703,False,
ES/RTH/B0/1day,year,2023,236,8,-1.2076717629611526,0.3891124503344818,4.759164937976817,0.017395194191705127,113.33873346087123,False,
ES/RTH/B0/1day,vol_tercile,1,634,8,-0.0001024803145919652,-533.3926720666014,534.0658293446003,0.04977045729541842,316018212706.89954,True,|b|=0.000102 <= 0.01; cond=3.16e+11 > 1e8
ES/RTH/B0/1day,vol_tercile,2,633,8,-8.214161175867254,0.3558502938987557,-128188.82238128914,0.027769692374088186,66744857.7236875,True,A=-1.28e+05 <= 0
ES/RTH/B0/1day,vol_tercile,3,634,8,-1.465338699548554,0.6808316356077239,-1.0733593883694945,0.02321485772325114,208.95756039827958,True,A=-1.07 <= 0
ES/RTH/B0/1h,pooled,all,11406,9,-0.46580633009280553,1.051936782682572,2.3263875438801134,0.015092670186828512,37.39987622887221,False,
ES/RTH/B0/1h,year,2016,1434,9,-0.48320865923575645,0.6047741241571651,2.1853389386324724,0.01818209210916724,35.2142727725341,False,
ES/RTH/B0/1h,year,2017,1422,9,-0.5638411334843415,0.2767807282231566,2.550447608671612,0.017946743048922343,37.4066235734662,False,
ES/RTH/B0/1h,year,2018,1416,9,-0.6624663141919006,1.199296794352984,2.3607023643197858,0.023350805366848425,40.04045447832669,False,
ES/RTH/B0/1h,year,2019,1422,9,-0.6710487259449076,0.8666519396042294,2.566100593579534,0.02041423827692091,41.80490729111788,False,
ES/RTH/B0/1h,year,2020,1434,9,-0.5940920656470665,1.6613703695673048,2.022046649536689,0.01617880091339176,35.220155443771795,False,
ES/RTH/B0/1h,year,2021,1434,9,-0.5785686346356195,1.001935875212445,2.0132925657094596,0.030673100797162775,34.63757766878008,False,
ES/RTH/B0/1h,year,2022,1428,9,-1.1794090178334444,0.7347529161917478,3.406491424010386,0.013759893480316181,89.80677933157014,False,
ES/RTH/B0/1h,year,2023,1416,9,-0.670155247784134,0.5126728063723547,1.928280526371777,0.01871180576171163,38.19859715681739,False,
ES/RTH/B0/1h,vol_tercile,1,3802,9,-0.00014571293637988516,-653.6258864739376,654.5346362400027,0.06608444503379558,329187329196.3368,True,|b|=0.000146 <= 0.01; cond=3.29e+11 > 1e8
ES/RTH/B0/1h,vol_tercile,2,3802,9,-56.88550992634562,0.41886674666174545,-4.846049346610003e+33,0.023341515204504098,3.0026984776262235e+300,True,A=-4.85e+33 <= 0; cond=3e+300 > 1e8
ES/RTH/B0/1h,vol_tercile,3,3802,9,-55.14123540691664,0.7740076346046388,-2.5236958514206485e+32,0.03488456242356445,3.0009136424921195e+300,True,A=-2.52e+32 <= 0; cond=3e+300 > 1e8
ES/RTH/B0/30min,pooled,all,22812,5,-0.4111082270680417,0.8153215401312074,2.5881134751747803,0.004457446926737112,97.82048294779273,False,
ES/RTH/B0/30min,year,2016,2868,5,-0.5942360773642839,0.6144233076274085,2.6613644023719925,0.011153892411508222,69.66965164051017,False,
ES/RTH/B0/30min,year,2017,2844,5,-0.5568444571523194,0.16663198368604354,2.7560659444277227,0.008535038140829837,69.35771193875861,False,
ES/RTH/B0/30min,year,2018,2832,5,-0.3903759620342944,0.8206153632196677,2.221824641008927,0.034592532757095826,102.03132885456051,False,
ES/RTH/B0/30min,year,2019,2844,5,-0.6289521009427976,0.7888357693424121,2.497457094608529,0.0016406269754925455,69.87189516974627,False,
ES/RTH/B0/30min,year,2020,2868,5,-0.5113889602156253,1.5607213484615519,2.0980799758617343,0.005991986824896655,62.20483224859629,False,
ES/RTH/B0/30min,year,2021,2868,5,-0.625400949913049,0.9728625046323811,2.411779656933818,0.022897768337940827,68.60461539222881,False,
ES/RTH/B0/30min,year,2022,2856,5,-0.8996197068860083,0.7041906687502171,2.2447126092296092,0.00713944629597406,95.7187079892033,False,
ES/RTH/B0/30min,year,2023,2832,5,-0.5644683926204483,0.39340957364937784,2.084268475872586,0.006520354940238036,61.91022717661475,False,
ES/RTH/B0/30min,vol_tercile,1,7604,5,-0.00034168233221826754,-310.56419511274964,311.3732000183835,0.0699748633118265,53985163580.2401,True,|b|=0.000342 <= 0.01; cond=5.4e+10 > 1e8
ES/RTH/B0/30min,vol_tercile,2,7604,5,-67.135187743469,0.3596729868223363,-1.9084760365343323e+46,0.0370155599456342,7.59286576062211e+23,True,A=-1.91e+46 <= 0; cond=7.59e+23 > 1e8
ES/RTH/B0/30min,vol_tercile,3,7604,5,-65.30690122898679,0.7382856305286049,-4.973348849488041e+44,0.03690630204014607,2.2375273138308472e+300,True,A=-4.97e+44 <= 0; cond=2.24e+300 > 1e8
ES/RTH/B1/1day,pooled,all,1901,8,-0.6274444407456055,1.0809384800522852,2.3278820059171434,0.029115212345218973,36.519380549866604,False,
ES/RTH/B1/1day,year,2016,239,8,-0.46058005971273075,0.6027233439321017,1.5404432015365093,0.032574816336169564,24.910883803188295,False,
ES/RTH/B1/1day,year,2017,237,8,-0.6311589297185278,0.25440141640528696,2.220706774330523,0.03986079709312543,36.00413223236425,False,
ES/RTH/B1/1day,year,2018,236,8,-0.5094605341026045,1.0349596728306165,1.9029625391423082,0.02454653623062746,28.65671790228722,False,
ES/RTH/B1/1day,year,2019,237,8,-0.9556020696734361,0.6901288955002457,3.3441866039351438,0.025486047976333345,66.97204414785224,False,
ES/RTH/B1/1day,year,2020,239,8,-1.1730525781141343,1.5050587207599582,4.096176407720446,0.036507053271384905,103.23099100187393,False,
