geom,df,nu,subarm,b_mean,b_sd,b_min,b_max,c_mean,rmse_mean,cond_mean,n_seeds
GLOBEX,gaussian,,reference,-1.1119921361504352,0.036846879691500925,-1.1622778565096061,-1.0691311198255822,0.001488726389042323,0.004366868691026808,88.56180356791904,5
GLOBEX,gaussian,,signal,-1.209101296962224,0.08481604461779774,-1.3096097765487318,-1.0844012699260583,1.022473135241397,0.008614619831652463,111.63786657211342,5
GLOBEX,nu10,10.0,reference,-1.0899259001791877,0.028815305259421733,-1.1235555589340012,-1.0591429938162236,0.001998542775408033,0.00308848482948514,83.98242264323696,5
GLOBEX,nu10,10.0,signal,-1.183380670348424,0.07482090725544663,-1.287451328470234,-1.0882526570577193,1.0277962963724803,0.008679873623021344,104.731796954717,5
GLOBEX,nu2.95,2.95,reference,-1.137868733654059,0.052396800930970634,-1.1942837009706677,-1.0545530323202517,0.0478668659137598,0.004937082301097349,94.04745464615618,5
GLOBEX,nu2.95,2.95,signal,-1.1420237639432105,0.1697758527616436,-1.4389936098010834,-1.029492119159781,1.1130181905605003,0.012674211773904213,101.27328349520955,5
GLOBEX,nu3,3.0,reference,-1.1771755873821905,0.07567285388196456,-1.3012665450671272,-1.1027916765081933,0.040890766510445264,0.007076486903091525,103.60489805465033,5
GLOBEX,nu3,3.0,signal,-1.2201559917100564,0.06909713912439033,-1.3210563798887358,-1.1262302917791198,1.0642375707090879,0.008472723421566703,113.62570704508558,5
GLOBEX,nu3.67,3.67,reference,-1.1257724914711607,0.0964614165495735,-1.2656058191341946,-1.0092064017183504,0.017880351050573555,0.0061077329063032905,92.77114344414142,5
GLOBEX,nu3.67,3.67,signal,-1.098016465870683,0.10800701913126644,-1.2656163107157314,-0.9662039638934641,1.0354111502793995,0.011163904503313445,87.66013706419918,5
GLOBEX,nu4,4.0,reference,-1.1337667717749318,0.04720445284146311,-1.2139973514043378,-1.0900484811507305,0.011657869141707434,0.004344992236538503,92.98239650811654,5
GLOBEX,nu4,4.0,signal,-1.122041740087141,0.06730191370259736,-1.2030831823829493,-1.0680789879121775,1.0268197911961594,0.00972948727043767,91.35734493897974,5
GLOBEX,nu6,6.0,reference,-1.120038807609865,0.04797404390572876,-1.176751551600741,-1.0623699659355839,0.004050527539233589,0.004666691023506046,90.2822430296425,5
GLOBEX,nu6,6.0,signal,-1.1668213754753456,0.13106411697435666,-1.2821682546134894,-0.9846625525717506,1.0517401934932646,0.008613719994333628,103.22135439184049,5
RTH,gaussian,,reference,-1.1186461980474989,0.05933708976174796,-1.1882919515545394,-1.0435452226250763,0.002569493441916318,0.004267491289404399,89.32435454877393,5
RTH,gaussian,,signal,-1.1847448602355533,0.12123044101760928,-1.3365433807290068,-1.0417449783692319,1.037756045391181,0.006568424461922519,106.01473347389609,5
RTH,nu10,10.0,reference,-1.152591200247835,0.04838003583916899,-1.1983253315578184,-1.0765008029964087,0.006380516527526081,0.004119621885042253,96.04003906233973,5
RTH,nu10,10.0,signal,-1.1555325187515693,0.08217413003607003,-1.244757781130562,-1.0529460155385044,1.0255933453394064,0.011503221142175307,97.68054065005182,5
RTH,nu2.95,2.95,reference,-1.1536538493753956,0.06022482579308737,-1.241355530993597,-1.0928292634125472,0.09385386615606837,0.006964121899378088,96.8009298154036,5
RTH,nu2.95,2.95,signal,-1.0884515554326373,0.11448730052405434,-1.2156323966608447,-0.9907242253030807,1.1312185622508086,0.0076780720276674016,85.24743980844579,5
RTH,nu3,3.0,reference,-1.1172298060983135,0.03607732125349151,-1.1652974396190265,-1.0652954954153053,0.08847678164957891,0.007262990069340681,88.49714834644183,5
RTH,nu3,3.0,signal,-1.157828922022426,0.12389793317564175,-1.3117708623128883,-1.0210952966234224,1.1269285392990507,0.007700485340862607,99.79438969081846,5
RTH,nu3.67,3.67,reference,-1.167982133941475,0.023031588386551696,-1.1880141219019769,-1.1395124933133758,0.03738159237701495,0.005094789349461548,98.97025691369618,5
RTH,nu3.67,3.67,signal,-1.2305832728842876,0.08837669713686168,-1.3770945326133917,-1.1469198795411166,1.0368678349885365,0.008448146587093714,115.41697209783104,5
RTH,nu4,4.0,reference,-1.1616290000537968,0.04508900580919688,-1.2183508380764767,-1.1017600667100365,0.027762883252986335,0.007274429687668821,97.96346188749095,5
RTH,nu4,4.0,signal,-1.1193755392922786,0.10662345466838843,-1.2535572603336986,-0.9640154150220821,1.0501489249413147,0.009181275129148847,91.0677305508279,5
RTH,nu6,6.0,reference,-1.1242358770072092,0.019895246136307262,-1.1450970270289673,-1.1008724020637686,0.009564347599816194,0.0031161387054611947,89.87022890675631,5
RTH,nu6,6.0,signal,-1.120701020509134,0.06581591265266785,-1.2007576297839053,-1.0334325683441634,1.0731618887983638,0.010638736765973822,90.20438736296396,5
