geom,df,nu,subarm,seed_index,seed,n_grid,b,c,A,rmse,cond,b_trigamma_analytic
GLOBEX,gaussian,,signal,0,522955353,10,-1.1920362821071537,0.9980265696828976,3.445884910860736,0.010650914115735599,105.99117168608593,-1.13767466962387
GLOBEX,gaussian,,signal,1,3113015327,10,-1.1982595305437993,0.995059725018355,3.671052694339956,0.005171829259542342,107.91387789543835,-1.13767466962387
GLOBEX,gaussian,,signal,2,3434727789,10,-1.3096097765487318,1.0597543866275576,4.113450728404732,0.013309453271187982,138.15596839796467,-1.13767466962387
GLOBEX,gaussian,,signal,3,735262974,10,-1.0844012699260583,1.0511101201561714,2.9284405766144945,0.0051519263619863725,83.22501965701491,-1.13767466962387
GLOBEX,gaussian,,signal,4,2631514551,10,-1.2611996256853766,1.0084148747220028,3.221574841407215,0.008788976149810014,122.90329522406326,-1.13767466962387
GLOBEX,gaussian,,reference,0,4191216178,10,-1.1189248521068502,0.001456622091100502,2.968634438890993,0.0016827815170258088,89.69896050346661,-1.13767466962387
GLOBEX,gaussian,,reference,1,4267328348,10,-1.0834368095538356,0.001442525119088859,2.771171198821613,0.005025693914978089,82.7578913470194,-1.13767466962387
GLOBEX,gaussian,,reference,2,235882045,10,-1.1261900427563019,0.0026924888736816694,2.9488913817326887,0.004396309773537354,91.0829260956744,-1.13767466962387
GLOBEX,gaussian,,reference,3,3411969627,10,-1.1622778565096061,0.0031335916049990177,3.115059766695053,0.005245059844837576,98.7869276001859,-1.13767466962387
GLOBEX,gaussian,,reference,4,3155490345,10,-1.0691311198255822,-0.0012815957436584336,2.888089856258166,0.005484498404755211,80.48231229324887,-1.13767466962387
GLOBEX,nu2.95,2.95,signal,0,241123157,10,-1.1130299251553453,1.1510287387720202,3.3777263103934296,0.009261476084264173,89.50284703407586,-1.13767466962387
GLOBEX,nu2.95,2.95,signal,1,3069765374,10,-1.029492119159781,1.1233126575595591,2.7378931517890877,0.016756498503204945,73.6970760266078,-1.13767466962387
GLOBEX,nu2.95,2.95,signal,2,1054885883,10,-1.4389936098010834,1.0673410656256987,4.9598242610453,0.01797016374906441,184.90764926196505,-1.13767466962387
GLOBEX,nu2.95,2.95,signal,3,839516851,10,-1.0367445262965214,1.1162844465353732,2.25197008886161,0.014612552363176807,74.16182287644305,-1.13767466962387
GLOBEX,nu2.95,2.95,signal,4,1578526945,10,-1.0918586393033214,1.10712404430985,2.646938642616806,0.0047703681698107216,84.097022276956,-1.13767466962387
GLOBEX,nu2.95,2.95,reference,0,1344392931,10,-1.0545530323202517,0.03949663143948683,2.4979745699893967,0.0027294304353602584,77.34571505048905,-1.13767466962387
GLOBEX,nu2.95,2.95,reference,1,3177063598,10,-1.1942837009706677,0.04723162640215556,3.4344045999280106,0.004839447423014622,106.48149378050795,-1.13767466962387
GLOBEX,nu2.95,2.95,reference,2,2616287570,10,-1.1569792926321818,0.05613473470273249,3.0866384213022147,0.005411835697437001,97.609590238039,-1.13767466962387
GLOBEX,nu2.95,2.95,reference,3,4119151320,10,-1.1569622995035946,0.0432154057512086,3.2032165210858863,0.004485711438862288,97.81856908710644,-1.13767466962387
GLOBEX,nu2.95,2.95,reference,4,4149058548,10,-1.1265653428435995,0.053255931273215505,2.837239508066407,0.007218986510812577,90.98190507463843,-1.13767466962387
GLOBEX,nu3,3.0,signal,0,3499465774,10,-1.212032094663424,1.0559918925194225,3.6596690812473236,0.005375807383582705,111.10528907223092,-1.13767466962387
