geom,df,b_mean_reference,b_mean_signal,b_sd_reference,b_sd_signal,nu,b_minus_gaussian,b_ref_same_law,gap_signal_minus_ref,in_observed_range
GLOBEX,gaussian,-1.1119921361504352,-1.209101296962224,0.036846879691500925,0.08481604461779774,,0.0,-1.1119921361504352,-0.09710916081178866,False
GLOBEX,nu2.95,-1.137868733654059,-1.1420237639432105,0.052396800930970634,0.1697758527616436,2.95,0.06707753301901342,-1.137868733654059,-0.00415503028915154,False
GLOBEX,nu3,-1.1771755873821905,-1.2201559917100564,0.07567285388196456,0.06909713912439033,3.0,-0.011054694747832494,-1.1771755873821905,-0.04298040432786587,False
GLOBEX,nu3.67,-1.1257724914711607,-1.098016465870683,0.0964614165495735,0.10800701913126644,3.67,0.11108483109154088,-1.1257724914711607,0.02775602560047763,False
GLOBEX,nu4,-1.1337667717749318,-1.122041740087141,0.04720445284146311,0.06730191370259736,4.0,0.08705955687508293,-1.1337667717749318,0.011725031687790821,False
GLOBEX,nu6,-1.120038807609865,-1.1668213754753456,0.04797404390572876,0.13106411697435666,6.0,0.042279921486878314,-1.120038807609865,-0.04678256786548052,False
GLOBEX,nu10,-1.0899259001791877,-1.183380670348424,0.028815305259421733,0.07482090725544663,10.0,0.025720626613799924,-1.0899259001791877,-0.09345477016923631,False
RTH,gaussian,-1.1186461980474989,-1.1847448602355533,0.05933708976174796,0.12123044101760928,,0.0,-1.1186461980474989,-0.06609866218805438,False
RTH,nu2.95,-1.1536538493753956,-1.0884515554326373,0.06022482579308737,0.11448730052405434,2.95,0.09629330480291598,-1.1536538493753956,0.06520229394275834,False
RTH,nu3,-1.1172298060983135,-1.157828922022426,0.03607732125349151,0.12389793317564175,3.0,0.02691593821312721,-1.1172298060983135,-0.04059911592411258,False
RTH,nu3.67,-1.167982133941475,-1.2305832728842876,0.023031588386551696,0.08837669713686168,3.67,-0.04583841264873434,-1.167982133941475,-0.0626011389428125,False
RTH,nu4,-1.1616290000537968,-1.1193755392922786,0.04508900580919688,0.10662345466838843,4.0,0.06536932094327463,-1.1616290000537968,0.04225346076151815,False
RTH,nu6,-1.1242358770072092,-1.120701020509134,0.019895246136307262,0.06581591265266785,6.0,0.06404383972641936,-1.1242358770072092,0.0035348564980752784,False
RTH,nu10,-1.152591200247835,-1.1555325187515693,0.04838003583916899,0.08217413003607003,10.0,0.029212341483983995,-1.152591200247835,-0.002941318503734358,False
