geom,df,subarm,seed_index,seed
GLOBEX,gaussian,signal,0,522955353
GLOBEX,gaussian,signal,1,3113015327
GLOBEX,gaussian,signal,2,3434727789
GLOBEX,gaussian,signal,3,735262974
GLOBEX,gaussian,signal,4,2631514551
GLOBEX,gaussian,reference,0,4191216178
GLOBEX,gaussian,reference,1,4267328348
GLOBEX,gaussian,reference,2,235882045
GLOBEX,gaussian,reference,3,3411969627
GLOBEX,gaussian,reference,4,3155490345
GLOBEX,nu2.95,signal,0,241123157
GLOBEX,nu2.95,signal,1,3069765374
GLOBEX,nu2.95,signal,2,1054885883
GLOBEX,nu2.95,signal,3,839516851
GLOBEX,nu2.95,signal,4,1578526945
GLOBEX,nu2.95,reference,0,1344392931
GLOBEX,nu2.95,reference,1,3177063598
GLOBEX,nu2.95,reference,2,2616287570
GLOBEX,nu2.95,reference,3,4119151320
GLOBEX,nu2.95,reference,4,4149058548
GLOBEX,nu3,signal,0,3499465774
GLOBEX,nu3,signal,1,2318296352
GLOBEX,nu3,signal,2,3156315006
GLOBEX,nu3,signal,3,2635235805
GLOBEX,nu3,signal,4,2781231417
GLOBEX,nu3,reference,0,533861932
GLOBEX,nu3,reference,1,3389570949
GLOBEX,nu3,reference,2,1787933805
GLOBEX,nu3,reference,3,3648849665
GLOBEX,nu3,reference,4,2060405485
GLOBEX,nu3.67,signal,0,2096293690
GLOBEX,nu3.67,signal,1,882781479
GLOBEX,nu3.67,signal,2,935694812
GLOBEX,nu3.67,signal,3,927601778
GLOBEX,nu3.67,signal,4,1618333716
GLOBEX,nu3.67,reference,0,3020754091
GLOBEX,nu3.67,reference,1,3818894405
GLOBEX,nu3.67,reference,2,2296594218
GLOBEX,nu3.67,reference,3,203330690
GLOBEX,nu3.67,reference,4,2306492961
GLOBEX,nu4,signal,0,744577626
GLOBEX,nu4,signal,1,2875238330
GLOBEX,nu4,signal,2,1221063552
GLOBEX,nu4,signal,3,3301078866
GLOBEX,nu4,signal,4,1575510304
GLOBEX,nu4,reference,0,3873109205
GLOBEX,nu4,reference,1,1839658677
GLOBEX,nu4,reference,2,1379036418
GLOBEX,nu4,reference,3,2813303116
GLOBEX,nu4,reference,4,3558964626
GLOBEX,nu6,signal,0,2781573951
GLOBEX,nu6,signal,1,1657568292
GLOBEX,nu6,signal,2,4173009574
GLOBEX,nu6,signal,3,3823597149
GLOBEX,nu6,signal,4,2123472242
GLOBEX,nu6,reference,0,2621637972
GLOBEX,nu6,reference,1,4005666826
GLOBEX,nu6,reference,2,718148982
GLOBEX,nu6,reference,3,3804543345
GLOBEX,nu6,reference,4,3673048719
GLOBEX,nu10,signal,0,1336562198
GLOBEX,nu10,signal,1,2238676896
GLOBEX,nu10,signal,2,2760308389
GLOBEX,nu10,signal,3,1579734626
GLOBEX,nu10,signal,4,113576041
GLOBEX,nu10,reference,0,175044604
GLOBEX,nu10,reference,1,1196335365
GLOBEX,nu10,reference,2,2970608831
GLOBEX,nu10,reference,3,2123520676
GLOBEX,nu10,reference,4,4249269149
RTH,gaussian,signal,0,1414399186
RTH,gaussian,signal,1,2862891691
RTH,gaussian,signal,2,1648971164
RTH,gaussian,signal,3,311595206
RTH,gaussian,signal,4,3433341767
RTH,gaussian,reference,0,2745987970
RTH,gaussian,reference,1,820761511
RTH,gaussian,reference,2,3252044970
RTH,gaussian,reference,3,1710503735
