cell,candidate,n,n_zero,share_zero,r2_floored,r2_repaired,lift,lam_intercept,keep_floored,keep_repaired,keep_floored_corr,keep_repaired_corr,status_changes
ES/GLOBEX/B0/1day,RS_up,1952,0,0.0,0.665699345805895,0.665699345805895,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B0/1day,RS_down,1952,0,0.0,0.6963818227416417,0.6963818227416417,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B0/1day,JumpVar,1952,418,0.21413934426229508,0.01317263949560298,0.002999938607871451,-0.01017270088773153,0.8272250642225776,False,False,False,False,False
ES/GLOBEX/B0/1day,Parkinson,1952,0,0.0,0.6078829357285361,0.6078829357285361,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B0/1day,GarmanKlass,1952,0,0.0,0.6231336099315443,0.6231336099315443,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B0/1day,RealizedQuarticity,1952,0,0.0,0.6287327693406355,0.6287327693406355,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B1/1day,RS_up,1952,0,0.0,0.6689165112518646,0.6689165112518646,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B1/1day,RS_down,1952,0,0.0,0.6962738431233481,0.6962738431233481,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B1/1day,JumpVar,1952,427,0.21875,0.013447503191586508,0.009463849878575573,-0.003983653313010935,0.8272250642225776,False,False,False,False,False
ES/GLOBEX/B1/1day,Parkinson,1952,0,0.0,0.6089520015295962,0.6089520015295962,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B1/1day,GarmanKlass,1952,0,0.0,0.6243053614028531,0.6243053614028531,0.0,0.8272250642225776,True,True,True,True,False
ES/GLOBEX/B1/1day,RealizedQuarticity,1952,0,0.0,0.6293481273400644,0.6293481273400644,0.0,0.8272250642225776,True,True,True,True,False
NQ/GLOBEX/B0/1day,RS_up,1947,0,0.0,0.6236400825188547,0.6236400825188547,0.0,0.9399469453085768,True,True,True,True,False
