root,geom,btag,horizon,lam,band_lo,band_hi,n_in_band,band_width
ES,GLOBEX,B0,1day,0.8272250642225776,0.016544501284451552,0.02,0,0.003455498715548448
ES,GLOBEX,B1,1day,0.8272250642225776,0.016544501284451552,0.02,0,0.003455498715548448
ES,RTH,B0,1day,0.8397800078923314,0.01679560015784663,0.02,0,0.0032043998421533715
ES,RTH,B0,1h,0.588054052124918,0.01176108104249836,0.02,0,0.00823891895750164
ES,RTH,B0,30min,0.3958240376050629,0.007916480752101258,0.02,0,0.012083519247898742
ES,RTH,B1,1day,0.8397800078923314,0.01679560015784663,0.02,1,0.0032043998421533715
ES,RTH,B1,1h,0.588054052124918,0.01176108104249836,0.02,0,0.00823891895750164
ES,RTH,B1,30min,0.3958240376050629,0.007916480752101258,0.02,0,0.012083519247898742
NQ,GLOBEX,B0,1day,0.9399469453085768,0.018798938906171538,0.02,0,0.0012010610938284622
NQ,GLOBEX,B1,1day,0.9399469453085768,0.018798938906171538,0.02,0,0.0012010610938284622
NQ,RTH,B0,1day,0.9312843759268288,0.018625687518536577,0.02,0,0.0013743124814634237
NQ,RTH,B0,1h,0.8101747602302579,0.016203495204605158,0.02,0,0.003796504795394843
NQ,RTH,B0,30min,0.6765338975574761,0.013530677951149522,0.02,0,0.006469322048850479
NQ,RTH,B1,1day,0.9312843759268288,0.018625687518536577,0.02,0,0.0013743124814634237
NQ,RTH,B1,1h,0.8101747602302579,0.016203495204605158,0.02,0,0.003796504795394843
NQ,RTH,B1,30min,0.6765338975574761,0.013530677951149522,0.02,0,0.006469322048850479
