root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2
ES,GLOBEX,B0,1day,insample,RS_up,1952,0,0.0,0,0.8159040052640353,0.665699345805895
ES,GLOBEX,B0,1day,insample,RS_down,1952,0,0.0,0,0.8344949506987096,0.6963818227416417
ES,GLOBEX,B0,1day,insample,JumpVar,1534,418,0.21413934426229508,0,0.5633401998242468,0.3173521807380223
ES,GLOBEX,B0,1day,insample,Parkinson,1952,0,0.0,0,0.7796684780908717,0.6078829357285361
ES,GLOBEX,B0,1day,insample,GarmanKlass,1952,0,0.0,0,0.789388123758867,0.6231336099315443
ES,GLOBEX,B0,1day,insample,VolumeSurprise,1952,0,0.0,0,0.18397142532025257,0.033845485334365266
ES,GLOBEX,B0,1day,insample,CrossLeadLag,1947,5,0.0025614754098360654,0,0.6935650461527905,0.4810324732449224
ES,GLOBEX,B0,1day,insample,RealizedQuarticity,1952,0,0.0,0,0.7929267112039016,0.6287327693406355
ES,GLOBEX,B0,1day,insample,SignatureSlope,1952,0,0.0,0,0.06210075546382388,0.0038565038291776517
ES,GLOBEX,B1,1day,insample,RS_up,1952,0,0.0,0,0.8178731633033722,0.6689165112518646
ES,GLOBEX,B1,1day,insample,RS_down,1952,0,0.0,0,0.8344302506041761,0.6962738431233481
ES,GLOBEX,B1,1day,insample,JumpVar,1525,427,0.21875,0,0.5716302953810564,0.32676119459743375
ES,GLOBEX,B1,1day,insample,Parkinson,1952,0,0.0,0,0.7803537669093398,0.6089520015295962
ES,GLOBEX,B1,1day,insample,GarmanKlass,1952,0,0.0,0,0.7901299648810017,0.6243053614028531
ES,GLOBEX,B1,1day,insample,VolumeSurprise,1952,0,0.0,0,0.18513271129785847,0.03427412079249621
ES,GLOBEX,B1,1day,insample,CrossLeadLag,1947,5,0.0025614754098360654,0,0.6927935722617312,0.4799629337671706
ES,GLOBEX,B1,1day,insample,RealizedQuarticity,1952,0,0.0,0,0.793314645862576,0.6293481273400644
ES,GLOBEX,B1,1day,insample,SignatureSlope,1952,0,0.0,0,0.06265590564970373,0.003925762512784576
NQ,GLOBEX,B0,1day,insample,RS_up,1947,0,0.0,0,0.7897088593392217,0.6236400825188547
NQ,GLOBEX,B0,1day,insample,RS_down,1947,0,0.0,0,0.8115761193941363,0.6586557975708454
NQ,GLOBEX,B0,1day,insample,JumpVar,1501,446,0.229070364663585,0,0.5343907921687084,0.2855735187546997
NQ,GLOBEX,B0,1day,insample,Parkinson,1947,0,0.0,0,0.7582545565227496,0.5749499724875118
NQ,GLOBEX,B0,1day,insample,GarmanKlass,1947,0,0.0,0,0.7694043215798518,0.591983010065752
NQ,GLOBEX,B0,1day,insample,VolumeSurprise,1947,0,0.0,0,0.16764069613045712,0.02810340299910426
