root,geom,btag,truncation,grid,n_grid,M_min,M_max,span_ratio,b,c,rmse,cond,b_ref,screen_tight
ES,GLOBEX,B0,full,5;6;10;12;23;46;138;276;345;1379,10,5,1379,275.8,-0.4426723058533993,1.033909620188399,0.04989400116717758,24.95950357749797,-1.13767466962387,True
ES,GLOBEX,B0,match_1h_abs_coarse_end,5;6;10;12;23;46,6,5,46,9.2,-0.7103491467788067,1.2420748896033127,0.042173096051671174,63.69500442401183,-1.181863738106161,True
ES,GLOBEX,B0,match_1h_span_ratio,5;6;10;12;23;46,6,5,46,9.2,-0.7103491467788067,1.2420748896033127,0.042173096051671174,63.69500442401183,-1.181863738106161,True
ES,GLOBEX,B0,match_30min_abs_coarse_end,5;6;10;12;23,5,5,23,4.6,-0.5578183714625343,1.0891627474253622,0.045339107250843225,77.87598979976752,-1.208951873772146,False
ES,GLOBEX,B0,match_30min_span_ratio,5;6;10;12;23,5,5,23,4.6,-0.5578183714625343,1.0891627474253622,0.045339107250843225,77.87598979976752,-1.208951873772146,False
ES,GLOBEX,B1,full,5;6;10;12;23;46;138;276;345;1379,10,5,1379,275.8,-0.4426723058533993,1.033909620188399,0.04989400116717758,24.95950357749797,-1.13767466962387,True
ES,GLOBEX,B1,match_1h_abs_coarse_end,5;6;10;12;23;46,6,5,46,9.2,-0.7103491467788067,1.2420748896033127,0.042173096051671174,63.69500442401183,-1.181863738106161,True
ES,GLOBEX,B1,match_1h_span_ratio,5;6;10;12;23;46,6,5,46,9.2,-0.7103491467788067,1.2420748896033127,0.042173096051671174,63.69500442401183,-1.181863738106161,True
ES,GLOBEX,B1,match_30min_abs_coarse_end,5;6;10;12;23,5,5,23,4.6,-0.5578183714625343,1.0891627474253622,0.045339107250843225,77.87598979976752,-1.208951873772146,False
ES,GLOBEX,B1,match_30min_span_ratio,5;6;10;12;23,5,5,23,4.6,-0.5578183714625343,1.0891627474253622,0.045339107250843225,77.87598979976752,-1.208951873772146,False
NQ,GLOBEX,B0,full,5;6;10;12;23;46;138;276;345;1379,10,5,1379,275.8,-0.6885818583672129,1.0853359132503864,0.03647513162288594,38.9856757921873,-1.13767466962387,True
NQ,GLOBEX,B0,match_1h_abs_coarse_end,5;6;10;12;23;46,6,5,46,9.2,-0.7808581355696143,1.1328654240134124,0.04406653490948971,71.90120027850513,-1.181863738106161,True
NQ,GLOBEX,B0,match_1h_span_ratio,5;6;10;12;23;46,6,5,46,9.2,-0.7808581355696143,1.1328654240134124,0.04406653490948971,71.90120027850513,-1.181863738106161,True
NQ,GLOBEX,B0,match_30min_abs_coarse_end,5;6;10;12;23,5,5,23,4.6,-0.6388680717868939,1.0156532416410706,0.04756509043260914,83.61729185035861,-1.208951873772146,False
NQ,GLOBEX,B0,match_30min_span_ratio,5;6;10;12;23,5,5,23,4.6,-0.6388680717868939,1.0156532416410706,0.04756509043260914,83.61729185035861,-1.208951873772146,False
NQ,GLOBEX,B1,full,5;6;10;12;23;46;138;276;345;1379,10,5,1379,275.8,-0.6885818583672129,1.0853359132503864,0.03647513162288594,38.9856757921873,-1.13767466962387,True
NQ,GLOBEX,B1,match_1h_abs_coarse_end,5;6;10;12;23;46,6,5,46,9.2,-0.7808581355696143,1.1328654240134124,0.04406653490948971,71.90120027850513,-1.181863738106161,True
NQ,GLOBEX,B1,match_1h_span_ratio,5;6;10;12;23;46,6,5,46,9.2,-0.7808581355696143,1.1328654240134124,0.04406653490948971,71.90120027850513,-1.181863738106161,True
NQ,GLOBEX,B1,match_30min_abs_coarse_end,5;6;10;12;23,5,5,23,4.6,-0.6388680717868939,1.0156532416410706,0.04756509043260914,83.61729185035861,-1.208951873772146,False
NQ,GLOBEX,B1,match_30min_span_ratio,5;6;10;12;23,5,5,23,4.6,-0.6388680717868939,1.0156532416410706,0.04756509043260914,83.61729185035861,-1.208951873772146,False
ES,RTH,B0,full,5;6;10;13;26;78;195;389,8,5,389,77.8,-0.6274444407456055,1.0809384800522852,0.029115212345218973,36.519380549866604,-1.144373249661363,True
ES,RTH,B0,match_1h_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B0,match_1h_span_ratio,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B0,match_30min_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B0,match_30min_span_ratio,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B1,full,5;6;10;13;26;78;195;389,8,5,389,77.8,-0.6274444407456055,1.0809384800522852,0.029115212345218973,36.519380549866604,-1.144373249661363,True
ES,RTH,B1,match_1h_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B1,match_1h_span_ratio,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B1,match_30min_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
ES,RTH,B1,match_30min_span_ratio,5;6;10;13;26,5,5,26,5.2,-0.9294530881781075,1.2310829817567162,0.004243827327279372,116.41345962891401,-1.2027250173968562,False
NQ,RTH,B0,full,5;6;10;13;26;78;195;389,8,5,389,77.8,-0.9743997227891924,1.0567722578646066,0.016249669737984123,70.47027152605779,-1.144373249661363,True
NQ,RTH,B0,match_1h_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B0,match_1h_span_ratio,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B0,match_30min_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B0,match_30min_span_ratio,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B1,full,5;6;10;13;26;78;195;389,8,5,389,77.8,-0.9743997227891924,1.0567722578646066,0.016249669737984123,70.47027152605779,-1.144373249661363,True
NQ,RTH,B1,match_1h_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B1,match_1h_span_ratio,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B1,match_30min_abs_coarse_end,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
NQ,RTH,B1,match_30min_span_ratio,5;6;10;13;26,5,5,26,5.2,-1.013077562823615,1.06490187876681,0.013494969819961008,137.25987892647666,-1.2027250173968562,False
