cell,n_years,slope,se,p_value,r2,intercept,b_first,b_last
ES/GLOBEX/B0/1day,8,-0.04103713277424487,0.029174795700576368,0.20917186411503502,0.24797993839623542,82.19219562648648,-0.6328344548429586,-0.7362944699274766
ES/GLOBEX/B1/1day,8,-0.04103713277424487,0.029174795700576368,0.20917186411503502,0.24797993839623542,82.19219562648648,-0.6328344548429586,-0.7362944699274766
ES/RTH/B0/1day,8,-0.12041228828031295,0.03864259646115954,0.020688710198443885,0.618072107980563,242.28904567385376,-0.4605800597127307,-1.2076717629611526
ES/RTH/B0/1h,8,-0.048307331459731824,0.02965394647567691,0.15442844478037165,0.30665949593345565,96.88130715808377,-0.4832086592357564,-0.670155247784134
ES/RTH/B0/30min,8,-0.024916836647270086,0.021824422829756985,0.2970882170883135,0.1784724405296538,49.723140783270836,-0.5942360773642839,-0.5644683926204483
ES/RTH/B1/1day,8,-0.12041228828031295,0.03864259646115954,0.020688710198443885,0.618072107980563,242.28904567385376,-0.4605800597127307,-1.2076717629611526
ES/RTH/B1/1h,8,-0.048307331459731824,0.02965394647567691,0.15442844478037165,0.30665949593345565,96.88130715808377,-0.4832086592357564,-0.670155247784134
ES/RTH/B1/30min,8,-0.024916836647270086,0.021824422829756985,0.2970882170883135,0.1784724405296538,49.723140783270836,-0.5942360773642839,-0.5644683926204483
NQ/GLOBEX/B0/1day,8,-0.022569474967147944,0.021149396766106016,0.32695078848476794,0.1595224497049125,44.76312382108436,-0.7436293563259394,-0.8234715505429612
NQ/GLOBEX/B1/1day,8,-0.022569474967147944,0.021149396766106016,0.32695078848476794,0.1595224497049125,44.76312382108436,-0.7436293563259394,-0.8234715505429612
NQ/RTH/B0/1day,8,-0.06838132948175936,0.03190009274139829,0.07577183981005957,0.43369834760425935,137.01778254281555,-0.8684905647193712,-1.0916884202303403
NQ/RTH/B0/1h,8,-0.03055596353087869,0.02049650637573634,0.186607353702859,0.27029061369489576,60.8004210073488,-0.7547480897306522,-0.8734384001003813
NQ/RTH/B0/30min,8,-0.01904924234179978,0.02121351402676501,0.40379040195133237,0.11847183733396567,37.58671206752499,-0.8656721672178834,-0.8209360893283377
NQ/RTH/B1/1day,8,-0.06838132948175936,0.03190009274139829,0.07577183981005957,0.43369834760425935,137.01778254281555,-0.8684905647193712,-1.0916884202303403
NQ/RTH/B1/1h,8,-0.03055596353087869,0.02049650637573634,0.186607353702859,0.27029061369489576,60.8004210073488,-0.7547480897306522,-0.8734384001003813
NQ/RTH/B1/30min,8,-0.01904924234179978,0.02121351402676501,0.40379040195133237,0.11847183733396567,37.58671206752499,-0.8656721672178834,-0.8209360893283377
