root,geom,btag,horizon,n_cand,r2_is_mean,r2_oos_mean,degradation_mean,degradation_median,lam_intercept
ES,GLOBEX,B0,1day,9,0.45087968074386,0.2700010996770199,0.1808785810668401,0.24220099752149316,0.8272250642225776
ES,GLOBEX,B1,1day,9,0.4525244284797346,0.27316023233258035,0.17936419614715424,0.23746933010482657,0.8272250642225776
ES,RTH,B0,1day,9,0.45656108282845714,0.2998287661451459,0.15673231668331122,0.2032985530070377,0.8397800078923314
ES,RTH,B0,1h,9,0.38346532607475575,0.249817002417324,0.13364832365743176,0.17219948307765548,0.588054052124918
ES,RTH,B0,30min,9,0.3446106194579817,0.23428645190306646,0.11032416755491525,0.13963148120305052,0.3958240376050629
ES,RTH,B1,1day,9,0.45708096320415353,0.30288390996787545,0.1541970532362781,0.2021468251968987,0.8397800078923314
ES,RTH,B1,1h,9,0.38704967223300024,0.25221642095787966,0.1348332512751206,0.17360073679294857,0.588054052124918
ES,RTH,B1,30min,9,0.346487859768577,0.23615146690520708,0.11033639286336988,0.1402938240103065,0.3958240376050629
NQ,GLOBEX,B0,1day,9,0.4167509346606848,0.24879875032243323,0.1679521843382516,0.22860475838511424,0.9399469453085768
NQ,GLOBEX,B1,1day,9,0.4175592336769253,0.24778632631587635,0.16977290736104897,0.23078628081904895,0.9399469453085768
NQ,RTH,B0,1day,9,0.4297010325968898,0.283667436372673,0.14603359622421683,0.19260605000218478,0.9312843759268288
NQ,RTH,B0,1h,9,0.3355749165441,0.19783851432224397,0.13773640222185596,0.1841282194273327,0.8101747602302579
NQ,RTH,B0,30min,9,0.31986122719638804,0.21135816458204446,0.10850306261434359,0.1383474614325655,0.6765338975574761
NQ,RTH,B1,1day,9,0.42896388435696586,0.2784030255313791,0.15056085882558679,0.19408806828101327,0.9312843759268288
NQ,RTH,B1,1h,9,0.34062349550637205,0.2023941136519093,0.13822938185446276,0.1857021359229539,0.8101747602302579
NQ,RTH,B1,30min,9,0.32256829638644896,0.21388656746472207,0.10868172892172692,0.138437427948864,0.6765338975574761
