root,geom,H,sigma_w,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
ES,GLOBEX,0.05,2.3032048768699176,0,2917301300,-0.7478479500538993,0.9588291399410506,1.8473325891003163,0.0063881655827780805,39.802943359410634,0,0.00014951190303769124
ES,GLOBEX,0.05,2.3032048768699176,1,1450610094,-0.9722730916774758,1.0033533758699447,2.8350593943337588,0.006531397066542708,65.73156224478103,0,0.00014951190303769124
ES,GLOBEX,0.05,2.3032048768699176,2,3178843266,-0.982884954699553,1.0247645654174948,3.0045680202340193,0.018646482117839727,67.68400729961101,0,0.00014951190303769124
ES,GLOBEX,0.05,2.3032048768699176,3,879287275,-0.9286772487221653,1.0272295683513395,2.886159235713677,0.006780546959149425,60.496032527615625,0,0.00014951190303769124
ES,GLOBEX,0.05,2.3032048768699176,4,3810779134,-0.8564918680358207,0.9797535017859567,2.064527929103453,0.013371447361200555,50.160084372994895,0,0.00014951190303769124
ES,GLOBEX,0.1,2.2799829635322095,0,2659566395,-0.9761642104836028,1.0373317224343037,2.806915877865748,0.007909443163812925,66.16519671978888,0,0.0006160708731073328
ES,GLOBEX,0.1,2.2799829635322095,1,3438548401,-0.9847214015973234,1.0079671733502928,3.2214530461537465,0.0055628040228187505,68.69776387080944,0,0.0006160708731073328
ES,GLOBEX,0.1,2.2799829635322095,2,4126547183,-0.9366180625230764,1.002166444651502,2.886988378666047,0.011526496167070025,61.43184377307867,0,0.0006160708731073328
ES,GLOBEX,0.1,2.2799829635322095,3,4013770137,-0.9290298772062242,1.0274543619542087,2.872786957240171,0.009557250233251716,60.48804389050304,0,0.0006160708731073328
ES,GLOBEX,0.1,2.2799829635322095,4,1644393224,-0.8051799602506667,0.9912425048882002,2.104246727162165,0.011855237974320315,45.30465499810078,0,0.0006160708731073328
ES,GLOBEX,0.2,2.6065675798952577,0,1718855332,-0.8560191744848906,1.0000920256219004,2.8518282358977083,0.010398847458378387,52.75584141071065,0,0.005230106077750207
ES,GLOBEX,0.2,2.6065675798952577,1,2020055245,-0.8332328336027347,0.9548907335878373,2.982937195466756,0.012478936073161325,51.343846119756684,0,0.005230106077750207
ES,GLOBEX,0.2,2.6065675798952577,2,4289487868,-0.9025577679910203,1.0569393426539717,3.1487862999639855,0.010887597714970321,58.7084864517841,0,0.005230106077750207
ES,GLOBEX,0.2,2.6065675798952577,3,4087707419,-0.8602988464105892,1.04306696841615,3.0284715418055668,0.005692185407982919,53.98195310198094,0,0.005230106077750207
ES,GLOBEX,0.2,2.6065675798952577,4,3582008643,-0.7956306512960492,1.0393160403170592,2.5880794902480404,0.00989689089572093,46.30805408788123,0,0.005230106077750207
ES,GLOBEX,0.3,2.9202926112115386,0,1786489714,-0.8249517485786618,0.9758053518713778,3.086759976501668,0.008943420066168209,51.19655081265341,0,0.033300563665612515
ES,GLOBEX,0.3,2.9202926112115386,1,1963806454,-0.9009788197835846,1.0427761141228047,3.146556046511917,0.008082217516783693,58.533991789744334,0,0.033300563665612515
ES,GLOBEX,0.3,2.9202926112115386,2,1498658510,-0.886050475173499,1.031115808027831,3.1384864993670645,0.012124392518383863,56.98188731824786,0,0.033300563665612515
ES,GLOBEX,0.3,2.9202926112115386,3,3837310383,-0.893154256262643,1.0148909228952865,3.4646058376103546,0.0073208157322862686,59.33877298071876,0,0.033300563665612515
ES,GLOBEX,0.3,2.9202926112115386,4,3472626391,-0.9528681031322594,0.9630164588475832,3.8111219652785744,0.012723929459181407,67.46263127381259,0,0.033300563665612515
ES,GLOBEX,0.45,3.602184229880572,0,3032739154,-0.8684803912132532,1.024310442980296,3.2939181914300426,0.009755459073788171,56.091751831974065,0,0.43683516529665667
ES,GLOBEX,0.45,3.602184229880572,1,3414411264,-0.8928481866926313,1.0488811692288265,3.564791789303827,0.013101276926531846,59.8573153519928,0,0.43683516529665667
ES,GLOBEX,0.45,3.602184229880572,2,1151231451,-0.9183603760322547,0.9498499575161069,3.717423286177706,0.011184628196773995,63.23553715940588,0,0.43683516529665667
ES,GLOBEX,0.45,3.602184229880572,3,2061165616,-0.8758955084439365,1.0386912537664834,3.4647348405604763,0.008593253692892848,57.70611397861499,0,0.43683516529665667
ES,GLOBEX,0.45,3.602184229880572,4,451167189,-0.9507130643295433,1.0642648734993223,3.9570739453879606,0.012011908963822539,68.01301852755248,0,0.43683516529665667
ES,GLOBEX,0.5,3.9805722636282437,0,568089717,-0.8232535758556583,0.9698482617738786,3.5825292036837864,0.01264545176879889,54.007499476343106,0,1.0
ES,GLOBEX,0.5,3.9805722636282437,1,2850202553,-0.8186269088406126,0.9951397457281467,2.95387716019354,0.01766776824964848,49.970736828419625,0,1.0
ES,GLOBEX,0.5,3.9805722636282437,2,4115041250,-0.9217782806844311,0.9970016244566424,4.231275873882194,0.007059679662979614,66.63831966116379,0,1.0
ES,GLOBEX,0.5,3.9805722636282437,3,2250453596,-0.8169321180147424,0.9509161689835812,3.391794151654637,0.015180340751838108,52.32921526079766,0,1.0
ES,GLOBEX,0.5,3.9805722636282437,4,2375198583,-0.9124757512966806,1.0364044992860986,4.2521200078569885,0.015619715981907908,65.88074980645044,0,1.0
NQ,GLOBEX,0.05,2.5903979854285715,0,1726136385,-1.0820859120498005,1.0518151600936065,2.6109958468474033,0.0058227011074782386,82.27686792321067,0,0.00014951190303769124
NQ,GLOBEX,0.05,2.5903979854285715,1,4163902235,-0.9467809199537525,1.0088487379631121,2.7486089493115924,0.009963462728077114,62.201286172870574,0,0.00014951190303769124
NQ,GLOBEX,0.05,2.5903979854285715,2,2284121452,-0.953752131009212,0.9978901416447158,2.814336399363136,0.00876936971714372,63.2795413508417,0,0.00014951190303769124
NQ,GLOBEX,0.05,2.5903979854285715,3,972566879,-0.7900143090471372,1.0242225076367875,2.0731311088678144,0.009209739013450513,43.886012237563314,0,0.00014951190303769124
NQ,GLOBEX,0.05,2.5903979854285715,4,2064845475,-0.9088271473691713,1.0598527900096064,2.6314554048315735,0.004370856893550707,57.33984408093362,0,0.00014951190303769124
