root,geom,H,M,target_ratio,sigma_w_calibrated,achieved_ratio,bracketed,sigma_w_s10,seed
ES,GLOBEX,0.05,276,3.0435090492344745,2.3032048768699176,3.0435091673018606,True,1.0099504938362078,2427905960
ES,GLOBEX,0.1,276,3.0435090492344745,2.2799829635322095,3.0435094206323594,True,1.0099504938362078,68449985
ES,GLOBEX,0.2,276,3.0435090492344745,2.6065675798952577,3.0435088749170642,True,1.0099504938362078,1021867642
ES,GLOBEX,0.3,276,3.0435090492344745,2.9202926112115386,3.0435091496385973,True,1.0099504938362078,1341885216
ES,GLOBEX,0.45,276,3.0435090492344745,3.602184229880572,3.043509115337198,True,1.0099504938362078,3861664578
ES,GLOBEX,0.5,276,3.0435090492344745,3.9805722636282437,3.0435090418491306,True,1.0099504938362078,1309636282
NQ,GLOBEX,0.05,276,3.606698088553108,2.5903979854285715,3.606698158178144,True,1.0099504938362078,2024220997
NQ,GLOBEX,0.1,276,3.606698088553108,2.5517459287941455,3.6066976484395026,True,1.0099504938362078,1560405338
NQ,GLOBEX,0.2,276,3.606698088553108,2.88187941017747,3.6066983553077874,True,1.0099504938362078,3800901363
NQ,GLOBEX,0.3,276,3.606698088553108,3.3582282758057116,3.6066978804079657,True,1.0099504938362078,2820235724
NQ,GLOBEX,0.45,276,3.606698088553108,4.465884292930365,3.6066982385691677,True,1.0099504938362078,1843492435
NQ,GLOBEX,0.5,276,3.606698088553108,4.804715622335673,3.606697943352159,True,1.0099504938362078,2688876766
ES,RTH,0.05,78,1.5060366662142837,1.650273784607649,1.506036777684917,True,1.0099504938362078,4236427340
ES,RTH,0.1,78,1.5060366662142837,1.495183198481798,1.5060366148692095,True,1.0099504938362078,2034012809
ES,RTH,0.2,78,1.5060366662142837,1.6030905067622663,1.5060366268218408,True,1.0099504938362078,71365698
ES,RTH,0.3,78,1.5060366662142837,1.696414750963449,1.5060367391571798,True,1.0099504938362078,4132619849
ES,RTH,0.45,78,1.5060366662142837,1.881388389617205,1.5060367228837104,True,1.0099504938362078,847766361
ES,RTH,0.5,78,1.5060366662142837,1.9641432735025885,1.5060366899810549,True,1.0099504938362078,4215495574
NQ,RTH,0.05,78,1.5856516357311756,1.7530667940080167,1.5856517288532812,True,1.0099504938362078,140124168
NQ,RTH,0.1,78,1.5856516357311756,1.6399422071874143,1.5856516956435645,True,1.0099504938362078,642965769
NQ,RTH,0.2,78,1.5856516357311756,1.6402818970382214,1.5856516796571714,True,1.0099504938362078,89235327
NQ,RTH,0.3,78,1.5856516357311756,1.8008003694117072,1.5856515259204291,True,1.0099504938362078,2210837875
NQ,RTH,0.45,78,1.5856516357311756,2.17533488997817,1.5856515503319952,True,1.0099504938362078,3796828397
NQ,RTH,0.5,78,1.5856516357311756,2.245863799780608,1.5856516008662822,True,1.0099504938362078,61707638
