root,geom,horizon,M,rq_over_rv2,n_windows,constant_vol_value,excess,asym_var,trigamma,ratio_to_trigamma,is_5min
ES,GLOBEX,1day,5,0.847129137080731,1953,1.0,-0.152870862919269,0.3388516548322924,0.4903577561002349,0.6910294588325572,False
ES,GLOBEX,1day,6,0.9174240776835185,1953,1.0,-0.08257592231648148,0.3058080258945062,0.39493406684822646,0.7743267840503324,False
ES,GLOBEX,1day,10,1.1119581827762601,1953,1.0,0.11195818277626013,0.22239163655525204,0.22132295573711533,1.004828603587809,False
ES,GLOBEX,1day,12,1.2017392204444188,1953,1.0,0.20173922044441883,0.2002898700740698,0.18132295573711532,1.1046029404266549,False
ES,GLOBEX,1day,23,1.5389756758647803,1953,1.0,0.5389756758647803,0.13382397181432873,0.09084666127454626,1.4730752890290753,False
ES,GLOBEX,1day,46,1.9310404331398572,1953,1.0,0.9310404331398572,0.08395827970173292,0.044437133536578646,1.8893720863570609,False
ES,GLOBEX,1day,138,2.5830500178398483,1953,1.0,1.5830500178398483,0.03743550750492534,0.014598280898442317,2.5643778034795743,False
ES,GLOBEX,1day,276,3.0435090492344745,1953,1.0,2.0435090492344745,0.022054413400249814,0.007272695217222512,3.032495208656982,True
ES,GLOBEX,1day,345,3.1225930177913095,1953,1.0,2.1225930177913095,0.018101988508935126,0.005813937111601127,3.113550793801059,False
ES,GLOBEX,1day,1379,4.343470450944951,1953,1.0,3.3434704509449507,0.006299449530014432,0.001451378555092054,4.340321488086813,False
NQ,GLOBEX,1day,5,0.8624008734817927,1948,1.0,-0.13759912651820727,0.34496034939271714,0.4903577561002349,0.703487086930472,False
NQ,GLOBEX,1day,6,0.938664361063099,1948,1.0,-0.06133563893690097,0.3128881203543663,0.39493406684822646,0.7922540662328061,False
NQ,GLOBEX,1day,10,1.1590570205149535,1948,1.0,0.15905702051495352,0.23181140410299073,0.22132295573711533,1.0473897898703894,False
NQ,GLOBEX,1day,12,1.2895252654029532,1948,1.0,0.2895252654029532,0.21492087756715886,0.18132295573711532,1.185293261371463,False
NQ,GLOBEX,1day,23,1.6554942825174754,1948,1.0,0.6554942825174754,0.14395602456673698,0.09084666127454626,1.5846044592843072,False
NQ,GLOBEX,1day,46,2.202413823965541,1948,1.0,1.202413823965541,0.09575712278111048,0.044437133536578646,2.1548897320815605,False
NQ,GLOBEX,1day,138,3.0305424483172274,1948,1.0,2.0305424483172274,0.04392090504807576,0.014598280898442317,3.0086354245151057,False
NQ,GLOBEX,1day,276,3.606698088553108,1948,1.0,2.606698088553108,0.02613549339531238,0.007272695217222512,3.593646181325015,True
NQ,GLOBEX,1day,345,3.7415162701222937,1948,1.0,2.7415162701222937,0.021689949392013297,0.005813937111601127,3.7306818040279768,False
NQ,GLOBEX,1day,1379,5.519786828741501,1948,1.0,4.519786828741501,0.008005492137406093,0.001451378555092054,5.515785050922392,False
ES,RTH,1day,5,0.7638973463386984,1901,1.0,-0.23610265366130156,0.3055589385354794,0.4903577561002349,0.6231347107988224,False
