root,geom,horizon,M,asym_var,trigamma,ratio,is_5min
ES,GLOBEX,1day,5,0.3388516548322924,0.4903577561002349,0.6910294588325572,False
ES,GLOBEX,1day,6,0.3058080258945062,0.39493406684822646,0.7743267840503324,False
ES,GLOBEX,1day,10,0.22239163655525201,0.22132295573711533,1.004828603587809,False
ES,GLOBEX,1day,12,0.2002898700740698,0.18132295573711532,1.1046029404266549,False
ES,GLOBEX,1day,23,0.13382397181432873,0.09084666127454626,1.4730752890290753,False
ES,GLOBEX,1day,46,0.08395827970173289,0.044437133536578646,1.8893720863570602,False
ES,GLOBEX,1day,138,0.03743550750492533,0.014598280898442317,2.564377803479574,False
ES,GLOBEX,1day,276,0.022054413400249818,0.007272695217222512,3.0324952086569823,True
ES,GLOBEX,1day,345,0.018101988508935126,0.005813937111601127,3.113550793801059,False
ES,GLOBEX,1day,1379,0.006299449530014432,0.001451378555092054,4.340321488086813,False
NQ,GLOBEX,1day,5,0.3449603493927171,0.4903577561002349,0.7034870869304719,False
NQ,GLOBEX,1day,6,0.31288812035436636,0.39493406684822646,0.7922540662328063,False
NQ,GLOBEX,1day,10,0.23181140410299075,0.22132295573711533,1.0473897898703897,False
NQ,GLOBEX,1day,12,0.21492087756715886,0.18132295573711532,1.185293261371463,False
NQ,GLOBEX,1day,23,0.143956024566737,0.09084666127454626,1.5846044592843076,False
NQ,GLOBEX,1day,46,0.09575712278111048,0.044437133536578646,2.1548897320815605,False
NQ,GLOBEX,1day,138,0.04392090504807576,0.014598280898442317,3.0086354245151057,False
NQ,GLOBEX,1day,276,0.02613549339531238,0.007272695217222512,3.593646181325015,True
NQ,GLOBEX,1day,345,0.0216899493920133,0.005813937111601127,3.7306818040279777,False
NQ,GLOBEX,1day,1379,0.008005492137406091,0.001451378555092054,5.515785050922391,False
ES,RTH,1day,5,0.3055589385354794,0.4903577561002349,0.6231347107988224,False
ES,RTH,1day,6,0.27091169122280856,0.39493406684822646,0.6859668840037549,False
ES,RTH,1day,10,0.18978087285405137,0.22132295573711533,0.8574839072702009,False
ES,RTH,1day,13,0.15733841893426948,0.16628453574995827,0.9461999471247221,False
ES,RTH,1day,26,0.09235773903264864,0.07995742842732394,1.1550864109717558,False
ES,RTH,1day,78,0.038616324774725215,0.025972566037214765,1.486812073916526,True
ES,RTH,1day,195,0.017961339819277278,0.01030918704702152,1.7422653927369163,False
ES,RTH,1day,389,0.009914449241253056,0.0051546277620026035,1.9234074115569566,False
ES,RTH,1h,4,0.3381693199036844,0.6449340668482266,0.5243471190106419,False
ES,RTH,1h,5,0.29420378044746376,0.4903577561002349,0.5999778259596348,False
ES,RTH,1h,6,0.2576471804252443,0.39493406684822646,0.652380237748035,False
ES,RTH,1h,10,0.17871973532797567,0.22132295573711533,0.8075065450520043,False
ES,RTH,1h,12,0.15557731002803396,0.18132295573711532,0.8580122102884327,True
ES,RTH,1h,15,0.1316437392077432,0.1426158966967038,0.9230649756226355,False
ES,RTH,1h,20,0.10431676898120547,0.10516633568168576,0.991921685823002,False
ES,RTH,1h,30,0.07489416836527221,0.0689382278476838,1.0863953238071018,False
ES,RTH,1h,60,0.04104880699964225,0.033895060357739946,1.211055728073626,False
ES,RTH,30min,5,0.2948502185869799,0.4903577561002349,0.6012961249596489,False
ES,RTH,30min,6,0.2594286806512287,0.39493406684822646,0.6568911178556986,True
ES,RTH,30min,10,0.1795433765138695,0.22132295573711533,0.8112279899565814,False
ES,RTH,30min,15,0.13118355754237315,0.1426158966967038,0.9198382549271952,False
ES,RTH,30min,30,0.07338978614295813,0.0689382278476838,1.064573146630776,False
NQ,RTH,1day,5,0.3139306447204116,0.4903577561002349,0.6402073604730348,False
NQ,RTH,1day,6,0.2792801910433122,0.39493406684822646,0.7071564964554953,False
NQ,RTH,1day,10,0.1963625950451471,0.22132295573711533,0.8872219982385567,False
NQ,RTH,1day,13,0.16464346045578437,0.16628453574995827,0.990130920552699,False
NQ,RTH,1day,26,0.0990735459658847,0.07995742842732394,1.2390786936818017,False
NQ,RTH,1day,78,0.04065773424951732,0.025972566037214765,1.5654107565367597,True
NQ,RTH,1day,195,0.018958335920069583,0.01030918704702152,1.8389748710153564,False
NQ,RTH,1day,389,0.010665255486994983,0.0051546277620026035,2.0690641457398793,False
NQ,RTH,1h,4,0.3386381841545775,0.6449340668482266,0.5250741146447607,False
NQ,RTH,1h,5,0.2926587643059351,0.4903577561002349,0.5968270322334052,False
NQ,RTH,1h,6,0.25914398885597417,0.39493406684822646,0.6561702588081961,False
NQ,RTH,1h,10,0.17973704543800617,0.22132295573711533,0.8121030411842847,False
NQ,RTH,1h,12,0.15621045113294085,0.18132295573711532,0.8615039970968544,True
NQ,RTH,1h,15,0.13140717532984503,0.1426158966967038,0.9214062273107186,False
NQ,RTH,1h,20,0.10470666103700661,0.10516633568168576,0.9956290704463596,False
NQ,RTH,1h,30,0.07563994548420473,0.0689382278476838,1.0972133726925517,False
NQ,RTH,1h,60,0.04182238012213987,0.033895060357739946,1.2338783197531529,False
NQ,RTH,30min,5,0.2957730549344784,0.4903577561002349,0.6031780903941059,False
NQ,RTH,30min,6,0.26042986711340066,0.39493406684822646,0.6594261902797159,True
NQ,RTH,30min,10,0.17991464623540418,0.22132295573711533,0.8129054920498376,False
NQ,RTH,30min,15,0.13214955373508683,0.1426158966967038,0.9266116666932623,False
NQ,RTH,30min,30,0.07459627003859207,0.0689382278476838,1.0820740881736832,False
