cell,proxy,n_grid,grid,c,A,b,rmse,cond,b_lo,b_hi,b_se,b_trigamma_ref,ref_inside_95,screen_tight,corr_cb,corr_Ab,n_boot_ok
ES/GLOBEX/B0/1day,RV,10,5;6;10;12;23;46;138;276;345;1379,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,24.95950369337229,-0.5484511231013973,-0.3366759193017163,0.054108058756947866,-1.13767466962387,False,True,-0.5778084687298997,-0.8659054324368088,2000
ES/GLOBEX/B0/1day,RK,10,5;6;10;12;23;46;138;276;345;1379,1.2697612157989546,4.319444573308328,-0.6014107452234206,0.0428767675441416,48.29333600550507,-0.7171034317979655,-0.4997617135037091,0.05572147179708964,-1.13767466962387,False,True,-0.4789806715425106,-0.8847978101621847,2000
ES/GLOBEX/B0/1day,TSRV,10,5;6;10;12;23;46;138;276;345;1379,1.1164788120004854,3.9873838868453992,-0.4745622028435823,0.059069256862493105,41.063788062962786,-0.5697500724369833,-0.3896089996516536,0.047531127646137955,-1.13767466962387,False,True,-0.6645044169879376,-0.8374632037724146,2000
ES/GLOBEX/B1/1day,RV,10,5;6;10;12;23;46;138;276;345;1379,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,24.95950369337229,-0.5566408527098787,-0.3440520603545321,0.052547128518118415,-1.13767466962387,False,True,-0.5739455110119998,-0.870131787015297,2000
ES/GLOBEX/B1/1day,RK,10,5;6;10;12;23;46;138;276;345;1379,1.2697612157989546,4.319444573308328,-0.6014107452234206,0.0428767675441416,48.29333600550507,-0.7174065587211248,-0.4940407801992786,0.05710980415001478,-1.13767466962387,False,True,-0.502660582082588,-0.8948384853269723,2000
ES/GLOBEX/B1/1day,TSRV,10,5;6;10;12;23;46;138;276;345;1379,1.1164788120004854,3.9873838868453992,-0.4745622028435823,0.059069256862493105,41.063788062962786,-0.568354186425106,-0.39353227418310693,0.045711038468995456,-1.13767466962387,False,True,-0.6448044063355036,-0.8262483179519003,2000
NQ/GLOBEX/B0/1day,RV,10,5;6;10;12;23;46;138;276;345;1379,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,38.98567677763267,-0.8033881633826856,-0.5693968021571375,0.05808036841583271,-1.13767466962387,False,True,-0.1683613040469693,-0.8949992841153053,2000
NQ/GLOBEX/B0/1day,RK,10,5;6;10;12;23;46;138;276;345;1379,1.0652977443508778,3.980319664385309,-0.5267025788269469,0.020138078234151896,42.78809900318221,-0.6514635180418659,-0.42418612304001907,0.059162485897296745,-1.13767466962387,False,True,-0.7116225892452047,-0.8904561006822551,2000
NQ/GLOBEX/B0/1day,TSRV,10,5;6;10;12;23;46;138;276;345;1379,1.0547777083592864,4.904769674505157,-0.5811628557191942,0.021586018386679107,52.73593165418727,-0.7085493181670677,-0.47207366812325263,0.061680623827714345,-1.13767466962387,False,True,-0.6806572951589056,-0.9250583259377665,2000
NQ/GLOBEX/B1/1day,RV,10,5;6;10;12;23;46;138;276;345;1379,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,38.98567677763267,-0.8083938610389799,-0.5789496705420756,0.057500302046965227,-1.13767466962387,False,True,-0.14718833210231724,-0.8909781175933154,2000
NQ/GLOBEX/B1/1day,RK,10,5;6;10;12;23;46;138;276;345;1379,1.0652977443508778,3.980319664385309,-0.5267025788269469,0.020138078234151896,42.78809900318221,-0.643487309334253,-0.4228745625964871,0.05645718211991965,-1.13767466962387,False,True,-0.705973629549432,-0.8811854685016797,2000
NQ/GLOBEX/B1/1day,TSRV,10,5;6;10;12;23;46;138;276;345;1379,1.0547777083592864,4.904769674505157,-0.5811628557191942,0.021586018386679107,52.73593165418727,-0.7094258135871196,-0.47718509574513257,0.05967303380075414,-1.13767466962387,False,True,-0.6893036754071709,-0.91428076019505,2000
ES/RTH/B0/1day,RV,8,5;6;10;13;26;78;195;389,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,36.519380493780425,-0.7590225800889114,-0.5008141014815587,0.06528590465691808,-1.144373249661363,False,True,-0.37108335735157577,-0.9010989126546506,2000
ES/RTH/B0/1day,RK,8,5;6;10;13;26;78;195;389,1.2759939061012253,4.742975522811875,-0.7134874950207222,0.01873324409888838,60.80159772068902,-0.9285678217918746,-0.5511436423070328,0.09524046043189029,-1.144373249661363,False,True,-0.6180461003264236,-0.9366608983743581,2000
ES/RTH/B0/1day,TSRV,8,5;6;10;13;26;78;195;389,0.9955337777964193,4.123693003418672,-0.454950455977496,0.06125326659549472,44.94735936773167,-0.6109517211609647,-0.3117179491965315,0.07671223971833034,-1.144373249661363,False,True,-0.8900643105813228,-0.8899619369736471,2000
ES/RTH/B0/1h,RV,9,4;5;6;10;12;15;20;30;60,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,37.39987542402396,-0.5310821656612905,-0.39967114930294,0.0335619251179887,-1.2097127786327901,False,True,-0.9065366023187382,-0.6487099688040285,2000
ES/RTH/B0/1h,RK,9,4;5;6;10;12;15;20;30;60,1.3874683248434903,3.461766125120805,-0.49799361032390793,0.04447395951813599,44.5458151075459,-0.5809741048685096,-0.41049286830918286,0.04340825722867604,-1.2097127786327901,False,True,-0.9226613285651275,-0.7042374400444654,2000
ES/RTH/B0/1h,TSRV,9,4;5;6;10;12;15;20;30;60,1.2502471169364695,3.9977175127550058,-0.47652002399628496,0.0314054073459137,51.22122768291803,-0.5878481784889975,-0.3683775606867106,0.05600517420596474,-1.2097127786327901,False,True,-0.9546097866378546,-0.718296220305064,2000
ES/RTH/B0/30min,RV,5,5;6;10;15;30,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,97.82049114529003,-0.47797199731187534,-0.34103929395348553,0.034881936195863356,-1.1971005917687416,False,False,-0.9725726519455886,-0.19091196218047915,2000
