M,H_kernel,K_tsrv,n_pos_RV,n_pos_RK,n_pos_TSRV,cell,omega2,iv_hat,iq_hat
5,1,2,1953,1813,1623,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
6,1,2,1953,1833,1692,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
10,1,2,1953,1856,1778,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
12,1,2,1953,1875,1835,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
23,1,2,1953,1932,1934,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
46,1,2,1953,1950,1950,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
138,3,2,1953,1953,1953,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
276,4,2,1953,1953,1953,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
345,5,2,1953,1953,1953,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
1379,11,2,1953,1953,1953,ES/GLOBEX/B0/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
5,1,2,1953,1813,1623,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
6,1,2,1953,1833,1692,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
10,1,2,1953,1856,1778,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
12,1,2,1953,1875,1835,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
23,1,2,1953,1932,1934,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
46,1,2,1953,1950,1950,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
138,3,2,1953,1953,1953,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
276,4,2,1953,1953,1953,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
345,5,2,1953,1953,1953,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
1379,11,2,1953,1953,1953,ES/GLOBEX/B1/1day,4.6372666259924164e-08,0.00012789581354487084,5.487495634933956e-07
5,1,2,1948,1793,1620,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
6,1,2,1948,1821,1685,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
10,1,2,1948,1835,1773,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
12,1,2,1948,1870,1834,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
23,1,2,1948,1929,1922,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
46,1,2,1948,1943,1942,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
138,3,2,1948,1948,1948,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
276,4,2,1948,1948,1948,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
345,5,2,1948,1948,1948,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
1379,11,2,1948,1948,1948,NQ/GLOBEX/B0/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
5,1,2,1948,1793,1620,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
6,1,2,1948,1821,1685,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
10,1,2,1948,1835,1773,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
12,1,2,1948,1870,1834,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
23,1,2,1948,1929,1922,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
46,1,2,1948,1943,1942,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
138,3,2,1948,1948,1948,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
276,4,2,1948,1948,1948,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
345,5,2,1948,1948,1948,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
1379,11,2,1948,1948,1948,NQ/GLOBEX/B1/1day,6.715633063361335e-08,0.0001852171598875056,1.2029358065446988e-06
5,1,2,1901,1798,1563,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
6,1,2,1901,1808,1638,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
10,1,2,1901,1851,1756,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
13,1,2,1901,1858,1800,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
26,2,2,1901,1901,1881,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
78,3,2,1901,1901,1901,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
195,6,2,1901,1901,1901,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
389,9,2,1901,1901,1901,ES/RTH/B0/1day,9.538999250742781e-08,7.421341417077884e-05,7.128693057412815e-08
4,1,2,11406,10461,9324,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
5,1,2,11406,10628,9686,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
6,2,2,11406,10894,10052,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
10,2,2,11406,11192,10767,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
12,2,2,11406,11253,10902,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
15,3,2,11406,11337,11086,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
20,3,2,11406,11384,11235,ES/RTH/B0/1h,9.175183527524224e-08,1.1010220233029069e-05,1.4524719188698119e-09
