root,geom,limit,ticks,n_spurious_episodes,breach_cost_bps,te_relative_while_flat,total_cost_bps
ES,GLOBEX,leverage_cap,0.5,0,0.0,0.0,0.0
ES,GLOBEX,leverage_cap,1.0,0,0.0,0.0,0.0
ES,GLOBEX,leverage_cap,2.0,0,0.0,0.0,0.0
ES,GLOBEX,leverage_cap,4.0,0,0.0,0.0,0.0
ES,GLOBEX,stop_out,0.5,2,0.002531474636118841,0.05585807734779456,0.002531474636118841
ES,GLOBEX,stop_out,1.0,2,0.005062949272237682,0.05585807734779456,0.005062949272237682
ES,GLOBEX,stop_out,2.0,2,0.010125898544475364,0.05585807734779456,0.010125898544475364
ES,GLOBEX,stop_out,4.0,2,0.020251797088950727,0.05585807734779456,0.020251797088950727
NQ,GLOBEX,leverage_cap,0.5,0,0.0,0.0,0.0
NQ,GLOBEX,leverage_cap,1.0,0,0.0,0.0,0.0
NQ,GLOBEX,leverage_cap,2.0,0,0.0,0.0,0.0
NQ,GLOBEX,leverage_cap,4.0,0,0.0,0.0,0.0
NQ,GLOBEX,stop_out,0.5,1,0.0003478081264563965,0.03949762527666822,0.0003478081264563965
NQ,GLOBEX,stop_out,1.0,1,0.000695616252912793,0.03949762527666822,0.000695616252912793
NQ,GLOBEX,stop_out,2.0,1,0.001391232505825586,0.03949762527666822,0.001391232505825586
NQ,GLOBEX,stop_out,4.0,1,0.002782465011651172,0.03949762527666822,0.002782465011651172
ES,RTH,leverage_cap,0.5,0,0.0,0.0,0.0
ES,RTH,leverage_cap,1.0,0,0.0,0.0,0.0
ES,RTH,leverage_cap,2.0,0,0.0,0.0,0.0
ES,RTH,leverage_cap,4.0,0,0.0,0.0,0.0
ES,RTH,stop_out,0.5,4,0.005224902336941512,0.0802572353905128,0.005224902336941512
ES,RTH,stop_out,1.0,4,0.010449804673883024,0.0802572353905128,0.010449804673883024
ES,RTH,stop_out,2.0,4,0.020899609347766048,0.0802572353905128,0.020899609347766048
ES,RTH,stop_out,4.0,4,0.041799218695532096,0.0802572353905128,0.041799218695532096
NQ,RTH,leverage_cap,0.5,0,0.0,0.0,0.0
NQ,RTH,leverage_cap,1.0,0,0.0,0.0,0.0
NQ,RTH,leverage_cap,2.0,0,0.0,0.0,0.0
NQ,RTH,leverage_cap,4.0,0,0.0,0.0,0.0
NQ,RTH,stop_out,0.5,6,0.0021539436361646927,0.09829463743659808,0.0021539436361646927
NQ,RTH,stop_out,1.0,6,0.004307887272329385,0.09829463743659808,0.004307887272329385
NQ,RTH,stop_out,2.0,6,0.00861577454465877,0.09829463743659808,0.00861577454465877
NQ,RTH,stop_out,4.0,6,0.01723154908931754,0.09829463743659808,0.01723154908931754
