root,geom,model_i,model_j,corr
ES,GLOBEX,M1_EWMA,M1_EWMA,0.9999999999999998
ES,GLOBEX,M1_EWMA,M2_HAR,0.6454736070580287
ES,GLOBEX,M1_EWMA,M3_HARJ,0.003034654656629231
ES,GLOBEX,M1_EWMA,M4_HARQ,-0.04343447028192687
ES,GLOBEX,M1_EWMA,M5_RGARCH,0.5636309255497972
ES,GLOBEX,M1_EWMA,M6_PARK,0.46364055345643446
ES,GLOBEX,M1_EWMA,M6_GK,0.4636925319244664
ES,GLOBEX,M2_HAR,M1_EWMA,0.6454736070580287
ES,GLOBEX,M2_HAR,M2_HAR,1.0
ES,GLOBEX,M2_HAR,M3_HARJ,-0.04807167479652513
ES,GLOBEX,M2_HAR,M4_HARQ,-0.10339353519250187
ES,GLOBEX,M2_HAR,M5_RGARCH,0.9168600634699063
ES,GLOBEX,M2_HAR,M6_PARK,0.752229140764017
ES,GLOBEX,M2_HAR,M6_GK,0.785511015052053
ES,GLOBEX,M3_HARJ,M1_EWMA,0.003034654656629231
ES,GLOBEX,M3_HARJ,M2_HAR,-0.04807167479652513
ES,GLOBEX,M3_HARJ,M3_HARJ,1.0
ES,GLOBEX,M3_HARJ,M4_HARQ,-0.007379589169133663
ES,GLOBEX,M3_HARJ,M5_RGARCH,-0.03970710045354956
ES,GLOBEX,M3_HARJ,M6_PARK,-0.07520967583353955
ES,GLOBEX,M3_HARJ,M6_GK,-0.0679780779877339
ES,GLOBEX,M4_HARQ,M1_EWMA,-0.04343447028192687
ES,GLOBEX,M4_HARQ,M2_HAR,-0.10339353519250187
ES,GLOBEX,M4_HARQ,M3_HARJ,-0.0073795891691336634
ES,GLOBEX,M4_HARQ,M4_HARQ,0.9999999999999998
ES,GLOBEX,M4_HARQ,M5_RGARCH,-0.059090461298234795
ES,GLOBEX,M4_HARQ,M6_PARK,-0.05796241113347385
ES,GLOBEX,M4_HARQ,M6_GK,-0.05978196241968951
ES,GLOBEX,M5_RGARCH,M1_EWMA,0.5636309255497972
ES,GLOBEX,M5_RGARCH,M2_HAR,0.9168600634699063
ES,GLOBEX,M5_RGARCH,M3_HARJ,-0.039707100453549554
ES,GLOBEX,M5_RGARCH,M4_HARQ,-0.0590904612982348
ES,GLOBEX,M5_RGARCH,M5_RGARCH,1.0
ES,GLOBEX,M5_RGARCH,M6_PARK,0.7938211975488821
ES,GLOBEX,M5_RGARCH,M6_GK,0.8258536308105457
ES,GLOBEX,M6_PARK,M1_EWMA,0.46364055345643446
ES,GLOBEX,M6_PARK,M2_HAR,0.752229140764017
ES,GLOBEX,M6_PARK,M3_HARJ,-0.07520967583353955
ES,GLOBEX,M6_PARK,M4_HARQ,-0.05796241113347385
ES,GLOBEX,M6_PARK,M5_RGARCH,0.7938211975488821
ES,GLOBEX,M6_PARK,M6_PARK,1.0
ES,GLOBEX,M6_PARK,M6_GK,0.9649650367299746
ES,GLOBEX,M6_GK,M1_EWMA,0.4636925319244664
ES,GLOBEX,M6_GK,M2_HAR,0.785511015052053
ES,GLOBEX,M6_GK,M3_HARJ,-0.0679780779877339
ES,GLOBEX,M6_GK,M4_HARQ,-0.059781962419689506
ES,GLOBEX,M6_GK,M5_RGARCH,0.8258536308105456
