root,geom,H,target,n_crossings,crossing_sigma_w,ratio_at_0p6,target_reached_at_0p6
ES,GLOBEX,0.05,3.0435090492344745,1,2.213,1.080867391525856,False
ES,GLOBEX,0.1,3.0435090492344745,1,2.213,1.0973703920671323,False
ES,GLOBEX,0.2,3.0435090492344745,1,2.213,1.095053757579002,False
ES,GLOBEX,0.3,3.0435090492344745,1,2.605,1.0809764353561602,False
ES,GLOBEX,0.45,3.0435090492344745,1,3.609,1.061808268023672,False
ES,GLOBEX,0.5,3.0435090492344745,1,3.609,1.056700465162423,False
NQ,GLOBEX,0.05,3.606698088553108,1,2.213,1.080867391525856,False
NQ,GLOBEX,0.1,3.606698088553108,1,2.213,1.0973703920671323,False
NQ,GLOBEX,0.2,3.606698088553108,1,2.605,1.095053757579002,False
NQ,GLOBEX,0.3,3.606698088553108,1,3.066,1.0809764353561602,False
NQ,GLOBEX,0.45,3.606698088553108,1,4.248,1.061808268023672,False
NQ,GLOBEX,0.5,3.606698088553108,1,4.248,1.056700465162423,False
ES,RTH,0.05,1.5060366662142837,1,1.597,1.0082459802156127,False
ES,RTH,0.1,1.5060366662142837,1,1.357,1.0207463455325498,False
ES,RTH,0.2,1.5060366662142837,1,1.357,1.0249487611429635,False
ES,RTH,0.3,1.5060366662142837,1,1.597,1.0188051102093991,False
ES,RTH,0.45,1.5060366662142837,1,1.880,1.0070327048328505,False
ES,RTH,0.5,1.5060366662142837,1,1.880,1.003494084076985,False
NQ,RTH,0.05,1.5856516357311756,1,1.597,1.0082459802156127,False
NQ,RTH,0.1,1.5856516357311756,1,1.597,1.0207463455325498,False
NQ,RTH,0.2,1.5856516357311756,1,1.597,1.0249487611429635,False
NQ,RTH,0.3,1.5856516357311756,1,1.597,1.0188051102093991,False
NQ,RTH,0.45,1.5856516357311756,1,1.880,1.0070327048328505,False
NQ,RTH,0.5,1.5856516357311756,1,2.213,1.003494084076985,False
