root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
ES,GLOBEX,0.05,5,2.3032048768699176,0.7704092337283219,0.847129137080731,1.0,-0.07671990335240908,-0.0905645904434258,1.5196430035791009,False
ES,GLOBEX,0.05,6,2.3032048768699176,0.8456856658959717,0.9174240776835184,1.0,-0.0717384117875467,-0.07819547527974746,1.5196430035791009,False
ES,GLOBEX,0.05,10,2.3032048768699176,1.0252006548273576,1.11195818277626,1.0,-0.08675752794890235,-0.07802229372717251,1.5196430035791009,False
ES,GLOBEX,0.05,12,2.3032048768699176,1.1056864896097152,1.2017392204444188,1.0,-0.09605273083470367,-0.0799280985430284,1.5196430035791009,False
ES,GLOBEX,0.05,23,2.3032048768699176,1.393729392044263,1.5389756758647803,1.0,-0.1452462838205173,-0.09437854418257818,1.5196430035791009,False
ES,GLOBEX,0.05,46,2.3032048768699176,1.7736098625891838,1.9310404331398572,1.0,-0.15743057055067333,-0.081526294244752,1.5196430035791009,False
ES,GLOBEX,0.05,138,2.3032048768699176,2.3588388919190004,2.5830500178398483,1.0,-0.2242111259208479,-0.08680092308407994,1.5196430035791009,False
ES,GLOBEX,0.05,276,2.3032048768699176,3.0435091673018606,3.0435090492344745,1.0,1.1806738609010381e-07,3.8793177337126394e-08,1.5196430035791009,True
ES,GLOBEX,0.05,345,2.3032048768699176,3.442298756657507,3.1225930177913095,1.0,0.31970573886619746,0.10238469664302707,1.5196430035791009,False
ES,GLOBEX,0.05,1379,2.3032048768699176,7.488339790672273,4.343470450944951,1.0,3.1448693397273226,0.7240452940213131,1.5196430035791009,False
ES,GLOBEX,0.1,5,2.2799829635322095,0.7783770398749317,0.847129137080731,1.0,-0.06875209720579933,-0.0811589333861471,1.3951145969469423,False
ES,GLOBEX,0.1,6,2.2799829635322095,0.85389356028798,0.9174240776835184,1.0,-0.06353051739553839,-0.06924880100809205,1.3951145969469423,False
ES,GLOBEX,0.1,10,2.2799829635322095,1.055656876520491,1.11195818277626,1.0,-0.0563013062557689,-0.050632575152421366,1.3951145969469423,False
ES,GLOBEX,0.1,12,2.2799829635322095,1.1180938599629604,1.2017392204444188,1.0,-0.08364536048145843,-0.06960358708316539,1.3951145969469423,False
ES,GLOBEX,0.1,23,2.2799829635322095,1.4531581596962602,1.5389756758647803,1.0,-0.08581751616852018,-0.05576275019440946,1.3951145969469423,False
ES,GLOBEX,0.1,46,2.2799829635322095,1.8147187839080385,1.9310404331398572,1.0,-0.11632164923181865,-0.06023781130397177,1.3951145969469423,False
ES,GLOBEX,0.1,138,2.2799829635322095,2.5971535347800883,2.5830500178398483,1.0,0.014103516940239924,0.005460024716065881,1.3951145969469423,False
ES,GLOBEX,0.1,276,2.2799829635322095,3.0435094206323594,3.0435090492344745,1.0,3.713978848907118e-07,1.2202949917217154e-07,1.3951145969469423,True
ES,GLOBEX,0.1,345,2.2799829635322095,3.412017714181454,3.1225930177913095,1.0,0.28942469639014456,0.09268729377831697,1.3951145969469423,False
ES,GLOBEX,0.1,1379,2.2799829635322095,5.184256643690913,4.343470450944951,1.0,0.8407861927459628,0.1935747467933262,1.3951145969469423,False
ES,GLOBEX,0.2,5,2.6065675798952577,0.8251583108841689,0.847129137080731,1.0,-0.0219708261965621,-0.025935628034558178,1.3767942054293496,False
ES,GLOBEX,0.2,6,2.6065675798952577,0.8870129600296844,0.9174240776835184,1.0,-0.030411117653833974,-0.03314837531910164,1.3767942054293496,False
ES,GLOBEX,0.2,10,2.6065675798952577,1.1582720096772727,1.11195818277626,1.0,0.04631382690101282,0.041650691202595125,1.3767942054293496,False
ES,GLOBEX,0.2,12,2.6065675798952577,1.2038231402828206,1.2017392204444188,1.0,0.0020839198384017266,0.001734086566327564,1.3767942054293496,False
ES,GLOBEX,0.2,23,2.6065675798952577,1.5979199065186334,1.5389756758647803,1.0,0.058944230653853014,0.03830095015681856,1.3767942054293496,False
