root,geom,limit,ticks,n_spurious_episodes,cost_bps
ES,GLOBEX,stop_out_1.5x,0.5,2,0.002531474636118841
ES,GLOBEX,stop_out_1.5x,1.0,2,0.005062949272237682
ES,GLOBEX,stop_out_1.5x,2.0,2,0.010125898544475364
ES,GLOBEX,stop_out_1.5x,4.0,2,0.020251797088950727
NQ,GLOBEX,stop_out_1.5x,0.5,1,0.0003478081264563965
NQ,GLOBEX,stop_out_1.5x,1.0,1,0.000695616252912793
NQ,GLOBEX,stop_out_1.5x,2.0,1,0.001391232505825586
NQ,GLOBEX,stop_out_1.5x,4.0,1,0.002782465011651172
ES,RTH,stop_out_1.5x,0.5,4,0.005224902336941512
ES,RTH,stop_out_1.5x,1.0,4,0.010449804673883024
ES,RTH,stop_out_1.5x,2.0,4,0.020899609347766048
ES,RTH,stop_out_1.5x,4.0,4,0.041799218695532096
NQ,RTH,stop_out_1.5x,0.5,6,0.0021539436361646927
NQ,RTH,stop_out_1.5x,1.0,6,0.004307887272329385
NQ,RTH,stop_out_1.5x,2.0,6,0.00861577454465877
NQ,RTH,stop_out_1.5x,4.0,6,0.01723154908931754
