root,geom,sample,distance_quintile,n,mean_abs_distance,empirical_rate
ES,GLOBEX,insample,1,391,0.1331207521194288,0.1534526854219949
ES,GLOBEX,insample,2,390,0.43714362404969853,0.0
ES,GLOBEX,insample,3,391,0.7590242123140376,0.0
ES,GLOBEX,insample,4,390,1.1669570855026197,0.0
ES,GLOBEX,insample,5,391,1.9492496430578237,0.0
ES,GLOBEX,holdout,1,129,0.13887844835134044,0.15503875968992248
ES,GLOBEX,holdout,2,128,0.3757275864162702,0.0
ES,GLOBEX,holdout,3,128,0.6023613926899172,0.0
ES,GLOBEX,holdout,4,128,0.9125179547888673,0.0
ES,GLOBEX,holdout,5,128,1.5971821845309386,0.0
NQ,GLOBEX,insample,1,390,0.13428529965035155,0.13076923076923078
NQ,GLOBEX,insample,2,389,0.41776923930829934,0.002570694087403599
NQ,GLOBEX,insample,3,390,0.7348421426218147,0.0
NQ,GLOBEX,insample,4,389,1.1371870119610208,0.0
NQ,GLOBEX,insample,5,390,1.872895941908423,0.0
NQ,GLOBEX,holdout,1,129,0.11330185894737034,0.16279069767441862
NQ,GLOBEX,holdout,2,128,0.3133216001668986,0.0
NQ,GLOBEX,holdout,3,128,0.551971418510605,0.0
NQ,GLOBEX,holdout,4,128,0.8522818750980087,0.0
NQ,GLOBEX,holdout,5,128,1.5367768341167767,0.0
ES,RTH,insample,1,381,0.14297080132792142,0.19160104986876642
ES,RTH,insample,2,380,0.4437288224819718,0.002631578947368421
ES,RTH,insample,3,380,0.7962757301622401,0.0
ES,RTH,insample,4,380,1.2071508190031872,0.0
ES,RTH,insample,5,380,1.9598379586728698,0.0
ES,RTH,holdout,1,125,0.15848738641592883,0.144
ES,RTH,holdout,2,124,0.3787469812680923,0.008064516129032258
ES,RTH,holdout,3,124,0.630092397833311,0.0
ES,RTH,holdout,4,124,0.9394414600935153,0.0
ES,RTH,holdout,5,124,1.5391305606782348,0.0
NQ,RTH,insample,1,381,0.13376766078839744,0.2047244094488189
NQ,RTH,insample,2,380,0.4309401437971329,0.005263157894736842
NQ,RTH,insample,3,380,0.7492021870287362,0.0
NQ,RTH,insample,4,380,1.1337497274744615,0.0
NQ,RTH,insample,5,380,1.8448496586315601,0.0
NQ,RTH,holdout,1,125,0.11639166959821569,0.248
NQ,RTH,holdout,2,124,0.3262407889522256,0.0
NQ,RTH,holdout,3,124,0.5524810117137919,0.008064516129032258
NQ,RTH,holdout,4,124,0.846523458320511,0.0
NQ,RTH,holdout,5,124,1.4423456082217745,0.0
