root,geom,ticks,switches_proxy,switches_best,excess_switches,cost_proxy_bps,cost_best_bps,excess_cost_bps,n_days
ES,GLOBEX,0.5,170,168,40,63.295764544885145,62.55110849141592,14.893121069384742,641
ES,GLOBEX,1.0,170,168,40,126.59152908977029,125.10221698283183,29.786242138769484,641
ES,GLOBEX,2.0,170,168,40,253.18305817954058,250.20443396566367,59.57248427753897,641
ES,GLOBEX,4.0,170,168,40,506.36611635908116,500.40886793132734,119.14496855507794,641
NQ,GLOBEX,0.5,170,169,39,12.131445606128501,12.060084161386571,2.7830963449353625,641
NQ,GLOBEX,1.0,170,169,39,24.262891212257003,24.120168322773143,5.566192689870725,641
NQ,GLOBEX,2.0,170,169,39,48.525782424514006,48.240336645546286,11.13238537974145,641
NQ,GLOBEX,4.0,170,169,39,97.05156484902801,96.48067329109257,22.2647707594829,641
ES,RTH,0.5,162,168,36,77.6969384865684,80.57460287495981,17.265986330348532,621
ES,RTH,1.0,162,168,36,155.3938769731368,161.14920574991962,34.531972660697065,621
ES,RTH,2.0,162,168,36,310.7877539462736,322.29841149983923,69.06394532139413,621
ES,RTH,4.0,162,168,36,621.5755078925472,644.5968229996785,138.12789064278826,621
NQ,RTH,0.5,179,181,62,16.024612301532414,16.20365824903557,5.55042437259782,621
NQ,RTH,1.0,179,181,62,32.04922460306483,32.40731649807114,11.10084874519564,621
NQ,RTH,2.0,179,181,62,64.09844920612966,64.81463299614228,22.20169749039128,621
NQ,RTH,4.0,179,181,62,128.19689841225932,129.62926599228456,44.40339498078256,621
