root,geom,sample,coefficients,n,rmse,mae,bias,qlike
ES,GLOBEX,insample,naive,1931,0.5807136055299486,0.44055706162767566,5.315271785631615e-15,0.20832517879791027
ES,GLOBEX,insample,corrected,1931,0.745094065653575,0.5670346519247887,0.3621667665192069,0.4651296517867976
ES,GLOBEX,pseudo_oos,naive,580,0.5858007419040278,0.4373313179462357,0.030307402497136666,0.18683304509976992
ES,GLOBEX,pseudo_oos,corrected,580,0.7751277548024809,0.5975515330614927,0.37491707954309295,0.4839272351930539
NQ,GLOBEX,insample,naive,1926,0.5845783307347983,0.4404695765325325,-4.028622364745739e-15,0.20009615551209894
NQ,GLOBEX,insample,corrected,1926,0.5911310966338812,0.44244133436944894,0.07235021161656346,0.2203889094650521
NQ,GLOBEX,pseudo_oos,naive,578,0.5892253300807112,0.42694874690068724,0.03071381526109961,0.18037492020218762
NQ,GLOBEX,pseudo_oos,corrected,578,0.6055505106695155,0.44053055300136623,0.0993352143443479,0.20618779127303383
ES,RTH,insample,naive,1879,0.6136841685171788,0.4833039204743058,-5.173083887811693e-15,0.2305228403632969
ES,RTH,insample,corrected,1879,0.695913572993086,0.539517823862141,0.266997140710712,0.3653552195009508
ES,RTH,pseudo_oos,naive,564,0.5550714303112122,0.43251553220732813,0.04116764753515132,0.18490495510648275
ES,RTH,pseudo_oos,corrected,564,0.6576544756436026,0.5162248493325846,0.29395553463784935,0.32012986756741285
NQ,RTH,insample,naive,1879,0.5899731643608336,0.46432836420617213,6.1335833816012906e-15,0.21030751240085416
NQ,RTH,insample,corrected,1879,0.5955387797403033,0.4657879122371157,0.06866374902136702,0.2281174544347173
NQ,RTH,pseudo_oos,naive,564,0.5150353879907247,0.3979395116092322,0.038293995863171795,0.15563918856026707
NQ,RTH,pseudo_oos,corrected,564,0.5287059882382115,0.4091005712733641,0.10320178454243017,0.1741284373463621
