root,geom,kappa,b_mean,b_sd,share,rmse,cond,n_seeds,in_observed_range
ES,GLOBEX,1.0,-1.0382665746163855,0.07036298240030682,0.0029316968048473738,0.006669172442461399,75.42691930593955,5,False
ES,GLOBEX,3.0,-1.1349688929089479,0.11448065465326754,0.004363991170163499,0.011027590638999493,95.63288699009478,5,False
ES,GLOBEX,6.0,-1.2561757232569122,0.09764815223955371,0.006492111820228211,0.010885578377858087,124.88155688351489,5,False
ES,GLOBEX,10.0,-1.1408502675917969,0.08626533686114106,0.00904284146977537,0.008625965699800708,95.62775805501526,5,False
ES,GLOBEX,20.0,-1.2131798055224106,0.08682044023602264,0.01609172376383249,0.008231286017379104,112.6421049989909,5,False
ES,GLOBEX,40.0,-1.1232434491627354,0.1467651526592777,0.028927851994319832,0.007399613372874342,94.91859995565962,5,False
ES,GLOBEX,80.0,-1.1536357906155785,0.08711570220601696,0.05218021854296342,0.006595062274580639,98.57580788698706,5,False
ES,GLOBEX,160.0,-1.1879442998769423,0.10600873240253907,0.09097331584650734,0.006289755254937001,107.0037506623568,5,False
ES,GLOBEX,320.0,-1.1287790697522264,0.10043315649843773,0.15238623712407026,0.006915609559686717,93.56003294555659,5,False
ES,GLOBEX,640.0,-1.1131191876728566,0.04475286393730851,0.2298047622791953,0.008306630980155008,88.7975545188443,5,False
ES,GLOBEX,1280.0,-1.194032439947184,0.12509233789978655,0.3343152843092846,0.0063412142418942385,108.98374351963078,5,False
ES,GLOBEX,2000.0,-1.130937258688682,0.21607414314281542,0.40585240862533734,0.00956523480305468,101.49154025104585,5,False
ES,RTH,1.0,-1.2009121291186828,0.10190384742660305,0.010348689401320941,0.009009185748434425,108.39059891401493,5,False
ES,RTH,3.0,-1.0993139641962122,0.08286682757442637,0.015339875104631301,0.008718801393137809,86.26362207210558,5,False
ES,RTH,6.0,-1.1864576875556219,0.1764432065469353,0.022087742915508364,0.011217300750878206,109.21892403667343,5,False
ES,RTH,10.0,-1.1457511407686112,0.06078132762662997,0.031249999402580747,0.009347745108822123,95.2889814828823,5,False
ES,RTH,20.0,-1.1366077264463161,0.12662548295337925,0.052362503344984226,0.0064214387003436,94.95016143546,5,False
ES,RTH,40.0,-1.0703601908748388,0.09476267191623865,0.08749943208760004,0.005733599781227573,81.1359653567437,5,False
ES,RTH,80.0,-1.247479872782473,0.16283868939802643,0.14252769076281738,0.009786115966000559,123.86842404139074,5,False
ES,RTH,160.0,-1.1534158798980463,0.08215675208492848,0.22406269089433173,0.01255670186080501,97.04321436990908,5,False
