root,geom,q,n_lags_all,n_lags_surviving,lags_dropped,surviving_min,surviving_max,H_naive_all,se_naive_all,rmse_naive_all,H_naive_subset,se_naive_subset,rmse_naive_subset,H_corrected_subset,se_corrected,rmse_corrected,total_shift,shift_from_lag_selection,shift_from_nugget,share_lag_selection,share_nugget,H_common_naive,H_common_corrected,common_shift,rmse_common_naive,rmse_common_corrected,nugget,nugget_share_lag1,nugget_share_lag40
ES,GLOBEX,0.5,40,39,1,2,40,0.18866597132866592,0.0037413534180719423,0.009944940723008475,0.18338616266470312,0.004075931740382061,0.009299583214829375,0.39681848559007266,0.018386338143840684,0.0419499865247033,0.20815251426140674,-0.005279808663962798,0.21343232292536954,-0.025365096754643046,1.025365096754643,0.18338616266470312,0.39681848559007266,0.21343232292536954,0.009299583214829375,0.0419499865247033,0.43188649996019807,1.2586428340626754,0.3144799237328436
ES,GLOBEX,1.0,40,39,1,2,40,0.1856864084290129,0.0032031542705059745,0.01702869298204366,0.18047819674415574,0.0033893378939952876,0.015466122494695762,0.36757531473299954,0.015272724283793131,0.06969202599107624,0.18188890630398663,-0.005208211684857161,0.1870971179888438,-0.02863402606947782,1.0286340260694777,0.18047819674415574,0.36757531473299954,0.1870971179888438,0.015466122494695762,0.06969202599107624,0.43188649996019807,1.1910943753546257,0.299184060858859
ES,GLOBEX,2.0,40,39,1,2,40,0.18193424105973677,0.002598759823349916,0.027631190650649114,0.1775395512107924,0.002722343233797757,0.024845025927403647,0.3273279249018222,0.011470924057067462,0.10468753611628226,0.14539368384208545,-0.004394689848944366,0.14978837369102982,-0.030226140041389373,1.0302261400413895,0.1775395512107924,0.3273279249018222,0.14978837369102982,0.024845025927403647,0.10468753611628226,0.43188649996019807,1.057758916560227,0.27075829207011004
NQ,GLOBEX,0.5,40,40,0,1,40,0.16701539815963606,0.0038237144697341454,0.010163865717559605,0.16701539815963606,0.0038237144697341454,0.010163865717559605,0.20704515776007848,0.006179945590656966,0.01642699464681241,0.040029759600442416,0.0,0.040029759600442416,0.0,1.0,0.1587521906456598,0.19040981256201536,0.03165762191635557,0.008325910179199921,0.011326890656218414,0.13868386397758925,0.4014472871942426,0.10929357609376063
NQ,GLOBEX,1.0,40,40,0,1,40,0.16494911630435594,0.003269234864116383,0.017379992371843293,0.16494911630435594,0.003269234864116383,0.017379992371843293,0.202026142655674,0.005325888030645632,0.028313626029719645,0.03707702635131807,0.0,0.03707702635131807,0.0,1.0,0.15774560862246545,0.18761929000983002,0.02987368138736457,0.014087345769243026,0.019411405627911243,0.13868386397758925,0.37611250656619705,0.1042374230855275
NQ,GLOBEX,2.0,40,40,0,1,40,0.1603348523834038,0.0026595215103916623,0.028277236408252592,0.1603348523834038,0.0026595215103916623,0.028277236408252592,0.19197285432512418,0.004168529558584005,0.04432169295953902,0.03163800194172037,0.0,0.03163800194172037,0.0,1.0,0.15517124461663995,0.1816228012279374,0.026451556611297444,0.02431528155907447,0.03309443053826905,0.13868386397758925,0.32724488302869853,0.09534794409293502
ES,RTH,0.5,40,40,0,1,40,0.16800371072823106,0.0023440341443705776,0.006230707985477204,0.16800371072823106,0.0023440341443705776,0.006230707985477204,0.35213880859456176,0.018162856693084213,0.04827892823509434,0.1841350978663307,0.0,0.1841350978663307,0.0,1.0,0.16615030909501302,0.2908968154712871,0.12474650637627407,0.006162324035183298,0.019453829168490092,0.4124602948118069,0.9130024043383898,0.26375295483330474
ES,RTH,1.0,40,40,0,1,40,0.168978439868281,0.002160585952349792,0.011486163867489688,0.168978439868281,0.002160585952349792,0.011486163867489688,0.34708256944537597,0.01807352620284831,0.09608295536843117,0.17810412957709496,0.0,0.17810412957709496,0.0,1.0,0.16626618633557325,0.28539442587496716,0.11912823953939392,0.010932900458564244,0.03608708545896368,0.4124602948118069,0.9080453610483868,0.2582155410396676
ES,RTH,2.0,40,40,0,1,40,0.17382898191370688,0.0021425795770854835,0.02278087580341385,0.17382898191370688,0.0021425795770854835,0.02278087580341385,0.33800290463498056,0.01605267101314372,0.17067926371301279,0.16417392272127368,0.0,0.16417392272127368,0.0,1.0,0.1711018561067765,0.2840477704749981,0.11294591436822157,0.021643352385604477,0.06992301621734452,0.4124602948118069,0.8842550320266738,0.24404246625139706
NQ,RTH,0.5,40,40,0,1,40,0.14790637258092446,0.0026579763925394413,0.007065202003980358,0.14790637258092446,0.0026579763925394413,0.007065202003980358,0.18386992201903166,0.00404515536955095,0.010752480685525572,0.0359635494381072,0.0,0.0359635494381072,0.0,1.0,0.1448863012420115,0.1759296366487618,0.031043335406750305,0.006804683887666562,0.009206265904084247,0.15594971269791152,0.3620087868859106,0.11611937295028335
NQ,RTH,1.0,40,40,0,1,40,0.1503261346235457,0.0022584263409539695,0.012006305514779504,0.1503261346235457,0.0022584263409539695,0.012006305514779504,0.18615398414572962,0.0037327420051641957,0.0198441012262199,0.03582784952218393,0.0,0.03582784952218393,0.0,1.0,0.14700118081396715,0.17773561083874106,0.030734430024773912,0.011141053045289707,0.01586826922715795,0.15594971269791152,0.3608527219911127,0.11463698070590045
NQ,RTH,2.0,40,40,0,1,40,0.15604452753756692,0.0018864704435554067,0.020057807579733196,0.15604452753756692,0.0018864704435554067,0.020057807579733196,0.1914304255781016,0.0032917682590554087,0.0349995699973804,0.035385898040534686,0.0,0.035385898040534686,0.0,1.0,0.15333491670350197,0.18381578753769853,0.030480870834196566,0.018697816696557623,0.027543788190375004,0.15594971269791152,0.3524392663336131,0.10927227375606247
