root,geom,q,nugget_scale,n_lags,H,rmse,H_naive_all,delta
ES,GLOBEX,0.5,0.25,40,0.21996661259660288,0.013509869589456304,0.18866597132866592,0.03130064126793697
ES,GLOBEX,0.5,0.5,40,0.2685132285656748,0.022517503626339905,0.18866597132866592,0.07984725723700886
ES,GLOBEX,0.5,0.75,40,0.3881009687179989,0.06902782821584173,0.18866597132866592,0.19943499738933296
ES,GLOBEX,0.5,1.0,39,0.39681848559007266,0.0419499865247033,0.18866597132866592,0.20815251426140674
ES,GLOBEX,1.0,0.25,40,0.21491258599425916,0.023861964214469827,0.1856864084290129,0.02922617756524626
ES,GLOBEX,1.0,0.5,40,0.25885167123206276,0.039862769442323705,0.1856864084290129,0.07316526280304986
ES,GLOBEX,1.0,0.75,40,0.34908283927652833,0.10014792216914722,0.1856864084290129,0.16339643084751543
ES,GLOBEX,1.0,1.0,39,0.36757531473299954,0.06969202599107624,0.1856864084290129,0.18188890630398663
ES,GLOBEX,2.0,0.25,40,0.2075054680855803,0.03940261124743859,0.18193424105973677,0.025571227025843524
ES,GLOBEX,2.0,0.5,40,0.24383071529669748,0.06360197280905826,0.18193424105973677,0.06189647423696071
ES,GLOBEX,2.0,0.75,40,0.305060710102978,0.12772209033911794,0.18193424105973677,0.12312646904324126
ES,GLOBEX,2.0,1.0,39,0.3273279249018222,0.10468753611628226,0.18193424105973677,0.14539368384208545
NQ,GLOBEX,0.5,0.25,40,0.17527576609064743,0.011257514598251493,0.16701539815963606,0.00826036793101137
NQ,GLOBEX,0.5,0.5,40,0.18453256799780526,0.012600810568505287,0.16701539815963606,0.0175171698381692
NQ,GLOBEX,0.5,0.75,40,0.19501519580948296,0.014280196341962731,0.16701539815963606,0.02799979764984689
NQ,GLOBEX,0.5,1.0,40,0.20704515776007848,0.01642699464681241,0.16701539815963606,0.040029759600442416
NQ,GLOBEX,1.0,0.25,40,0.17269857477283318,0.01932311892669477,0.16494911630435594,0.007749458468477244
NQ,GLOBEX,1.0,0.5,40,0.1813255872917055,0.02169216210682162,0.16494911630435594,0.016376470987349567
NQ,GLOBEX,1.0,0.75,40,0.1910166749471938,0.024622590216196637,0.16494911630435594,0.026067558642837857
NQ,GLOBEX,1.0,1.0,40,0.202026142655674,0.028313626029719645,0.16494911630435594,0.03707702635131807
NQ,GLOBEX,2.0,0.25,40,0.16710388292031625,0.031228108014414658,0.1603348523834038,0.00676903053691244
NQ,GLOBEX,2.0,0.5,40,0.1745460568122176,0.03476909493026601,0.1603348523834038,0.014211204428813795
NQ,GLOBEX,2.0,0.75,40,0.18278307345805017,0.039059827147828935,0.1603348523834038,0.022448221074646363
NQ,GLOBEX,2.0,1.0,40,0.19197285432512418,0.04432169295953902,0.1603348523834038,0.03163800194172037
ES,RTH,0.5,0.25,40,0.18971261941431827,0.007948268917629911,0.16800371072823106,0.021708908686087214
ES,RTH,0.5,0.5,40,0.21915882073885928,0.011436866397940162,0.16800371072823106,0.051155110010628224
ES,RTH,0.5,0.75,40,0.2632349025148557,0.019445625980278086,0.16800371072823106,0.09523119178662465
ES,RTH,0.5,1.0,40,0.35213880859456176,0.04827892823509434,0.16800371072823106,0.1841350978663307
ES,RTH,1.0,0.25,40,0.19035266801449724,0.015327522392680159,0.168978439868281,0.02137422814621623
ES,RTH,1.0,0.5,40,0.21919969185382804,0.022855470128699804,0.168978439868281,0.05022125198554703
ES,RTH,1.0,0.75,40,0.2620733683859772,0.039451648202310584,0.168978439868281,0.09309492851769621
ES,RTH,1.0,1.0,40,0.34708256944537597,0.09608295536843117,0.168978439868281,0.17810412957709496
ES,RTH,2.0,0.25,40,0.1947425460750373,0.030469693138225486,0.17382898191370688,0.020913564161330417
ES,RTH,2.0,0.5,40,0.22260127410123906,0.04519535102038489,0.17382898191370688,0.04877229218753218
ES,RTH,2.0,0.75,40,0.2631198736132447,0.07636635541775723,0.17382898191370688,0.0892908916995378
ES,RTH,2.0,1.0,40,0.33800290463498056,0.17067926371301279,0.17382898191370688,0.16417392272127368
NQ,RTH,0.5,0.25,40,0.15537900185351933,0.007699679284043908,0.14790637258092446,0.007472629272594872
NQ,RTH,0.5,0.5,40,0.16372970709713136,0.008486819192335779,0.14790637258092446,0.015823334516206905
NQ,RTH,0.5,0.75,40,0.1731436603668471,0.009478908460847969,0.14790637258092446,0.025237287785922657
NQ,RTH,0.5,1.0,40,0.18386992201903166,0.010752480685525572,0.14790637258092446,0.0359635494381072
NQ,RTH,1.0,0.25,40,0.15779009663999807,0.013351797943757024,0.1503261346235457,0.007463962016452386
NQ,RTH,1.0,0.5,40,0.16611874642939423,0.015027463379520212,0.1503261346235457,0.01579261180584854
NQ,RTH,1.0,0.75,40,0.17549258213843172,0.017139965734893646,0.1503261346235457,0.02516644751488603
NQ,RTH,1.0,1.0,40,0.18615398414572962,0.0198441012262199,0.1503261346235457,0.03582784952218393
NQ,RTH,2.0,0.25,40,0.1634707178512741,0.022589124833713763,0.15604452753756692,0.0074261903137071705
NQ,RTH,2.0,0.5,40,0.17172375585192884,0.0257763330783955,0.15604452753756692,0.015679228314361915
NQ,RTH,2.0,0.75,40,0.18096991779721797,0.02981833696048157,0.15604452753756692,0.024925390259651042
NQ,RTH,2.0,1.0,40,0.1914304255781016,0.0349995699973804,0.15604452753756692,0.035385898040534686
