root,geom,against,rho,se,t
ES,GLOBEX,daily,-0.19342963064456536,0.022217860429066764,-8.706042206994374
ES,GLOBEX,weekly,-0.18530434850923427,0.022276205723381282,-8.318487933281087
ES,GLOBEX,monthly,-0.1928177149398311,0.022341212395106187,-8.630584210464226
ES,GLOBEX,log_kernel_level,-0.36685513819926124,0.02106125049620185,-17.418487960409532
NQ,GLOBEX,daily,-0.004462524730448119,0.022674403605277657,-0.19680891317509358
NQ,GLOBEX,weekly,-0.006641355672689815,0.022697480635520077,-0.292603209111082
NQ,GLOBEX,monthly,-0.03725687990348158,0.02278220944060887,-1.635349723239392
NQ,GLOBEX,log_kernel_level,-0.16945168936273217,0.02234097766729522,-7.584792925637768
ES,RTH,daily,-0.0970022963591227,0.02284541161076918,-4.2460297066127906
ES,RTH,weekly,-0.11131807197195136,0.02283507147705986,-4.87487293761185
ES,RTH,monthly,-0.13653329629920793,0.022865554785139543,-5.971134205234404
ES,RTH,log_kernel_level,-0.2668446140087512,0.022115522630469536,-12.065942029382906
NQ,RTH,daily,0.021222108363962978,0.02294848794829542,0.9247715323021674
NQ,RTH,weekly,0.006809442702897462,0.02297735021169395,0.2963545683101399
NQ,RTH,monthly,-0.03121965997002414,0.023070452574868287,-1.3532313624412018
NQ,RTH,log_kernel_level,-0.13053153819316557,0.022751276865682034,-5.7373280174027945
