root,geom,horizon,lam_range,lam,lam_in_unit,n_obs,mean_log_rv,median_log_rv,sd_log_rv,median_minus_mean,band_published_spec_width,band_published_spec_share,ceiling_published_spec_pp,threshold_shift_diagnostic,band_lo_diagnostic,band_hi_diagnostic,band_width_diagnostic,band_width_in_sd,n_in_band_diagnostic,share_in_band_diagnostic,ceiling_diagnostic_pp,note,a2_n,a2_n_reflipped,a2_share_reflipped,a2_median
ES,GLOBEX,1day,extended,0.8272250642225776,True,1953.0,-9.749086066634344,-9.850127051897653,1.1179681899200502,-0.10104098526330851,0.0,0.0,0.0,-0.02110350676591466,-9.871230558663568,-9.850127051897653,0.02110350676591466,0.018876661211106413,16.0,0.00819252432155658,0.819252432155658,,,,,
ES,GLOBEX,1day,restricted_S05,-890.2105121888576,False,1953.0,-9.749086066634344,-9.850127051897653,1.1179681899200502,-0.10104098526330851,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,1949.0,254.0,0.13032324268855824,-9.895170969119146
NQ,GLOBEX,1day,extended,0.9399469453085768,True,1948.0,-9.225518477960465,-9.287319793935836,1.0745593741300634,-0.061801315975371196,0.0,0.0,0.0,-0.003948475844083532,-9.29126826977992,-9.287319793935836,0.003948475844083532,0.0036745069087318885,4.0,0.002053388090349076,0.2053388090349076,,,,,
NQ,GLOBEX,1day,restricted_S05,0.8496344690820835,True,1948.0,-9.225518477960465,-9.287319793935836,1.0745593741300634,-0.061801315975371196,0.0,0.0,0.0,-0.010937394875353945,-9.29825718881119,-9.287319793935836,0.010937394875353945,0.010178492821030562,6.0,0.003080082135523614,0.3080082135523614,,1944.0,256.0,0.13168724279835392,-9.325756363944736
ES,RTH,1day,extended,0.8397800078923314,True,1901.0,-10.271164599572547,-10.360474354167202,1.1345345424074893,-0.08930975459465529,0.0,0.0,0.0,-0.017039234134909265,-10.377513588302111,-10.360474354167202,0.017039234134909265,0.015018700178799232,15.0,0.007890583903208837,0.7890583903208838,,,,,
ES,RTH,1day,restricted_S05,0.3466401547514712,True,1901.0,-10.271164599572547,-10.360474354167202,1.1345345424074893,-0.08930975459465529,0.0,0.0,0.0,-0.16833424126233787,-10.52880859542954,-10.360474354167202,0.16833424126233787,0.14837295381516685,109.0,0.05733824302998422,5.733824302998422,,1897.0,270.0,0.1423299947285187,-10.379434929142187
NQ,RTH,1day,extended,0.9312843759268288,True,1901.0,-9.67136067724782,-9.718650357458982,1.0652450974158763,-0.04728968021116131,0.0,0.0,0.0,-0.0034893100023243306,-9.722139667461306,-9.718650357458982,0.0034893100023243306,0.0032755935800961393,4.0,0.0021041557075223566,0.21041557075223566,,,,,
NQ,RTH,1day,restricted_S05,0.8975978507290965,True,1901.0,-9.67136067724782,-9.718650357458982,1.0652450974158763,-0.04728968021116131,0.0,0.0,0.0,-0.005395027280895803,-9.724045384739878,-9.718650357458982,0.005395027280895803,0.005064587759177043,7.0,0.003682272488164124,0.3682272488164124,,1897.0,282.0,0.14865577227200844,-9.733482767984285
ES,RTH,1h,extended,0.588054052124918,True,11406.0,-12.407968380456646,-12.448910883690306,1.337476623006055,-0.04094250323366033,0.0,0.0,0.0,-0.02868120412064812,-12.477592087810955,-12.448910883690306,0.02868120412064812,0.021444265736910956,102.0,0.008942661756970016,0.8942661756970016,,,,,
ES,RTH,1h,restricted_S05,,,,,,,,,,,,,,,,,,,lambda undefined on this range (item 66),11402.0,2042.0,0.17909138747588144,-12.481862002683643
NQ,RTH,1h,extended,0.8101747602302579,True,11406.0,-11.8201038538518,-11.815202781567962,1.32617949711068,0.004901072283837848,0.0,0.0,0.0,0.0011483290606886243,-11.815202781567962,-11.814054452507273,0.0011483290606886243,0.0008658926360952384,5.0,0.000438365772400491,0.0438365772400491,,,,,
NQ,RTH,1h,restricted_S05,,,,,,,,,,,,,,,,,,,lambda undefined on this range (item 66),11402.0,2289.0,0.20075425363971233,-11.841204045921463
ES,RTH,30min,extended,0.3958240376050629,True,22812.0,-13.215443207738893,-13.231675140103851,1.4352031127556855,-0.016231932364958013,0.0,0.0,0.0,-0.024776017690752994,-13.256451157794604,-13.231675140103851,0.024776017690752994,0.017263074104668985,179.0,0.007846747325968788,0.7846747325968788,,,,,
ES,RTH,30min,restricted_S05,,,,,,,,,,,,,,,,,,,lambda undefined on this range (item 66),22808.0,4066.0,0.17827078218169062,-13.278881924055263
NQ,RTH,30min,extended,0.6765338975574761,True,22812.0,-12.626867525522048,-12.617789868609426,1.422222072707386,0.009077656912621634,0.0,0.0,0.0,0.004340232339336225,-12.617789868609426,-12.61344963627009,0.004340232339336225,0.0030517261844164915,19.0,0.0008328949675609329,0.08328949675609329,,,,,
NQ,RTH,30min,restricted_S05,,,,,,,,,,,,,,,,,,,lambda undefined on this range (item 66),22808.0,4354.0,0.19089793055068396,-12.646899076766871
