root,geom,horizon,pair,n,n_differ,share_differ
ES,GLOBEX,1day,A3_shrunk_vs_A1_raw,1513,0,0.0
ES,GLOBEX,1day,A3_shrunk_vs_A2_ma5,1509,129,0.08548707753479125
ES,GLOBEX,1day,A2_ma5_vs_A1_raw,1509,129,0.08548707753479125
NQ,GLOBEX,1day,A3_shrunk_vs_A1_raw,1508,0,0.0
NQ,GLOBEX,1day,A3_shrunk_vs_A2_ma5,1504,129,0.08577127659574468
NQ,GLOBEX,1day,A2_ma5_vs_A1_raw,1504,129,0.08577127659574468
ES,RTH,1day,A3_shrunk_vs_A1_raw,1461,0,0.0
ES,RTH,1day,A3_shrunk_vs_A2_ma5,1457,137,0.09402882635552505
ES,RTH,1day,A2_ma5_vs_A1_raw,1457,137,0.09402882635552505
NQ,RTH,1day,A3_shrunk_vs_A1_raw,1461,0,0.0
NQ,RTH,1day,A3_shrunk_vs_A2_ma5,1457,131,0.08991077556623199
NQ,RTH,1day,A2_ma5_vs_A1_raw,1457,131,0.08991077556623199
ES,RTH,1h,A3_shrunk_vs_A1_raw,10966,0,0.0
ES,RTH,1h,A3_shrunk_vs_A2_ma5,10962,1465,0.13364349571246123
ES,RTH,1h,A2_ma5_vs_A1_raw,10962,1465,0.13364349571246123
NQ,RTH,1h,A3_shrunk_vs_A1_raw,10966,0,0.0
NQ,RTH,1h,A3_shrunk_vs_A2_ma5,10962,4703,0.4290275497172049
NQ,RTH,1h,A2_ma5_vs_A1_raw,10962,4703,0.4290275497172049
ES,RTH,30min,A3_shrunk_vs_A1_raw,22372,0,0.0
ES,RTH,30min,A3_shrunk_vs_A2_ma5,22368,3224,0.14413447782546496
ES,RTH,30min,A2_ma5_vs_A1_raw,22368,3224,0.14413447782546496
NQ,RTH,30min,A3_shrunk_vs_A1_raw,22372,0,0.0
NQ,RTH,30min,A3_shrunk_vs_A2_ma5,22368,5216,0.23319027181688126
NQ,RTH,30min,A2_ma5_vs_A1_raw,22368,5216,0.23319027181688126
