root,geom,horizon,arm,lam,analytic_rate,nonconv,sample,n,misclass,both_high,spurious_high,spurious_low,both_low,switches,switch_rate,mean_regime_duration,share_high
ES,GLOBEX,1day,A1_raw,0.8272250642225776,0.13645008632664657,0,insample,1513,0.026437541308658295,748,10,30,725,70,0.046296296296296294,21.309859154929576,0.5009914077990747
ES,GLOBEX,1day,A2_ma5,0.8272250642225776,0.13645008632664657,0,insample,1509,0.07886017229953611,744,85,34,646,36,0.023872679045092837,40.78378378378378,0.5493704440026508
ES,GLOBEX,1day,A3_shrunk,0.8272250642225776,0.13645008632664657,0,insample,1513,0.026437541308658295,748,10,30,725,70,0.046296296296296294,21.309859154929576,0.5009914077990747
NQ,GLOBEX,1day,A1_raw,0.9399469453085768,0.07880676065922262,0,insample,1508,0.021220159151193633,765,15,17,711,74,0.0491041804910418,20.106666666666666,0.5172413793103449
NQ,GLOBEX,1day,A2_ma5,0.9399469453085768,0.07880676065922262,0,insample,1504,0.0884308510638298,746,97,36,625,52,0.034597471723220224,28.37735849056604,0.5605053191489362
NQ,GLOBEX,1day,A3_shrunk,0.9399469453085768,0.07880676065922262,0,insample,1508,0.021220159151193633,765,15,17,711,74,0.0491041804910418,20.106666666666666,0.5172413793103449
ES,RTH,1day,A1_raw,0.8397800078923314,0.13108535920670872,0,insample,1461,0.03559206023271732,738,19,33,671,74,0.050684931506849315,19.48,0.5181382614647502
ES,RTH,1day,A2_ma5,0.8397800078923314,0.13108535920670872,0,insample,1457,0.08991077556623199,727,87,44,599,42,0.028846153846153848,33.883720930232556,0.5586822237474263
ES,RTH,1day,A3_shrunk,0.8397800078923314,0.13108535920670872,0,insample,1461,0.03559206023271732,738,19,33,671,74,0.050684931506849315,19.48,0.5181382614647502
NQ,RTH,1day,A1_raw,0.9312843759268288,0.08442711854744307,0,insample,1461,0.03490759753593429,758,32,19,652,88,0.06027397260273973,16.415730337078653,0.54072553045859
NQ,RTH,1day,A2_ma5,0.9312843759268288,0.08442711854744307,0,insample,1457,0.10706932052161977,728,107,49,573,52,0.03571428571428571,27.49056603773585,0.573095401509952
NQ,RTH,1day,A3_shrunk,0.9312843759268288,0.08442711854744307,0,insample,1461,0.03490759753593429,758,32,19,652,88,0.06027397260273973,16.415730337078653,0.54072553045859
ES,RTH,1h,A1_raw,0.588054052124918,0.22182458508096503,0,insample,10966,0.0563560094838592,4296,265,353,6052,992,0.09046967624259006,11.04330312185297,0.41592194054349807
ES,RTH,1h,A2_ma5,0.588054052124918,0.22182458508096503,0,insample,10962,0.14185367633643495,3909,815,740,5498,428,0.0390475321594745,25.552447552447553,0.4309432585294654
ES,RTH,1h,A3_shrunk,0.588054052124918,0.22182458508096503,0,insample,10966,0.0563560094838592,4296,265,353,6052,992,0.09046967624259006,11.04330312185297,0.41592194054349807
NQ,RTH,1h,A1_raw,0.8101747602302579,0.14349538110094176,0,insample,10966,0.06492795914645268,4549,322,390,5705,1242,0.11326949384404925,8.822204344328238,0.4441911362392851
NQ,RTH,1h,A2_ma5,0.8101747602302579,0.14349538110094176,0,insample,10962,0.43596059113300495,2717,2557,2222,3466,1000,0.09123255177447313,10.951048951048952,0.48111658456486045
NQ,RTH,1h,A3_shrunk,0.8101747602302579,0.14349538110094176,0,insample,10966,0.06492795914645268,4549,322,390,5705,1242,0.11326949384404925,8.822204344328238,0.4441911362392851
ES,RTH,30min,A1_raw,0.3958240376050629,0.28340496747814087,0,insample,22372,0.4883783300554264,4930,4855,6071,6516,2353,0.10518081444727549,9.503823279524214,0.43737707849097085
ES,RTH,30min,A2_ma5,0.3958240376050629,0.28340496747814087,0,insample,22368,0.4892703862660944,4962,4905,6039,6462,1195,0.053426923592792955,18.702341137123746,0.44112124463519314
ES,RTH,30min,A3_shrunk,0.3958240376050629,0.28340496747814087,0,insample,22372,0.4883783300554264,4930,4855,6071,6516,2353,0.10518081444727549,9.503823279524214,0.43737707849097085
NQ,RTH,30min,A1_raw,0.6765338975574761,0.19256924891466703,0,insample,22372,0.4847577328803862,5524,5297,5548,6003,6384,0.28536945152205984,3.503837118245889,0.4836849633470409
NQ,RTH,30min,A2_ma5,0.6765338975574761,0.19256924891466703,0,insample,22368,0.48189377682403434,5505,5212,5567,6084,2318,0.10363481915321679,9.645536869340233,0.4791219599427754
NQ,RTH,30min,A3_shrunk,0.6765338975574761,0.19256924891466703,0,insample,22372,0.4847577328803862,5524,5297,5548,6003,6384,0.28536945152205984,3.503837118245889,0.4836849633470409
