root,geom,horizon,arm,sample,n,misclass,both_high,spurious_high,spurious_low,both_low,switches,switch_rate,mean_regime_duration,share_high
ES,GLOBEX,1day,A1_raw,insample,1513,0.026437541308658295,748,10,30,725,70,0.046296296296296294,21.309859154929576,0.5009914077990747
ES,GLOBEX,1day,A1_raw,holdout,641,0.0124804992199688,222,6,2,411,48,0.075,13.081632653061224,0.35569422776911075
ES,GLOBEX,1day,A2_ma5,insample,1509,0.07886017229953611,744,85,34,646,36,0.023872679045092837,40.78378378378378,0.5493704440026508
ES,GLOBEX,1day,A2_ma5,holdout,641,0.11856474258970359,204,56,20,361,32,0.05,19.424242424242426,0.40561622464898595
ES,GLOBEX,1day,A3_shrunk,insample,1513,0.026437541308658295,748,10,30,725,70,0.046296296296296294,21.309859154929576,0.5009914077990747
ES,GLOBEX,1day,A3_shrunk,holdout,641,0.0124804992199688,222,6,2,411,48,0.075,13.081632653061224,0.35569422776911075
NQ,GLOBEX,1day,A1_raw,insample,1508,0.021220159151193633,765,15,17,711,74,0.0491041804910418,20.106666666666666,0.5172413793103449
NQ,GLOBEX,1day,A1_raw,holdout,641,0.0327613104524181,223,15,6,397,40,0.0625,15.634146341463415,0.3712948517940718
NQ,GLOBEX,1day,A2_ma5,insample,1504,0.0884308510638298,746,97,36,625,52,0.034597471723220224,28.37735849056604,0.5605053191489362
NQ,GLOBEX,1day,A2_ma5,holdout,641,0.15132605304212168,210,78,19,334,26,0.040625,23.74074074074074,0.44929797191887677
NQ,GLOBEX,1day,A3_shrunk,insample,1508,0.021220159151193633,765,15,17,711,74,0.0491041804910418,20.106666666666666,0.5172413793103449
NQ,GLOBEX,1day,A3_shrunk,holdout,641,0.0327613104524181,223,15,6,397,40,0.0625,15.634146341463415,0.3712948517940718
ES,RTH,1day,A1_raw,insample,1461,0.03559206023271732,738,19,33,671,74,0.050684931506849315,19.48,0.5181382614647502
ES,RTH,1day,A1_raw,holdout,621,0.02254428341384863,189,8,6,418,48,0.07741935483870968,12.673469387755102,0.3172302737520129
ES,RTH,1day,A2_ma5,insample,1457,0.08991077556623199,727,87,44,599,42,0.028846153846153848,33.883720930232556,0.5586822237474263
ES,RTH,1day,A2_ma5,holdout,621,0.11594202898550725,166,43,29,383,30,0.04838709677419355,20.032258064516128,0.3365539452495974
ES,RTH,1day,A3_shrunk,insample,1461,0.03559206023271732,738,19,33,671,74,0.050684931506849315,19.48,0.5181382614647502
ES,RTH,1day,A3_shrunk,holdout,621,0.02254428341384863,189,8,6,418,48,0.07741935483870968,12.673469387755102,0.3172302737520129
NQ,RTH,1day,A1_raw,insample,1461,0.03490759753593429,758,32,19,652,88,0.06027397260273973,16.415730337078653,0.54072553045859
