root,geom,horizon,arm,windows_per_session,n_holdout_windows,sample,n,misclass,both_high,spurious_high,spurious_low,both_low,switches,mean_regime_duration,share_high
ES,GLOBEX,1day,A1_raw,1,641,holdout,641,0.0124804992199688,222,6,2,411,48,13.081632653061224,0.35569422776911075
ES,GLOBEX,1day,A2_ma5,1,641,holdout,641,0.11856474258970359,204,56,20,361,32,19.424242424242426,0.40561622464898595
ES,GLOBEX,1day,A3_shrunk,1,641,holdout,641,0.0124804992199688,222,6,2,411,48,13.081632653061224,0.35569422776911075
NQ,GLOBEX,1day,A1_raw,1,641,holdout,641,0.0327613104524181,223,15,6,397,40,15.634146341463415,0.3712948517940718
NQ,GLOBEX,1day,A2_ma5,1,641,holdout,641,0.15132605304212168,210,78,19,334,26,23.74074074074074,0.44929797191887677
NQ,GLOBEX,1day,A3_shrunk,1,641,holdout,641,0.0327613104524181,223,15,6,397,40,15.634146341463415,0.3712948517940718
ES,RTH,1day,A1_raw,1,621,holdout,621,0.02254428341384863,189,8,6,418,48,12.673469387755102,0.3172302737520129
ES,RTH,1day,A2_ma5,1,621,holdout,621,0.11594202898550725,166,43,29,383,30,20.032258064516128,0.3365539452495974
ES,RTH,1day,A3_shrunk,1,621,holdout,621,0.02254428341384863,189,8,6,418,48,12.673469387755102,0.3172302737520129
NQ,RTH,1day,A1_raw,1,621,holdout,621,0.05636070853462158,185,27,8,401,46,13.212765957446809,0.3413848631239936
NQ,RTH,1day,A2_ma5,1,621,holdout,621,0.12399355877616747,172,56,21,372,26,23.0,0.3671497584541063
NQ,RTH,1day,A3_shrunk,1,621,holdout,621,0.05636070853462158,185,27,8,401,46,13.212765957446809,0.3413848631239936
ES,RTH,1h,A1_raw,6,3726,holdout,3726,0.05152979066022544,1568,92,100,1966,362,10.264462809917354,0.4455179817498658
ES,RTH,1h,A2_ma5,6,3726,holdout,3726,0.14761137949543746,1441,323,227,1735,182,20.360655737704917,0.47342995169082125
ES,RTH,1h,A3_shrunk,6,3726,holdout,3726,0.05152979066022544,1568,92,100,1966,362,10.264462809917354,0.4455179817498658
NQ,RTH,1h,A1_raw,6,3726,holdout,3726,0.0794417606011809,1698,151,145,1732,1113,3.3447037701974867,0.4962426194310252
NQ,RTH,1h,A2_ma5,6,3726,holdout,3726,0.46027911969940954,972,844,871,1039,182,20.360655737704917,0.487385936661299
NQ,RTH,1h,A3_shrunk,6,3726,holdout,3726,0.0794417606011809,1698,151,145,1732,1113,3.3447037701974867,0.4962426194310252
ES,RTH,30min,A1_raw,12,7452,holdout,7452,0.4700751476113795,2159,1346,2157,1790,669,11.122388059701493,0.4703435319377348
ES,RTH,30min,A2_ma5,12,7452,holdout,7452,0.4810789049919485,2123,1392,2193,1744,367,20.25,0.4716854535695115
ES,RTH,30min,A3_shrunk,12,7452,holdout,7452,0.4700751476113795,2159,1346,2157,1790,669,11.122388059701493,0.4703435319377348
NQ,RTH,30min,A1_raw,12,7452,holdout,7452,0.26529790660225444,2784,838,1139,2691,1345,5.536404160475483,0.48604401502952227
NQ,RTH,30min,A2_ma5,12,7452,holdout,7452,0.3314546430488459,2590,1137,1333,2392,605,12.297029702970297,0.5001341921631777
NQ,RTH,30min,A3_shrunk,12,7452,holdout,7452,0.26529790660225444,2784,838,1139,2691,1345,5.536404160475483,0.48604401502952227
