root,geom,ticks,sharpe_A1,sharpe_A2,sharpe_A3,sharpe_always,d_vs_A1,d_vs_A2,max_d
ES,GLOBEX,0.5,-0.00399709960768789,-0.009656553599919862,-0.00399709960768789,0.6967055847411033,0.0,0.005659453992231972,0.005659453992231972
ES,GLOBEX,1.0,-0.016559231017874095,-0.01991790115450444,-0.016559231017874095,0.6901365579563152,0.0,0.0033586701366303436,0.0033586701366303436
ES,GLOBEX,2.0,-0.0416834938382465,-0.040440596263673585,-0.0416834938382465,0.6769985043867389,0.0,0.0012428975745729168,0.0012428975745729168
ES,GLOBEX,4.0,-0.09193201947899132,-0.08148598648201187,-0.09193201947899132,0.6507223972475864,0.0,0.010446032996979451,0.010446032996979451
NQ,GLOBEX,0.5,0.3584558531825607,0.384002030673958,0.3584558531825607,0.6445948525981048,0.0,0.025546177491397315,0.025546177491397315
NQ,GLOBEX,1.0,0.35601017632939086,0.3819963400004262,0.35601017632939086,0.6430968948548522,0.0,0.025986163671035345,0.025986163671035345
NQ,GLOBEX,2.0,0.35111882262305133,0.3779849586533625,0.35111882262305133,0.6401009793683473,0.0,0.026866136030311183,0.026866136030311183
NQ,GLOBEX,4.0,0.34133611521037216,0.36996219595923524,0.34133611521037216,0.6341091483953374,0.0,0.02862608074886308,0.02862608074886308
ES,RTH,0.5,-0.29000697549897647,-0.4796330286841393,-0.29000697549897647,0.17149545014694356,0.0,0.18962605318516285,0.18962605318516285
ES,RTH,1.0,-0.30581474434404543,-0.49239748781722514,-0.30581474434404543,0.16356055963416763,0.0,0.1865827434731797,0.1865827434731797
ES,RTH,2.0,-0.33743028203418335,-0.5179264060833967,-0.33743028203418335,0.14769077860861568,0.0,0.18049612404921334,0.18049612404921334
ES,RTH,4.0,-0.40066135741445924,-0.5689842426157399,-0.40066135741445924,0.11595121655751187,0.0,0.16832288520128064,0.16832288520128064
NQ,RTH,0.5,-0.09145876753110904,-0.35085339827038725,-0.09145876753110904,0.021088315501967683,0.0,0.2593946307392782,0.2593946307392782
NQ,RTH,1.0,-0.0947601812944577,-0.3534942858986414,-0.0947601812944577,0.019263686537214716,0.0,0.2587341046041837,0.2587341046041837
NQ,RTH,2.0,-0.10136300882115498,-0.3587760611551498,-0.10136300882115498,0.01561442860770879,0.0,0.2574130523339948,0.2574130523339948
NQ,RTH,4.0,-0.11456866387454955,-0.36933961166816665,-0.11456866387454955,0.008315912748696936,0.0,0.2547709477936171,0.2547709477936171
