root,geom,horizon,sample,n,mis_A1,mis_A2_s16,mis_A2_phase_matched,best_lag,mis_A2_best_lag,gap_s16_pp,gap_phase_matched_pp,gap_best_lag_pp,p_vs_chance,distinguishable_from_chance
ES,GLOBEX,1day,insample,1509,0.026437541308658295,0.07886017229953611,0.015904572564612324,2,0.04440026507620941,5.242263099087782,-1.0532968744045972,1.7962723767551112,3.370091291081178e-275,True
ES,GLOBEX,1day,holdout,641,0.0124804992199688,0.11856474258970359,0.014040561622464899,2,0.07198748043818466,10.60842433697348,0.15600624024961,5.950698121821587,2.7383160058878213e-93,True
NQ,GLOBEX,1day,insample,1504,0.021220159151193633,0.0884308510638298,0.023936170212765957,2,0.05518617021276596,6.7210691912636165,0.27160110615723243,3.396601106157232,2.427169568219947e-259,True
NQ,GLOBEX,1day,holdout,641,0.0327613104524181,0.15132605304212168,0.046801872074883,2,0.12363067292644757,11.856474258970358,1.40405616224649,9.086936247402946,2.408707889274522e-76,True
ES,RTH,1day,insample,1457,0.03559206023271732,0.08991077556623199,0.028826355525051476,2,0.05422100205902539,5.431871533351467,-0.6765704707665844,1.8628941826308074,4.1038405638794923e-249,True
ES,RTH,1day,holdout,621,0.02254428341384863,0.11594202898550725,0.040257648953301126,2,0.07431340872374798,9.339774557165862,1.7713365539452495,5.176912530989934,7.540565994508476e-92,True
NQ,RTH,1day,insample,1457,0.03490759753593429,0.10706932052161977,0.04667124227865477,2,0.07687028140013727,7.216172298568549,1.1763644742720478,4.196268386420298,4.3930462925734885e-225,True
NQ,RTH,1day,holdout,621,0.05636070853462158,0.12399355877616747,0.02576489533011272,2,0.0888529886914378,6.763285024154589,-3.059581320450886,3.2492280156816227,1.57619426781564e-87,True
ES,RTH,1h,insample,10962,0.0563560094838592,0.14185367633643495,0.05327494982667397,2,0.09989053092501368,8.549766685257575,-0.3081059657185234,4.353452144115448,0.0,True
ES,RTH,1h,holdout,3726,0.05152979066022544,0.14761137949543746,0.05018786902844874,2,0.09881847475832438,9.6081588835212,-0.13419216317767033,4.728868409809894,0.0,True
NQ,RTH,1h,insample,10962,0.06492795914645268,0.43596059113300495,0.4357781426746944,7,0.41874258600237246,37.10326319865523,37.08501835282417,35.38146268559198,4.708717393246921e-41,True
NQ,RTH,1h,holdout,3726,0.0794417606011809,0.46027911969940954,0.0499194847020934,3,0.45500940102068227,38.08373590982286,-2.95222758990875,37.55676404195014,1.3298402737111208e-06,True
ES,RTH,30min,insample,22368,0.4883783300554264,0.4892703862660944,0.41823140200286124,0,0.4892703862660944,0.0892056210668013,-7.014692805256518,0.0892056210668013,0.0013607373070282493,True
ES,RTH,30min,holdout,7452,0.4700751476113795,0.4810789049919485,0.43585614600107353,4,0.4756981740064447,1.1003757380569024,-3.421900161030594,0.5623026395065234,0.0011319641715719611,True
NQ,RTH,30min,insample,22368,0.4847577328803862,0.48189377682403434,0.4904327610872675,1,0.4796137339055794,-0.28639560563518685,0.5675028206881316,-0.5143998974806829,6.309746281505995e-08,True
NQ,RTH,30min,holdout,7452,0.26529790660225444,0.3314546430488459,0.4617552334943639,1,0.31096497114481275,6.615673644659148,19.64573268921095,4.566706454255831,1.16132315093714e-189,True
