root,geom,horizon,lam_range,lam,var_log_rv,var_eps,usable
ES,GLOBEX,1day,extended,0.8272250642225776,1.2498528736731134,0.21594324998009903,True
ES,GLOBEX,1day,restricted_S05,,1.2498528736731134,,False
NQ,GLOBEX,1day,extended,0.9399469453085768,1.1546778485307938,0.06934193198879463,True
NQ,GLOBEX,1day,restricted_S05,0.8496344690820835,1.1546778485307938,0.17362374773349037,True
ES,RTH,1day,extended,0.8397800078923314,1.2871686279157712,0.20623014740590345,True
ES,RTH,1day,restricted_S05,0.3466401547514712,1.2871686279157712,0.8409842955438094,True
NQ,RTH,1day,extended,0.9312843759268288,1.1347471175685595,0.07797485634895576,True
NQ,RTH,1day,restricted_S05,0.8975978507290965,1.1347471175685595,0.11620054371798313,True
ES,RTH,1h,extended,0.588054052124918,1.7888437170876814,0.7369069206360699,True
ES,RTH,1h,restricted_S05,,1.7888437170876814,,False
NQ,RTH,1h,extended,0.8101747602302579,1.758752058556736,0.3338555312110599,True
NQ,RTH,1h,restricted_S05,,1.758752058556736,,False
ES,RTH,30min,extended,0.3958240376050629,2.059807974863609,1.2444864655619874,True
ES,RTH,30min,restricted_S05,,2.059807974863609,,False
NQ,RTH,30min,extended,0.6765338975574761,2.022715624096093,0.6542799392759605,True
NQ,RTH,30min,restricted_S05,,2.022715624096093,,False
